,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,50,42,2021-04-04,33-021,GSW,@,ATL,L (-6),1,36:44,12,23,0.522,3,12,0.250,10,12,0.833,1,4,5,2,2,1,8,0,37,22.9,8
,51,43,2021-04-06,33-023,GSW,,MIL,W (+1),1,37:47,14,21,0.667,5,10,0.500,8,9,0.889,2,4,6,4,0,0,4,2,41,32.1,3
,52,44,2021-04-09,33-026,GSW,,WAS,L (-3),1,34:52,11,25,0.440,5,12,0.417,5,6,0.833,0,6,6,5,3,0,2,0,32,24.8,-16
,53,45,2021-04-10,33-027,GSW,,HOU,W (+16),1,34:56,13,21,0.619,8,15,0.533,4,4,1.000,0,8,8,5,1,0,5,3,38,29.2,7
,54,46,2021-04-12,33-029,GSW,,DEN,W (+9),1,35:42,14,24,0.583,10,18,0.556,15,16,0.938,0,6,6,4,0,0,5,3,53,39.8,16
,55,47,2021-04-14,33-031,GSW,@,OKC,W (+38),1,29:23,14,20,0.700,11,16,0.688,3,3,1.000,0,6,6,8,0,0,0,3,42,39.8,31
,56,48,2021-04-15,33-032,GSW,@,CLE,W (+18),1,34:35,12,25,0.480,4,13,0.308,5,5,1.000,0,4,4,5,0,2,4,3,33,21.2,5
,57,49,2021-04-17,33-034,GSW,@,BOS,L (-5),1,37:09,15,27,0.556,11,19,0.579,6,8,0.750,0,7,7,3,0,0,5,2,47,31.7,-7
,58,50,2021-04-19,33-036,GSW,@,PHI,W (+11),1,36:55,14,28,0.500,10,17,0.588,11,12,0.917,0,3,3,5,0,0,6,2,49,32.2,11
,59,51,2021-04-21,33-038,GSW,@,WAS,L (-4),1,36:03,7,25,0.280,2,14,0.143,2,2,1.000,0,7,7,8,1,0,6,2,18,5.2,-23
,60,52,2021-04-23,33-040,GSW,,DEN,W (+21),1,33:44,11,18,0.611,4,9,0.444,6,6,1.000,0,8,8,3,0,0,3,3,32,24.1,27
,61,53,2021-04-25,33-042,GSW,,SAC,W (+4),1,37:46,11,21,0.524,7,14,0.500,8,11,0.727,0,7,7,4,1,1,7,1,37,24.7,7
,62,54,2021-04-27,33-044,GSW,,DAL,L (-30),1,29:50,9,18,0.500,5,9,0.556,4,4,1.000,0,1,1,2,2,0,2,1,27,19.3,-27
,63,55,2021-04-29,33-046,GSW,@,MIN,L (-12),1,36:51,11,27,0.407,6,17,0.353,9,9,1.000,1,5,6,8,2,0,3,4,37,27.7,-10
,64,56,2021-05-01,33-048,GSW,@,HOU,W (+26),1,30:22,9,23,0.391,7,17,0.412,5,7,0.714,0,5,5,5,1,0,4,0,30,18.7,25
,65,57,2021-05-03,33-050,GSW,@,NOP,W (+15),1,35:17,14,26,0.538,8,18,0.444,5,6,0.833,0,4,4,8,1,0,4,5,41,29.8,19
,66,58,2021-05-04,33-051,GSW,@,NOP,L (-5),1,37:06,13,31,0.419,8,20,0.400,3,3,1.000,2,7,9,2,3,0,4,2,37,23.6,-9
,67,59,2021-05-06,33-053,GSW,,OKC,W (+21),1,31:21,11,21,0.524,6,13,0.462,6,7,0.857,0,4,4,7,1,0,3,2,34,26.6,24
,68,60,2021-05-08,33-055,GSW,,OKC,W (+39),1,29:20,14,26,0.538,11,21,0.524,10,10,1.000,0,5,5,2,1,0,1,2,49,38.5,31
,69,61,2021-05-10,33-057,GSW,,UTA,W (+3),1,36:55,11,25,0.440,3,13,0.231,11,12,0.917,1,3,4,6,2,0,3,1,36,26.9,4
,70,62,2021-05-11,33-058,GSW,,PHO,W (+6),1,36:31,7,22,0.318,1,11,0.091,6,6,1.000,0,3,3,6,1,0,3,2,21,10.7,6
,71,,2021-05-14,33-061,GSW,,NOP,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
,72,63,2021-05-16,33-063,GSW,,MEM,W (+12),1,39:57,16,36,0.444,9,22,0.409,5,6,0.833,1,6,7,9,1,1,7,2,46,29.5,14
