,Player,FG-FGA,3P-3PA,FT-FTA,Off,Def,Tot,PF,TP,A,TO,Blk,Stl,Min,Date,Event
12,Dallas Hobbs,0-0,0-0,0-0,0,0,0,0,0,2,1,0,0,12,04/10/2022,EYBL Session 1 (Orlando)
13,Corey Chest,3-6,0-0,1-6,1,0,1,3,7,0,2,2,1,25,04/10/2022,EYBL Session 1 (Orlando)
14,Zyon Little,1-4,0-1,3-4,2,3,5,0,5,1,1,0,1,18,04/10/2022,EYBL Session 1 (Orlando)
15,Alexzaye Johnson,0-1,0-0,0-0,0,0,0,1,0,0,2,0,0,4,04/10/2022,EYBL Session 1 (Orlando)
16,Jordan Trahan,1-1,0-0,0-0,0,2,2,1,2,2,0,0,0,8,04/10/2022,EYBL Session 1 (Orlando)
17,Marcus Millender,1-1,0-0,0-0,0,0,0,2,2,1,0,0,0,12,04/10/2022,EYBL Session 1 (Orlando)
18,Drayton Jones,1-2,0-0,0-0,0,1,1,1,2,0,1,1,0,8,04/10/2022,EYBL Session 1 (Orlando)
19,Wesley Yates,7-12,3-4,8-10,2,3,5,3,25,1,1,0,3,30,04/10/2022,EYBL Session 1 (Orlando)
20,kyran ratliff,0-3,0-0,0-0,2,0,2,0,0,0,0,0,1,7,04/10/2022,EYBL Session 1 (Orlando)
21,K DeLuma,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/10/2022,EYBL Session 1 (Orlando)
22,Kameron Johnson,4-8,2-4,0-0,0,0,0,1,10,3,1,0,0,14,04/10/2022,EYBL Session 1 (Orlando)
23,Christopher Lockett,5-7,1-1,0-0,0,3,3,2,11,0,0,0,2,22,04/10/2022,EYBL Session 1 (Orlando)
24,Frederick Payne,0-3,0-2,0-0,0,0,0,2,0,1,1,0,1,10,04/10/2022,EYBL Session 1 (Orlando)
0,Danzelle Coles,6-9,1-3,1-2,0,3,3,2,14,1,0,0,1,17,04/10/2022,EYBL Session 1 (Orlando)
1,Markus Robinson,8-13,1-2,0-0,4,7,11,2,17,5,2,0,1,26,04/10/2022,EYBL Session 1 (Orlando)
2,Ashley Sims,2-7,2-5,0-0,1,5,6,1,6,2,1,0,1,22,04/10/2022,EYBL Session 1 (Orlando)
3,Christian Foy,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/10/2022,EYBL Session 1 (Orlando)
4,Malik Johnson,3-5,0-2,0-2,1,3,4,4,6,2,1,0,0,16,04/10/2022,EYBL Session 1 (Orlando)
5,Peter Quaye,2-4,0-1,0-0,2,2,4,1,4,1,0,0,0,24,04/10/2022,EYBL Session 1 (Orlando)
6,Edward Joyner,3-10,1-5,1-2,2,1,3,2,8,6,4,0,0,32,04/10/2022,EYBL Session 1 (Orlando)
7,Kobe Broome,4-9,1-3,1-2,0,3,3,3,10,5,0,0,1,24,04/10/2022,EYBL Session 1 (Orlando)
8,TBA,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/10/2022,EYBL Session 1 (Orlando)
9,Zion Collins,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/10/2022,EYBL Session 1 (Orlando)
10,Orion Champion,2-5,1-2,1-2,2,0,2,0,6,1,0,0,0,8,04/10/2022,EYBL Session 1 (Orlando)
11,Oliver Aleem,2-3,0-0,0-0,0,2,2,0,4,1,0,0,0,6,04/10/2022,EYBL Session 1 (Orlando)
12,Derrell Odom,6-8,0-0,3-5,3,4,7,1,15,3,2,0,1,22,04/10/2022,EYBL Session 1 (Orlando)
13,Trajen Greco,6-12,2-5,2-2,0,4,4,2,16,3,1,0,3,23,04/10/2022,EYBL Session 1 (Orlando)
14,Gabriel Guasmore,1-2,1-1,0-0,0,0,0,0,3,0,0,0,0,9,04/10/2022,EYBL Session 1 (Orlando)
15,TBA,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/10/2022,EYBL Session 1 (Orlando)
16,Rodrigo Farias,3-7,0-2,0-0,0,1,1,2,6,1,0,0,0,25,04/10/2022,EYBL Session 1 (Orlando)
17,Daniel Mbaeteka,3-4,0-0,1-2,2,5,7,0,7,0,0,0,0,18,04/10/2022,EYBL Session 1 (Orlando)
18,Harold Lee,0-1,0-0,0-0,1,2,3,3,0,1,0,3,0,10,04/10/2022,EYBL Session 1 (Orlando)
19,CURTAVIAN Clark,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,2,04/10/2022,EYBL Session 1 (Orlando)
20,Karris Bilal,3-12,0-3,1-4,0,0,0,2,7,6,2,0,2,24,04/10/2022,EYBL Session 1 (Orlando)
21,Kevin Alabi,0-0,0-0,0-0,0,0,0,1,0,0,1,0,0,3,04/10/2022,EYBL Session 1 (Orlando)
