PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,3PA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PM,OFFRTG,DEFRTG,NETRTG,ASTP,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOR,EFGP,TSP,USGP,PACE,PIE,ALLSTAR
SKYLAR DIGGINS-SMITH,DAL,28,25,14,11,34.3,18.1,5.8,13.8,41.9,1.6,5.3,30.1,5,5.9,83.8,0.6,2.9,3.6,6.3,2.6,1.6,0.6,2.3,35.8,2,0,5,106.9,100.3,6.6,30.9,2.39,25.5,1.9,8,5.1,10.7,47.7,55.2,22.5,99.3,13.7,1
SHONI SCHIMMEL,LVA,27,2,0,2,6.4,0,0,2.5,0,0,2,0,0,0,0,0,1,1,0.5,0.5,0,0,0,1.5,0,0,-5,46.4,88.5,-42,20,1,14.3,0,13.3,6.7,14.3,0,0,19.4,101.79,-13.3,0
SHEKINNA STRICKLEN,CON,28,26,14,12,18.7,6.4,2.2,5.3,41.7,1.6,3.8,42,0.3,0.4,81.8,0.3,2,2.3,0.6,0.5,0.5,0.2,1.4,11.3,0,0,0.2,104,102.5,1.5,4.3,1.07,8.8,1.3,11.1,6,8.2,56.8,58.1,13.5,98.33,6.9,0
SHAVONTE ZELLOUS,NYL,32,22,7,15,24.1,8.2,2.9,6.8,42.3,0.4,1.4,26.7,2.1,2.8,75.4,0.3,2.9,3.1,3,1.2,0.6,0.2,2.6,17.6,0,0,-2.9,98.3,102.6,-4.3,19.8,2.41,24.5,1.2,11.7,6.6,10.2,45,51.2,16.8,96.71,8.1,0
SHATORI WALKER-KIMBROUGH,WAS,24,17,11,6,9.5,3.6,1.2,3.1,40.4,0.4,1.4,30.4,0.7,0.7,100,0.2,0.7,0.9,0.5,0.9,0.4,0.4,0.5,6.6,0,0,-0.6,97.9,101.5,-3.6,8.2,0.53,9.9,1.9,7.5,4.7,18.5,47.1,53.2,19.1,99.27,7.4,0
SEQUOIA HOLMES,LVA,33,3,2,1,6.6,1.3,0.7,1,66.7,0,0,0,0,0.3,0,0.3,0.3,0.7,0.7,0.7,0.3,0.7,0.3,5.5,0,0,-1.7,77.5,94.7,-17.2,18.2,1,28.6,4.5,3.8,4.2,28.6,66.7,58.1,10.2,94.07,14.3,0
SEIMONE AUGUSTUS,MIN,35,24,14,10,25.9,10.8,4.6,9.5,48,0.8,2,37.5,0.8,1.3,66.7,0.2,1.7,1.9,2.4,1.2,0.5,0.3,1,17.7,0,0,1.9,101.2,97.6,3.6,16.2,2,17.6,0.7,6.7,3.7,8.8,52,53.3,19.3,94.04,9.5,1
SANIYA CHONG,DAL,25,5,2,3,8.5,0.8,0.2,1.2,16.7,0,0.2,0,0.4,0.6,66.7,0,0.6,0.6,1,0.2,0.6,0,0.6,4.6,0,0,1,102.2,95.6,6.7,18.5,5,38.5,0,7.3,3.3,7.7,16.7,27.3,7.3,101,4.6,0
SANCHO LYTTLE,PHO,35,18,13,5,23.3,7.9,3.4,6.3,54,0,0.1,0,1.2,1.3,87.5,1.4,3.9,5.3,1.4,0.9,0.9,0.4,2.3,19.4,1,0,3.8,110.2,101.2,9,10,1.53,15.7,6.9,15.9,11.9,10.2,54,57.9,15.4,94.62,11.3,0
SAMI WHITCOMB,SEA,30,23,17,6,7.2,2.4,0.8,2.4,34.5,0.7,2,31.9,0.1,0.1,100,0.1,0.7,0.8,0.5,0.5,0.4,0.1,0.7,5.1,0,0,-0.8,93.7,102.7,-9,11.7,1.09,15.2,1.9,9.1,5.6,13.9,48.2,49.2,16.7,98.58,5.8,0
RIQUNA WILLIAMS,LAS,29,25,15,10,15,6.1,2.1,5.3,40.2,1.3,3.5,37.5,0.5,0.6,86.7,0.4,0.8,1.2,0.7,0.5,0.6,0,1.6,10,0,0,1,99.2,97.4,1.9,7.8,1.5,10.8,2.5,5.8,4.1,7.2,52.7,54.8,17.4,97.36,6.3,0
RENEE MONTGOMERY,ATL,32,25,16,9,27.1,9.6,2.9,7.6,38.2,2.1,5.7,37.1,1.7,1.9,87.5,0.1,1.5,1.6,3.4,1.8,1.2,0.1,1.7,18.7,0,0,3.4,100.4,95,5.4,19.4,1.87,25.1,0.4,5.4,2.9,13.4,52.1,56.8,15.8,98.22,8.7,0
REBEKKAH BRUNSON,MIN,37,22,14,8,28.8,7.3,2.5,6.3,40.6,0.8,2,37.8,1.4,2.1,66,1.6,5.8,7.4,2.3,1.5,0.9,0.5,2.4,22.2,2,0,2.7,101,96.5,4.5,12.1,1.52,20.7,5.7,20.2,13.1,13.6,46.7,50.4,13.4,94.55,9.9,1
REBECCA ALLEN,NYL,26,19,5,14,7.6,2.3,0.8,2.4,35.6,0.2,1.1,20,0.4,0.4,100,0.5,0.9,1.4,0.2,0.4,0.2,0.4,0.8,5.6,0,0,2.8,103.5,83.3,20.1,3.4,0.43,5.1,6.5,11.9,9.3,11.9,40,45.3,17,96.82,7.6,0
RAIGYNE LOUIS,LVA,24,2,0,2,10.7,3,1,2.5,40,0,0.5,0,1,1.5,66.7,0.5,1.5,2,0.5,2,0.5,0,1,5.7,0,0,-7,69.6,100,-30.4,10,0.25,9.1,4.8,12,8.7,36.4,40,47.5,18.9,103.5,2.6,0
RACHEL BANHAM,CON,25,26,14,12,13.9,5.5,1.8,4.4,40,1,2.7,37.1,1,1,92.6,0.2,0.8,1.1,1.7,0.6,0.5,0.1,1.9,10.5,0,0,-0.5,98.9,99.6,-0.7,19.7,2.81,24.1,1.6,6.2,3.8,8.6,51.3,56.4,16.4,98.22,8.4,0
ODYSSEY SIMS,LAS,26,26,15,11,27.5,9.3,3.5,8.7,40.3,0.5,1.8,29.8,1.8,2.6,70.1,0.4,2,2.4,3,1.7,0.6,0,1.7,16.9,0,0,3.6,100.2,94.5,5.8,17,1.75,20.5,1.5,7.7,4.6,11.7,43.4,47.6,19,94.71,6.5,0
NOELLE QUINN,SEA,34,16,10,6,8.8,1.3,0.5,2.1,24.2,0.3,0.9,28.6,0,0,0,0.1,0.6,0.7,0.6,0.3,0.1,0.1,0.4,3.1,0,0,-0.9,89,98.5,-9.5,12.3,2,20.8,1.4,6,3.8,10.4,30.3,30.3,12,93.31,1,0
NNEKA OGWUMIKE,LAS,28,20,13,7,30.8,16.1,6.4,11.7,54.9,0.4,1.1,33.3,2.9,3.4,85.3,1.7,5.7,7.4,2,1.7,1.7,0.5,2.8,32.7,5,0,3.6,102.8,96.8,6,11.6,1.21,12,6,20,13.1,9.9,56.4,61,22,94.05,16.3,1
NIA COFFEY,LVA,24,21,10,11,15.6,6.2,2.2,5.9,38.2,0.1,0.2,40,1.6,2.6,61.8,0.8,1.8,2.5,0.7,1.4,0.3,0.2,1.8,10.6,1,0,-0.5,98.1,100.9,-2.7,7.7,0.52,7.8,4.4,10.9,7.6,15.1,39,44.2,21.9,101.4,3.4,0
NATASHA HOWARD,SEA,27,26,19,7,26.5,12.8,5.1,9.4,54.1,0.5,1.5,31.6,2.2,2.7,80.3,2.3,4.2,6.5,0.9,1.8,1,2,3.9,29.1,3,0,7.4,110.9,97.5,13.4,5.3,0.49,6.7,9.6,15.3,12.6,13.6,56.6,60.5,20.5,96.31,11.3,0
NATASHA CLOUD,WAS,27,19,12,7,26,8.2,3.2,7.4,43.3,0.9,2.7,33.3,0.9,1.1,81,0.3,3.1,3.3,4.5,1.7,0.7,0.2,1.8,20,1,0,4.5,110.7,101.4,9.3,25,2.69,32.1,1,12.4,6.7,11.9,49.3,51.9,16.1,95.7,9.6,0
NATALIE ACHONWA,IND,26,26,3,23,25.2,10.1,4,7.3,55.3,0,0,0,2,2.4,82.5,2.6,4.3,6.8,1.5,1.3,1,0.6,3.2,23.9,4,0,-5.9,93.6,104.1,-10.5,10.7,1.18,13.6,9.8,18.6,13.9,11.5,55.3,60.2,17,95.14,12.4,0
MYISHA HINES-ALLEN,WAS,23,22,13,9,11,3.9,1.5,3.5,44.7,0,0,0,0.8,1.2,65.4,1.3,1.8,3.1,0.4,0.4,0.4,0.2,1.6,9.5,2,0,-1.5,95.4,98.8,-3.4,7.1,1,8.6,10.9,17,13.8,8.6,44.7,48.6,16.8,96.8,9.6,0
MORIAH JEFFERSON,LVA,25,8,6,2,14.8,4.8,1.6,4.5,36.1,0.1,0.9,14.3,1.4,1.6,84.6,0.1,0.9,1,2.8,0.5,0.8,0,1.1,11.8,0,0,-0.3,96,96.8,-0.8,30.6,5.5,32.4,0.8,5.6,3.1,5.9,37.5,45.5,15.9,101.74,9.3,0
MORGAN TUCK,CON,25,26,14,12,13.3,5.7,2.3,4.8,48.8,0.7,1.8,38.3,0.3,0.5,75,0.8,1.6,2.3,0.4,0.7,0.5,0.2,1.2,10.4,0,0,2,106,96.6,9.4,4.9,0.65,7,5.5,11,8.3,10.8,56,57.2,17.9,98.01,9.9,0
MONIQUE CURRIE,WAS,36,25,14,11,15.7,6.8,2.2,5.5,39.4,0.4,1.8,24.4,2,2.4,83.6,0.7,2.5,3.2,0.7,1.2,0.4,0.2,2.7,12.2,0,0,-2,97.2,102.9,-5.7,8.7,0.6,8.5,4.1,16.9,10.1,14.1,43.4,51.9,21.2,97.17,6.9,0
MONIQUE BILLINGS,ATL,23,23,15,8,10.5,3.3,1.3,2.9,46.3,0,0,0,0.6,0.8,72.2,1.2,1.7,2.8,0.4,0.6,0.4,0,1.2,8,0,0,0.5,99,94,4.9,6.4,0.69,9.4,9.7,16.4,12.8,13.5,46.3,50.1,14.7,98.82,9.6,0
MERCEDES RUSSELL,SEA,23,16,10,6,5.8,1.4,0.5,1.1,47.1,0,0,0,0.4,0.6,70,0.3,1.1,1.4,0.2,0.2,0.1,0.2,0.6,4.2,0,0,0.8,96.4,93,3.3,5.4,1,10.7,5.3,20.2,12.5,10.7,47.1,53.7,11.2,98.13,8.9,0
MAYA MOORE,MIN,30,25,15,10,32.4,18.2,6.6,16.4,40.3,1.8,5.4,32.4,3.3,3.9,84.5,1.3,3.8,5.1,2.5,1.8,1.6,0.4,1.8,32.2,0,0,4.3,102.1,95,7.1,13.9,1.37,11.4,4.2,11.9,8.1,8.3,45.7,50.5,26.4,94.73,12.7,1
MARISSA COLEMAN,NYL,32,15,4,11,19.7,4.9,2,5.5,36.1,0.7,2.3,28.6,0.3,0.3,100,0.7,2.2,2.9,1.5,0.7,0.6,0.2,1.1,12.4,0,0,-2.8,96.7,104,-7.2,11.8,2.2,18.8,3.6,11.4,7.4,8.5,42.2,43.7,14.2,94.59,7,0
MARIE GÜLICH,PHO,25,18,11,7,5.3,1.5,0.6,1.3,45.8,0,0,0,0.3,0.3,83.3,0.5,0.4,0.9,0.1,0.5,0.1,0.3,0.8,3.2,0,0,-0.9,90.8,99,-8.2,3.8,0.22,5.3,9.8,6.6,8.1,23.7,45.8,50.7,15.7,99.21,2.8,0
MARIA VADEEVA,LAS,20,17,9,8,8.9,3.9,1.6,3,54.9,0.1,0.5,25,0.5,0.7,75,0.9,1.9,2.8,0.6,0.6,0.4,0.5,1.9,10.4,0,0,-0.4,96.7,98.7,-2,12.2,1,13.2,9.9,23.4,16.4,13.2,56.9,59.5,19.4,95.2,13.1,0
MAGGIE LUCAS,DAL,27,7,3,4,5.1,0.4,0.1,1.6,9.1,0.1,1.4,10,0,0,0,0.1,0.3,0.4,0,0.7,0.1,0,0,0.7,0,0,-4.4,64.6,103.8,-39.2,0,0,0,3,5.1,4.2,31.3,13.6,13.6,18.2,106.78,-8.4,0
LYNETTA KIZER,MIN,29,14,7,7,5.6,1.6,0.6,2.4,24.2,0,0.2,0,0.4,0.7,60,0.4,1.1,1.5,0.6,0.4,0.1,0,1.1,4.3,0,0,0.9,97.7,92.9,4.8,13.8,1.6,16,6.9,20.5,13.1,10,24.2,29.4,20,105.83,0.4,0
LIZ CAMBAGE,DAL,27,25,14,11,29.7,22.1,8.2,14,58.3,0.4,1.1,33.3,5.4,7.5,72.7,1.9,7.4,9.4,2.4,2.6,0.6,1.8,2.6,41.4,11,0,4.1,106.8,101,5.8,16.2,0.92,10.9,6.6,23.6,15.4,11.8,59.6,64,27.7,99.64,21.2,1
LINNAE HARPER,CHI,24,16,5,11,4.7,1.9,0.7,1.7,40.7,0.1,0.4,28.6,0.4,0.6,60,0.2,0.6,0.8,0.9,0.3,0.2,0,0.4,4.4,0,0,-2.3,89.4,113.9,-24.5,34.1,2.8,28,4.6,15.2,9.9,10,44.4,47.8,20.8,101.97,9.7,0
LINDSAY WHALEN,MIN,37,25,15,10,19.6,5.8,2,5.6,35.5,0.4,1.3,31.3,1.4,1.6,87.2,0.3,2.2,2.5,3.3,1.4,0.6,0.1,1.4,14.5,0,0,2.3,100.8,95.3,5.6,25.5,2.37,30.1,1.7,11,6.4,12.7,39,45.5,17.2,94.9,8.5,0
LINDSAY ALLEN,LVA,24,20,8,12,17.3,3.5,1.3,3.4,38.2,0.1,0.8,6.7,0.9,1.2,70.8,0.2,1.3,1.5,3.2,1,0.7,0,0.9,11.1,0,0,-1.3,94.5,99.6,-5.1,28.3,3.32,39.6,0.8,7.1,3.9,11.9,39,44.6,11,102.3,8.7,0
LEXIE BROWN,CON,24,17,10,7,6.8,2.1,0.7,2.5,28.6,0.5,1.6,32.1,0.2,0.3,60,0.1,0.9,1,0.7,0.5,0.3,0.1,0.6,5,0,0,1.1,106.9,100,6.9,14.6,1.5,18.8,0.8,12.6,6.8,12.5,39.3,40.7,18.7,95.71,5.8,0
LETICIA ROMERO,DAL,24,13,8,5,6.4,1.4,0.3,0.5,57.1,0.1,0.2,50,0.7,0.8,81.8,0.4,0.4,0.8,1.1,0.8,0,0,0.9,3.1,0,0,-1,98.8,104.6,-5.8,25.5,1.27,37.8,6.3,5.8,6,29.7,64.3,76,11.9,99.25,4.2,0
LEILANI MITCHELL,PHO,34,24,15,9,15.7,4.4,1.5,4.3,33.7,1,3.1,32.4,0.5,0.5,91.7,0.3,1.3,1.6,2.6,1.3,0.5,0.2,1.3,10.9,0,0,-1.6,94.2,99,-4.8,28.1,2.07,30.7,2.2,7.8,5.1,14.9,45.2,48,16.1,98.78,8,0
LAYSHIA CLARENDON,CON,28,25,13,12,16.5,4.3,1.5,4.2,35.2,0.1,0.6,12.5,1.2,1.6,79.5,0.5,1.4,2,1.9,1.3,0.4,0,1.5,9.3,0,0,-4.8,84.9,98,-13.1,20.4,1.42,23.3,2.8,8.1,5.4,16.3,36.2,43.8,15.6,99.31,5.6,0
LATOYA SANDERS,WAS,32,20,10,10,22.4,9.6,4,6.2,63.7,0,0,0,1.7,2,82.5,2.1,3.9,6,1.2,1,1.3,1,2.4,24.1,1,0,4,112.9,103.1,9.7,8.4,1.26,13,9.9,18.3,14.1,10.3,63.7,67.4,16.1,95,13.9,0
KRYSTAL THOMAS,WAS,30,18,10,8,11.3,2.1,0.8,2.1,40.5,0,0,0,0.4,0.6,63.6,1,1.9,2.9,0.2,0.9,0.2,0.1,2.2,6,0,0,-1.3,98.1,104.4,-6.3,3.1,0.25,6.3,9.1,18.1,13.6,25.4,40.5,44.2,12.5,97.26,1.3,0
KRISTI TOLIVER,WAS,32,25,14,11,32.8,13.7,4.3,10.1,42.5,2.1,6,34.9,3.1,3.4,91.7,0.2,1.8,2,4.5,2.4,1.3,0,1.6,24.4,0,0,4,109.3,103.1,6.2,21.1,1.84,24.4,0.6,6,3.2,13.3,52.8,59.4,18.7,95.09,10,1
KIAH STOKES,NYL,26,21,6,15,12.4,2.6,1.2,2.3,51,0,0,0,0.2,0.3,57.1,1.1,2.4,3.5,0.2,0.8,0.4,0.6,1.9,9.2,0,0,-3.2,91.4,103.6,-12.2,3.2,0.29,6.8,7.9,19.1,13.3,23,51,51.8,11.2,97.1,7.2,0
KIA VAUGHN,NYL,32,23,7,16,18.9,5.4,2.4,4.7,52.3,0,0,0,0.6,0.9,65,1.1,2.9,4,0.8,1.1,0.8,0.2,1.8,13.3,1,0,-2.3,96.6,102.4,-5.8,6.8,0.72,11.3,6.1,15.4,10.8,15.7,52.3,54,14.7,95.71,8.3,0
KIA NURSE,NYL,23,25,7,18,20.7,8.6,2.7,6.6,40.4,1.2,3.6,32.2,2,2.4,86.4,0.6,1.5,2.1,1.5,0.8,0.5,0.2,2.2,14.6,0,0,-2.6,99.2,104.8,-5.6,12.5,1.81,15.3,3,7.2,5.1,8.5,49.1,55.7,17.6,96.28,8.6,0
KELSEY PLUM,LVA,24,23,12,11,23.6,7.8,2.6,6.1,42.6,1.3,2.9,46.3,1.2,1.4,87.5,0.4,1.9,2.3,3.5,1.1,0.7,0.1,2.1,16.9,0,0,-0.1,102.2,102.3,-0.1,21.4,3.08,30.5,1.6,7.7,4.7,9.9,53.5,57.7,14.4,99.76,8,0
KELSEY MITCHELL,IND,23,26,3,23,26.1,13.3,4.3,12.2,35.4,2.2,6.4,34.7,2.5,3,81,0.2,1.4,1.6,2.7,2,0.7,0.1,2.7,19.5,0,0,-8.3,92.6,108.3,-15.7,19.7,1.32,14.7,0.7,5.8,3,11.2,44.6,49.3,25.9,97.14,6.1,0
KELSEY BONE,LVA,27,25,12,13,11.5,2.8,1.3,2.5,52.4,0,0,0,0.2,0.4,45.5,0.7,1.9,2.6,1.4,0.8,0.1,0.1,2,7.7,0,0,-3.8,90,104.6,-14.6,19.9,1.62,27.6,5.8,17.3,11.3,17.1,52.4,52.3,13,101.63,6,0
KAYLA THORNTON,DAL,26,25,14,11,28.7,9.1,3.2,7.3,44.5,1.2,3.5,33.3,1.4,1.7,85.7,1.3,3,4.4,2.1,1.1,1.1,0.4,3,21,0,0,4.4,105.9,99.4,6.6,11.2,1.96,18.9,4.7,10,7.4,9.6,52.5,56.6,13.5,98.73,8.3,0
KAYLA MCBRIDE,LVA,27,23,12,11,32.7,19.3,6.9,14.8,46.3,1.6,3.8,40.9,4,4.4,91.2,1,3,4,3.1,2.2,1.1,0.2,1.2,30.4,0,0,-0.7,103.3,104.2,-1,16.9,1.41,14.5,2.9,8.9,5.9,10.2,51.6,57.7,24,99.43,12.8,1
KAYLA ALEXANDER,IND,28,23,3,20,9,3,1.3,2.3,55.8,0,0,0,0.5,0.7,80,0.6,1.6,2.2,0.1,0.7,0.1,0.4,1.3,6.7,0,0,-5.3,81.4,111.3,-29.8,3.1,0.18,3.8,5.8,19.3,12,21.5,55.8,59.7,15.4,98.81,9.3,0
KARLIE SAMUELSON,LAS,24,15,7,8,5,1.3,0.5,1,46.7,0.3,0.9,38.5,0,0,0,0.1,0.5,0.7,0.2,0.2,0.1,0.3,0.9,3.6,0,0,-0.1,98.1,103.9,-5.8,6,1,14.3,3,14.5,8.2,14.3,63.3,63.3,10.3,98.56,4.9,0
KARIMA CHRISTMAS-KELLY,DAL,29,6,3,3,27.8,9.3,2.2,4.8,44.8,0.7,1.5,44.4,4.3,5.3,81.3,1.8,3.7,5.5,1.5,1.5,0.3,0.3,2.3,18.7,1,0,5.7,101.1,90.7,10.4,8.6,1,14.5,6.5,10.9,8.9,14.5,51.7,65,13,102.02,10.8,0
KALEENA MOSQUEDA-LEWIS,SEA,25,25,18,7,13.3,5.5,2,4.7,43.2,1.1,2.6,43.8,0.3,0.4,88.9,0.3,1.3,1.6,0.8,0.7,0.1,0,1.3,8.4,0,0,0.4,99.4,98.5,0.9,10.5,1.24,13.2,2.3,8.8,5.9,10.7,55.1,56.6,18.1,97.84,7.4,0
KAHLEAH COPPER,CHI,24,25,9,16,14.9,6.7,2.5,5.9,41.9,0.6,1.9,33.3,1.1,1.3,84.8,0.6,1.6,2.2,0.7,1,0.3,0.1,1.4,10.6,0,0,-2.8,95.6,104.7,-9.1,8.8,0.72,8.7,3.9,10.4,7.1,12.1,47.3,51.7,21.2,99.43,7.5,0
KAELA DAVIS,DAL,24,23,13,10,16,4.8,1.8,5.3,33.9,0.3,1.5,23.5,0.9,1.3,64.5,0.5,1.7,2.2,1.3,1.1,0.4,0,2.3,9.6,0,0,-0.3,102.8,103.1,-0.4,13.5,1.2,15.8,3.1,9.8,6.6,13.2,37.2,40.8,18.3,99.16,2.2,0
JORDIN CANADA,SEA,23,25,18,7,16.4,5.6,1.9,5.3,35.3,0.3,1.5,18.4,1.6,2,78,0.3,1.4,1.7,3.2,2,0.9,0,1.3,13.2,0,0,0.6,92.6,91.6,1,32.9,1.61,27.9,2,7.6,5,17.3,38,45.2,21.4,98.9,8.4,0
JONQUEL JONES,CON,25,26,14,12,20,9.8,3.7,7,52.2,1.1,2.7,40.6,1.4,2,70.6,1.9,3.2,5.1,1.6,1.4,0.5,1.1,3,21.6,0,0,3.5,104.4,95.2,9.2,12.5,1.17,15,9.6,15.9,12.7,12.9,59.9,62.1,19.2,97.55,13.1,0
JISU PARK,LVA,20,25,12,13,13.5,3.2,1.4,3.2,42.5,0,0.1,0,0.4,0.7,64.7,0.8,2.8,3.6,0.8,0.8,0.3,0.7,1.5,11.1,0,0,-1,96.1,99.9,-3.7,9.5,1.11,16.5,5.6,19.4,12.6,15,42.5,45.2,13.3,99.91,7.7,0
