LINEUPS,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
".S. Curry, .N. Bjelica, .O. Porter Jr., .A. Wiggins, .G. Payton II",GSW,3,1,1,0,2,0.0,0,2,0.0,1,4,25.0,1,2,3,0,1,1,0,0,1,3,-1
".S. Curry, .N. Bjelica, .O. Porter Jr., .J. Toscano-Anderson, .J. Poole",GSW,3,1,8,3,5,60.0,2,4,50.0,0,0,0.0,0,3,3,1,0,0,0,0,0,0,5
".S. Curry, .D. Green, .O. Porter Jr., .J. Toscano-Anderson, .J. Poole",GSW,3,1,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,-3
".A. Wiggins, .K. Looney, .G. Payton II, .J. Toscano-Anderson, .J. Kuminga",GSW,3,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
".A. Iguodala, .A. Wiggins, .K. Looney, .G. Payton II, .J. Toscano-Anderson",GSW,3,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,-1
".S. Curry, .D. Green, .O. Porter Jr., .K. Looney, .G. Payton II",GSW,2,29,87,34,59,57.6,10,23,43.5,9,11,81.8,10,20,30,23,5,4,7,1,12,10,19
".K. Looney, .D. Lee, .J. Toscano-Anderson, .J. Poole, .M. Moody",GSW,2,26,71,25,50,50.0,14,27,51.9,7,7,100,6,16,22,17,7,2,0,1,8,7,-3
".A. Iguodala, .S. Curry, .N. Bjelica, .D. Lee, .J. Toscano-Anderson",GSW,2,16,47,16,31,51.6,5,13,38.5,10,10,100,2,12,14,10,1,0,2,1,10,7,7
".K. Thompson, .D. Green, .A. Wiggins, .K. Looney, .J. Poole",GSW,2,16,28,12,33,36.4,2,9,22.2,2,2,100,3,15,18,9,4,1,0,3,7,3,-10
".A. Iguodala, .S. Curry, .O. Porter Jr., .D. Lee, .J. Kuminga",GSW,2,16,30,10,29,34.5,2,13,15.4,8,11,72.7,8,16,24,7,8,2,1,1,7,10,8
".K. Thompson, .D. Green, .O. Porter Jr., .G. Payton II, .D. Lee",GSW,2,15,31,11,28,39.3,1,7,14.3,8,9,88.9,5,10,15,7,6,5,0,1,7,8,-1
".K. Thompson, .J. Toscano-Anderson, .J. Poole, .J. Kuminga, .M. Moody",GSW,2,14,33,13,26,50.0,5,10,50.0,2,6,33.3,4,13,17,7,6,2,2,0,5,6,8
".K. Thompson, .K. Looney, .G. Payton II, .D. Lee, .J. Poole",GSW,2,13,29,11,20,55.0,3,9,33.3,4,4,100,4,11,15,6,5,0,1,1,3,6,12
".G. Payton II, .D. Lee, .J. Toscano-Anderson, .J. Kuminga, .M. Moody",GSW,2,13,28,10,20,50.0,4,8,50.0,4,7,57.1,1,10,11,6,2,1,0,2,5,5,-1
".S. Curry, .A. Wiggins, .K. Looney, .G. Payton II, .J. Toscano-Anderson",GSW,2,12,23,9,19,47.4,1,6,16.7,4,6,66.7,3,9,12,7,7,2,0,2,3,4,-3
".S. Curry, .J. Toscano-Anderson, .J. Poole, .J. Kuminga, .M. Moody",GSW,2,10,14,5,16,31.3,2,8,25.0,2,2,100,2,4,6,3,4,3,0,3,2,1,-15
".S. Curry, .N. Bjelica, .G. Payton II, .D. Lee, .J. Kuminga",GSW,2,9,20,7,13,53.8,4,8,50.0,2,2,100,1,3,4,6,1,3,1,0,3,2,-1
".N. Bjelica, .K. Thompson, .O. Porter Jr., .J. Poole, .J. Kuminga",GSW,2,9,26,11,17,64.7,3,5,60.0,1,2,50.0,2,7,9,6,2,3,1,1,6,3,1
".N. Bjelica, .K. Thompson, .O. Porter Jr., .C. Chiozza, .J. Kuminga",GSW,2,9,18,7,11,63.6,3,6,50.0,1,2,50.0,0,5,5,6,4,2,0,0,2,1,1
