 ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
21,Darius Garland,CLE,23,1,0,1,6.5,5,2,5,40.0,1,1,100,0,0,0.0,0,0,0,1,0,2,0,1,13,0,0,-7,
21,Jalen Brunson,NYK,26,1,1,0,8.3,5,2,3,66.7,0,0,0.0,1,1,100,0,0,0,2,1,0,0,1,7,0,0,9,
21,Joel Embiid,PHI,29,1,1,0,12.0,5,2,5,40.0,0,1,0.0,1,1,100,0,5,5,1,3,0,1,2,13,1,0,11,
21,Josh Hart,NYK,28,1,1,0,8.3,5,2,2,100,1,1,100,0,0,0.0,1,2,3,0,1,1,0,0,11,0,0,9,
21,Karl-Anthony Towns,MIN,27,1,0,1,12.0,5,2,2,100,1,1,100,0,0,0.0,0,1,1,0,0,1,0,1,9,0,0,-3,
21,Keegan Murray,SAC,22,1,0,1,5.9,5,2,5,40.0,1,3,33.3,0,0,0.0,2,0,2,0,0,1,0,2,10,0,0,5,
21,Terance Mann,LAC,26,1,0,1,12.0,5,2,2,100,1,1,100,0,0,0.0,0,2,2,2,0,1,0,3,13,0,0,4,
21,Torrey Craig,PHX,32,1,1,0,6.5,5,1,1,100,1,1,100,2,2,100,1,0,1,0,0,0,0,4,6,0,0,-3,
30,Aaron Gordon,DEN,27,1,1,0,6.2,4,1,1,100,0,0,0.0,2,2,100,0,1,1,0,0,0,0,1,5,0,0,2,
30,Chris Paul,PHX,37,1,1,0,12.0,4,2,8,25.0,0,3,0.0,0,2,0.0,2,3,5,2,1,0,1,2,15,0,0,-4,
30,De'Anthony Melton,PHI,24,1,1,0,12.0,4,2,2,100,0,0,0.0,0,0,0.0,1,0,1,1,1,3,0,0,15,0,0,11,
30,Domantas Sabonis,SAC,26,1,0,1,7.0,4,2,4,50.0,0,1,0.0,0,0,0.0,0,1,1,0,1,1,0,1,7,1,0,-8,
30,Eric Gordon,LAC,34,1,0,1,9.1,4,1,1,100,0,0,0.0,2,2,100,0,0,0,1,0,0,1,0,9,0,0,8,
30,Immanuel Quickley,NYK,23,1,1,0,7.3,4,1,2,50.0,1,1,100,1,2,50.0,0,1,1,1,0,0,0,0,7,0,0,6,
30,Mikal Bridges,BKN,26,1,0,1,12.0,4,1,5,20.0,0,0,0.0,2,2,100,0,1,1,1,0,1,0,1,10,0,0,-11,
30,Nic Claxton,BKN,24,1,0,1,3.2,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,5,0,0,-1,
30,Nikola Jokic,DEN,28,1,1,0,12.0,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,2,1,0,0,0,8,1,1,3,
30,Robin Lopez,CLE,35,1,0,1,3.7,4,1,1,100,0,0,0.0,2,2,100,1,0,1,0,1,0,0,2,4,0,0,6,
40,De'Andre Hunter,ATL,25,1,1,0,9.7,3,1,2,50.0,0,1,0.0,1,2,50.0,0,0,0,0,1,0,0,2,2,0,0,5,
40,Donte DiVincenzo,GSW,26,1,1,0,8.6,3,1,3,33.3,1,2,50.0,0,0,0.0,1,2,3,3,1,2,0,0,16,0,0,5,
40,Dorian Finney-Smith,BKN,29,1,0,1,8.8,3,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,2,4,0,0,-10,
40,Georges Niang,PHI,29,1,1,0,6.7,3,1,2,50.0,1,1,100,0,0,0.0,0,1,1,0,0,0,0,0,4,0,0,3,
40,Isaiah Hartenstein,NYK,24,1,1,0,6.1,3,1,2,50.0,0,0,0.0,1,2,50.0,1,2,3,0,1,0,0,1,6,0,0,-7,
40,Jamal Murray,DEN,26,1,1,0,6.5,3,0,2,0.0,0,1,0.0,3,4,75.0,0,1,1,2,0,2,0,0,13,0,0,2,
40,Nickeil Alexander-Walker,MIN,24,1,0,1,1.6,3,1,1,100,1,1,100,0,0,0.0,0,1,1,0,0,0,0,0,4,0,0,0,
40,PJ Dozier,SAC,26,1,0,1,3.0,3,1,2,50.0,1,2,50.0,0,0,0.0,1,1,2,0,0,0,0,0,5,0,0,4,
40,Saddiq Bey,ATL,24,1,1,0,12.0,3,1,3,33.3,1,1,100,0,0,0.0,1,5,6,0,1,0,0,0,9,0,0,1,
40,Tobias Harris,PHI,30,1,1,0,12.0,3,1,5,20.0,1,2,50.0,0,0,0.0,0,3,3,0,0,0,0,0,7,0,0,11,
50,Andrew Wiggins,GSW,28,1,1,0,6.3,2,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,6,
50,Bismack Biyombo,PHX,30,1,1,0,2.9,2,1,1,100,0,0,0.0,0,1,0.0,0,0,0,1,0,0,0,0,4,0,0,4,
50,De'Aaron Fox,SAC,25,1,0,1,9.0,2,1,4,25.0,0,2,0.0,0,0,0.0,0,1,1,5,1,0,0,0,10,0,0,-9,
50,Donovan Mitchell,CLE,26,1,0,1,7.3,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,2,1,1,0,1,7,0,0,-6,
50,Evan Mobley,CLE,21,1,0,1,7.3,2,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,1,2,1,0,-6,
50,Isaac Okoro,CLE,22,1,0,1,4.7,2,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,3,0,0,3,
50,Jalen Johnson,ATL,21,1,1,0,2.3,2,0,0,0.0,0,0,0.0,2,2,100,0,0,0,0,2,0,0,1,0,0,0,-4,
50,Jaylen Brown,BOS,26,1,0,1,12.0,2,1,3,33.3,0,2,0.0,0,0,0.0,0,0,0,2,1,3,0,1,13,0,0,-1,
50,Jordan Poole,GSW,23,1,1,0,2.2,2,0,1,0.0,0,1,0.0,2,2,100,0,0,0,1,0,1,0,0,7,0,0,3,
50,Josh Okogie,PHX,24,1,1,0,6.1,2,0,1,0.0,0,0,0.0,2,2,100,3,0,3,0,1,0,0,0,5,0,0,-5,
50,Kevin Huerter,SAC,24,1,0,1,6.1,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,1,0,0,-10,
50,Kevon Looney,GSW,27,1,1,0,7.5,2,1,2,50.0,0,0,0.0,0,0,0.0,1,2,3,3,0,0,0,0,10,0,0,9,
50,Lamar Stevens,CLE,25,1,0,1,3.7,2,0,1,0.0,0,0,0.0,2,2,100,0,3,3,0,0,0,0,0,6,0,0,6,
50,Malcolm Brogdon,BOS,30,1,0,1,4.0,2,1,3,33.3,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,0,5,0,0,7,
50,Malik Monk,SAC,25,1,0,1,7.7,2,0,1,0.0,0,1,0.0,2,2,100,0,1,1,1,0,0,0,0,5,0,0,-8,
50,Mason Plumlee,LAC,33,1,0,1,2.6,2,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,0,0,-4,
50,Mike Conley,MIN,35,1,0,1,11.4,2,0,3,0.0,0,1,0.0,2,2,100,0,0,0,0,2,0,0,1,0,0,0,-3,
50,Mitchell Robinson,NYK,25,1,1,0,5.9,2,1,1,100,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,0,8,0,0,10,
50,Robert Williams III,BOS,25,1,0,1,3.4,2,1,1,100,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,3,0,0,3,
50,Royce O'Neale,BKN,29,1,0,1,12.0,2,1,3,33.3,0,2,0.0,0,0,0.0,2,3,5,0,2,1,1,0,12,0,0,-11,
50,Spencer Dinwiddie,BKN,30,1,0,1,12.0,2,0,2,0.0,0,1,0.0,2,4,50.0,0,0,0,0,2,0,0,0,0,0,0,-11,
50,Taurean Prince,MIN,29,1,0,1,4.3,2,0,0,0.0,0,0,0.0,2,2,100,0,1,1,0,1,0,0,0,2,0,0,1,
72,Chimezie Metu,SAC,26,1,0,1,3.0,1,0,0,0.0,0,0,0.0,1,1,100,0,0,0,0,1,0,0,0,0,0,0,4,
72,Kentavious Caldwell-Pope,DEN,30,1,1,0,5.6,1,0,2,0.0,0,2,0.0,1,2,50.0,0,0,0,0,0,0,0,2,1,0,0,2,
72,P.J. Tucker,PHI,37,1,1,0,5.3,1,0,0,0.0,0,0,0.0,1,2,50.0,2,3,5,0,0,0,0,1,7,0,0,8,
72,Raul Neto,CLE,30,1,0,1,3.7,1,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,1,2,0,0,0,1,0,0,6,
76,Anthony Lamb,GSW,25,1,1,0,2.5,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-1,0,0,-5,
76,Austin Rivers,MIN,30,1,0,1,0.2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,
76,Bogdan Bogdanovic,ATL,30,1,1,0,1.2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-4,
76,Bruce Brown,DEN,26,1,1,0,6.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,1,0,0,1,2,0,0,1,
76,Cameron Johnson,BKN,27,1,0,1,12.0,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,0,6,0,0,-11,
76,Cedi Osman,CLE,28,1,0,1,2.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-5,
76,Clint Capela,ATL,28,1,1,0,4.1,0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,1,1,0,1,
76,DaQuan Jeffries,NYK,25,1,1,0,3.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,-6,
76,Danny Green,CLE,35,1,0,1,2.4,0,0,1,0.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,2,0,0,1,
76,Davion Mitchell,SAC,24,1,0,1,1.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,
76,Day'Ron Sharpe,BKN,21,1,0,1,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
76,Dean Wade,CLE,26,1,0,1,3.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0,0,6,
76,Deandre Ayton,PHX,24,1,1,0,7.6,0,0,0,0.0,0,0,0.0,0,2,0.0,2,1,3,0,0,0,0,0,4,1,0,0,
76,Derrick Rose,NYK,34,1,1,0,2.5,0,0,4,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,-7,
76,Derrick White,BOS,28,1,0,1,10.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,3,2,0,0,-5,
76,Grant Williams,BOS,24,1,0,1,3.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,3,
76,JaMychal Green,GSW,32,1,1,0,0.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,
76,Jarrett Allen,CLE,25,1,0,1,5.9,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,3,0,0,-10,
76,Jeff Green,DEN,36,1,1,0,5.8,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,0,4,0,0,1,
76,Julius Randle,NYK,28,1,1,0,2.2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-1,0,0,4,
76,Kessler Edwards,SAC,22,1,0,1,3.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,
76,Kyle Anderson,MIN,29,1,0,1,8.3,0,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,3,0,1,0,2,9,0,0,-4,
76,Marcus Morris Sr.,LAC,33,1,0,1,3.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,-4,
76,Miles McBride,NYK,22,1,1,0,3.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-6,
76,Moses Moody,GSW,20,1,1,0,4.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-4,
76,Onyeka Okongwu,ATL,22,1,1,0,7.9,0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,4,1,1,0,1,2,8,0,0,0,
76,Patrick Baldwin Jr.,GSW,20,1,1,0,2.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-5,
76,RJ Barrett,NYK,22,1,1,0,2.2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,4,
76,Rudy Gobert,MIN,30,1,0,1,10.4,0,0,0,0.0,0,0,0.0,0,2,0.0,0,2,2,1,0,0,0,3,4,1,0,-3,
76,Terence Davis,SAC,25,1,0,1,3.0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,3,0,0,4,
76,Trey Lyles,SAC,27,1,0,1,2.0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,0,0,-1,
,Anthony Davis,LAL,30,1,1,0,7.5,5,2,4,50.0,1,3,33.3,0,0,0.0,1,0,1,0,1,0,0,0,5,1,0,-7,
,Austin Reaves,LAL,24,1,1,0,12.0,5,2,3,66.7,1,2,50.0,0,0,0.0,2,1,3,0,0,0,0,0,9,0,0,-10,
,D'Angelo Russell,LAL,27,1,1,0,7.5,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,0,1,0,0,1,3,0,0,-7,
,Dennis Schroder,LAL,29,1,1,0,6.7,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,-8,
,Jarred Vanderbilt,LAL,24,1,1,0,5.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,-2,
,LeBron James,LAL,38,1,1,0,12.0,6,1,5,20.0,0,1,0.0,4,5,80.0,0,1,1,3,1,0,1,0,14,0,0,-10,
,Rui Hachimura,LAL,25,1,1,0,4.5,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,
,Troy Brown Jr.,LAL,23,1,1,0,4.5,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-3,
,David Roddy,MEM,22,1,0,1,1.1,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,-2,
,Desmond Bane,MEM,24,1,0,1,10.9,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,0,6,0,0,12,
,Ja Morant,MEM,23,1,0,1,10.6,24,9,12,75.0,4,6,66.7,2,2,100,1,2,3,3,0,0,0,0,32,1,0,12,
,Jaren Jackson Jr.,MEM,23,1,0,1,12.0,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,10,
,John Konchar,MEM,27,1,0,1,1.1,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,
,Luke Kennard,MEM,26,1,0,1,6.1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,1,5,0,0,5,
,Tyus Jones,MEM,26,1,0,1,6.2,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,4,0,0,5,
,Xavier Tillman,MEM,24,1,0,1,12.0,2,1,1,100,0,0,0.0,0,0,0.0,0,3,3,1,0,1,1,2,13,0,0,10,
,Bam Adebayo,MIA,25,1,1,0,8.1,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,3,1,1,0,0,13,1,0,11,
,Caleb Martin,MIA,27,1,1,0,9.5,4,2,4,50.0,0,2,0.0,0,0,0.0,2,2,4,0,0,2,0,1,15,1,0,12,
,Cody Zeller,MIA,30,1,1,0,3.9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-4,
,Duncan Robinson,MIA,29,1,1,0,12.0,11,4,6,66.7,2,3,66.7,1,1,100,0,2,2,1,2,0,0,0,13,0,0,7,
,Haywood Highsmith,MIA,26,1,1,0,3.9,4,1,1,100,0,0,0.0,2,2,100,0,1,1,0,0,0,0,1,5,0,0,-2,
,Kyle Lowry,MIA,37,1,1,0,8.6,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,1,4,0,0,14,
,Omer Yurtseven,MIA,24,1,1,0,3.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,-7,
,Udonis Haslem,MIA,42,1,1,0,2.5,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-5,
,Victor Oladipo,MIA,30,1,1,0,8.1,4,2,2,100,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,2,10,0,0,9,
,Bobby Portis,MIL,28,1,0,1,4.7,0,0,3,0.0,0,2,0.0,0,0,0.0,2,2,4,0,0,1,0,1,8,0,0,-6,
,Brook Lopez,MIL,35,1,0,1,3.4,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-1,0,0,-5,
,Goran Dragic,MIL,36,1,0,1,3.9,2,0,2,0.0,0,1,0.0,2,2,100,0,0,0,1,0,0,0,0,4,0,0,4,
,Grayson Allen,MIL,27,1,0,1,5.8,3,1,2,50.0,1,1,100,0,0,0.0,1,0,1,0,0,0,0,0,4,0,0,-6,
,Jae Crowder,MIL,32,1,0,1,6.2,5,2,3,66.7,0,0,0.0,1,2,50.0,0,1,1,1,0,1,0,0,11,0,0,-1,
,Jevon Carter,MIL,27,1,0,1,2.2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-5,
,Joe Ingles,MIL,35,1,0,1,5.8,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-1,0,0,-11,
,Jrue Holiday,MIL,32,1,0,1,5.8,2,1,3,33.3,0,0,0.0,0,1,0.0,1,0,1,0,2,0,0,0,1,0,0,-6,
,Khris Middleton,MIL,31,1,0,1,5.8,3,1,2,50.0,0,1,0.0,1,1,100,0,1,1,1,1,1,0,0,8,0,0,-6,
,MarJon Beauchamp,MIL,22,1,0,1,3.9,5,2,3,66.7,1,1,100,0,0,0.0,0,1,1,0,0,0,0,0,6,0,0,4,
,Meyers Leonard,MIL,31,1,0,1,3.9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,4,
,Pat Connaughton,MIL,30,1,0,1,4.4,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,3,0,0,-5,
,Thanasis Antetokounmpo,MIL,30,1,0,1,3.9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,
