,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,45,6,2022-01-20,31-346,GSW,,IND,L (-4),1,23:06,6,17,0.353,0,7,0.000,0,0,,1,1,2,1,0,0,2,1,12,1.8,-4
,46,,2022-01-21,31-347,GSW,,HOU,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,47,,2022-01-23,31-349,GSW,,UTA,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
,48,7,2022-01-25,31-351,GSW,,DAL,W (+38),1,25:38,6,12,0.500,3,5,0.600,0,0,,0,2,2,6,0,0,1,0,15,12.8,26
,49,8,2022-01-27,31-353,GSW,,MIN,W (+9),1,26:59,9,16,0.563,5,9,0.556,0,0,,1,4,5,4,0,1,4,1,23,16.4,4
,50,9,2022-01-29,31-355,GSW,,BRK,W (+4),1,26:47,5,14,0.357,2,8,0.250,4,4,1.000,2,4,6,2,1,1,0,1,16,13.5,-3
,51,10,2022-01-31,31-357,GSW,@,HOU,W (+14),1,26:17,6,15,0.400,1,8,0.125,1,1,1.000,0,3,3,3,1,1,1,2,14,8.8,7
,52,,2022-02-01,31-358,GSW,@,SAS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,53,11,2022-02-03,31-360,GSW,,SAC,W (+12),1,23:45,8,11,0.727,7,9,0.778,0,0,,0,5,5,7,0,0,2,3,23,21.7,20
,54,12,2022-02-07,31-364,GSW,@,OKC,W (+12),1,28:58,6,15,0.400,3,8,0.375,6,6,1.000,0,2,2,2,2,1,0,2,21,16.8,0
,55,,2022-02-09,32-001,GSW,@,UTA,L (-26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,56,13,2022-02-10,32-002,GSW,,NYK,L (-2),1,29:34,7,17,0.412,3,9,0.333,0,0,,0,7,7,5,0,1,1,1,17,12.8,1
,57,14,2022-02-12,32-004,GSW,,LAL,W (+2),1,30:01,12,22,0.545,5,9,0.556,4,5,0.800,0,5,5,0,0,0,1,3,33,21.3,10
,58,15,2022-02-14,32-006,GSW,@,LAC,L (-15),1,26:41,3,14,0.214,1,5,0.200,0,0,,0,4,4,4,1,0,1,1,7,2.0,-23
,59,16,2022-02-16,32-008,GSW,,DEN,L (-1),1,31:08,5,15,0.333,3,10,0.300,3,4,0.750,0,4,4,4,1,0,0,2,16,11.3,0
,60,17,2022-02-24,32-016,GSW,@,POR,W (+37),1,24:56,6,11,0.545,4,7,0.571,2,2,1.000,1,4,5,2,0,0,0,0,18,16.0,11
,61,,2022-02-27,32-019,GSW,,DAL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,62,,2022-03-01,32-021,GSW,@,MIN,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,63,18,2022-03-03,32-023,GSW,@,DAL,L (-9),1,28:14,6,17,0.353,2,8,0.250,2,2,1.000,0,3,3,2,0,1,2,2,16,6.7,-10
,64,19,2022-03-05,32-025,GSW,@,LAL,L (-8),1,31:24,3,13,0.231,1,5,0.200,0,0,,1,5,6,4,1,3,4,3,7,2.0,-5
