,Player,FG-FGA,3P-3PA,FT-FTA,Off,Def,Tot,PF,TP,A,TO,Blk,Stl,Min,Date,Event
21,Rulian Stewart,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,2,07/24/2022,16U Peach Jam
22,Caleb Williams,4-8,2-5,0-0,2,5,7,2,10,1,0,0,0,19,07/24/2022,16U Peach Jam
0,Daquan Davis,2-6,1-3,0-0,1,2,3,3,5,3,0,0,0,18,07/22/2022,16U Peach Jam
1,Nykolas Lewis,4-12,2-5,2-2,2,2,4,1,12,2,0,1,1,26,07/22/2022,16U Peach Jam
2,Nathan Guerengomba,5-6,1-1,3-5,1,0,1,3,14,0,1,0,0,12,07/22/2022,16U Peach Jam
3,Alfred Swinton,2-3,1-2,2-4,0,3,3,2,7,1,1,0,1,20,07/22/2022,16U Peach Jam
4,Mekai Johnson,0-1,0-1,0-0,0,2,2,0,0,0,0,0,0,3,07/22/2022,16U Peach Jam
5,Nijel Howard,1-3,0-2,0-0,1,1,2,1,2,0,0,0,0,2,07/22/2022,16U Peach Jam
6,Garrett Sundra,2-4,2-2,0-0,0,1,1,2,6,1,0,0,0,12,07/22/2022,16U Peach Jam
7,Daniel Holmes,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/22/2022,16U Peach Jam
8,Benjamin Hammond,4-9,0-2,2-2,1,2,3,0,10,2,2,0,1,19,07/22/2022,16U Peach Jam
9,Christian Gurdak,4-6,0-0,2-5,2,4,6,1,10,0,1,0,0,19,07/22/2022,16U Peach Jam
10,Rulian Stewart,0-2,0-1,0-0,1,0,1,1,0,0,0,0,0,7,07/22/2022,16U Peach Jam
11,Caleb Williams,3-8,0-2,0-0,4,2,6,3,6,3,0,0,1,21,07/22/2022,16U Peach Jam
12,Taj DeGourville,6-17,2-6,2-5,4,3,7,3,16,1,1,0,1,27,07/22/2022,16U Peach Jam
13,Ryder Elisaldez,0-3,0-1,2-2,0,3,3,2,2,3,3,0,1,22,07/22/2022,16U Peach Jam
14,Anthony Gilkes,1-3,0-1,0-0,0,1,1,1,2,1,1,0,0,12,07/22/2022,16U Peach Jam
15,Khaman Maker,0-2,0-1,1-5,1,3,4,4,1,0,1,6,0,24,07/22/2022,16U Peach Jam
16,Josiah Cunningham,1-3,0-1,2-4,1,1,2,2,4,0,2,0,0,15,07/22/2022,16U Peach Jam
17,Christopher Nwuli,1-5,0-0,0-0,1,2,3,1,2,1,2,1,0,22,07/22/2022,16U Peach Jam
18,Anthony Nwuli,0-1,0-0,0-0,0,1,1,3,0,1,0,0,0,11,07/22/2022,16U Peach Jam
19,John Mobley,5-11,2-7,7-7,0,0,0,2,19,1,4,0,2,26,07/22/2022,16U Peach Jam
