Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Tiffany Mitchell,IND,33,14,25.2,3.3,8.7,0.381,0.6,2.1,0.29,2.7,6.6,0.41,0.416,2.5,2.8,0.892,0.7,2.9,2.2,0.6,0.1,1.7,2.5,9.7
Renee Montgomery,ATL,34,34,27.9,3.1,8.5,0.37,2,6.2,0.324,1.1,2.3,0.494,0.488,1.2,1.5,0.824,0.3,2.2,2.6,0.9,0.2,1.9,1.5,9.5
Kaleena Mosqueda-Lewis,SEA,31,4,14,2.1,5.3,0.399,0.9,2.6,0.341,1.2,2.6,0.457,0.485,0.5,0.5,1,0.3,1.2,0.5,0.3,0.2,1.2,1.3,5.5
Jaime Nared,LVA,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0
Astou Ndour,CHI,21,11,17.5,2.8,5.6,0.492,0.7,1.6,0.424,2.1,4,0.518,0.551,0.6,0.9,0.722,1.4,4.2,0.7,0.5,0.7,0.7,1.7,6.8
Kia Nurse,NYL,34,34,29.4,4.2,10.6,0.393,1.9,5.4,0.353,2.3,5.2,0.435,0.483,3.4,3.9,0.872,0.6,2.5,2.3,0.7,0.1,1.6,1.8,13.7
Arike Ogunbowale,DAL,33,28,32.1,6.5,16.7,0.388,1.7,4.9,0.352,4.8,11.8,0.404,0.44,4.4,5.4,0.815,0.6,2.4,3.2,1.1,0,2.1,2.6,19.1
Chiney Ogwumike,LAS,32,14,21.8,3.9,7.9,0.494,0,0.1,0.25,3.9,7.8,0.498,0.496,1.7,2.1,0.809,2.5,5.8,0.8,1,0.7,1.3,3.4,9.6
Nneka Ogwumike,LAS,32,32,27.9,6.5,12.7,0.51,0.7,2.1,0.338,5.8,10.6,0.544,0.538,2.4,2.9,0.828,2.3,8.8,1.8,1.9,0.5,1.8,2.9,16.1
Courtney Paris,SEA,30,0,6.3,0.2,0.5,0.4,0,0,,0.2,0.5,0.4,0.4,0.1,0.2,0.429,0.4,1.7,0.4,0.3,0.1,0.3,0.6,0.5
Candace Parker,LAS,22,22,26,4,9.6,0.422,0.7,2.7,0.267,3.3,6.9,0.483,0.46,2.4,3,0.791,1.1,6.4,3.5,1,0.8,2.5,1.8,11.2
Cheyenne Parker,CHI,34,0,19.7,3.1,6.9,0.459,0.1,0.5,0.278,3,6.3,0.474,0.47,2.4,2.8,0.842,1.8,5.8,0.9,0.7,1.2,1.3,2.4,8.8
JiSu Park,LVA,25,0,6.5,0.3,1.5,0.216,0,0,0,0.3,1.4,0.222,0.216,0.2,0.4,0.444,0.4,1.1,0.4,0.2,0.2,0.3,0.9,0.8
Shey Peddy,WAS,15,0,4.7,0.5,0.9,0.615,0.3,0.5,0.5,0.3,0.3,0.8,0.769,0.4,0.4,1,0.1,0.6,0.5,0.3,0,0.2,0.5,1.7
Haley Peters,ATL,4,0,6.5,0,1.8,0,0,0,,0,1.8,0,0,0.5,0.5,1,0.3,0.5,0.3,0.3,0.3,1,0.8,0.5
Theresa Plaisance,TOT,31,12,14.3,1.7,4.7,0.37,0.8,2.4,0.342,0.9,2.4,0.397,0.455,0.7,0.8,0.808,0.8,3.6,1.1,0.3,0.6,1,2.1,5
Kelsey Plum,LVA,34,30,25.5,3.1,8.6,0.365,1.3,3.7,0.36,1.8,4.9,0.369,0.442,1,1.1,0.872,0.4,2.9,3,0.8,0.1,1.6,2.2,8.6
Aerial Powers,WAS,30,7,19.8,3.6,8.3,0.434,1.4,3.9,0.362,2.2,4.4,0.496,0.518,2.8,3.3,0.867,1.1,3.2,1.5,0.8,0.2,1.5,1.6,11.4
Epiphanny Prince,LVA,3,0,9.3,1.7,3.3,0.5,1,2.3,0.429,0.7,1,0.667,0.65,0,0,,0.3,0.7,1,0.3,0.3,0,1.7,4.3
