LINEUPS,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
".A. Wiggins, .G. Payton II, .D. Lee, .C. Chiozza, .J. Toscano-Anderson",GSW,1,3.1,6.0,2.0,3.0,66.7,0.0,1.0,0.0,2.0,2.0,100,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0
".D. Lee, .C. Chiozza, .J. Toscano-Anderson, .Q. Weatherspoon, .J. Kuminga",GSW,1,3.1,7.0,3.0,5.0,60.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0
".S. Curry, .K. Thompson, .O. Porter Jr., .J. Poole, .J. Kuminga",GSW,1,3.1,4.0,2.0,6.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,-1.0
".S. Curry, .N. Bjelica, .C. Chiozza, .J. Kuminga, .M. Moody",GSW,1,3.1,6.0,2.0,5.0,40.0,1.0,3.0,33.3,1.0,1.0,100,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
".S. Curry, .O. Porter Jr., .A. Wiggins, .G. Payton II, .J. Poole",GSW,1,3.1,13.0,4.0,7.0,57.1,2.0,4.0,50.0,3.0,4.0,75.0,0.0,4.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,9.0
".A. Wiggins, .D. Lee, .J. Poole, .J. Kuminga, .M. Moody",GSW,1,3.0,4.0,1.0,5.0,20.0,0.0,3.0,0.0,2.0,2.0,100,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,-4.0
".J. Toscano-Anderson, .J. Poole, .J. Kuminga, .J. Dowtin, .M. Moody",GSW,1,3.0,3.0,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,-5.0
".K. Looney, .D. Lee, .C. Chiozza, .J. Toscano-Anderson, .M. Moody",GSW,1,3.0,6.0,2.0,4.0,50.0,1.0,2.0,50.0,1.0,2.0,50.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
".N. Bjelica, .A. Wiggins, .J. Poole, .J. Kuminga, .M. Moody",GSW,1,3.0,7.0,2.0,5.0,40.0,1.0,3.0,33.3,2.0,2.0,100,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
".N. Bjelica, .D. Green, .G. Payton II, .C. Chiozza, .J. Toscano-Anderson",GSW,1,3.0,3.0,1.0,5.0,20.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,-1.0
