Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
11,Jarrett Allen,C,20,BRK,66,1760,19,0.63,0.086,0.476,10,23.9,16.9,8.3,1,4.5,12.7,16.2,3.8,2.6,6.5,0.176,-0.4,3,2.7,2.1
12,Kadeem Allen,SG,26,NYK,10,225,17.2,0.578,0.211,0.342,2.2,11.6,6.7,31.5,1.7,0.4,11.2,18.5,0.5,0.1,0.6,0.138,1.2,-2,-0.8,0.1
13,Al-Farouq Aminu,PF,28,POR,66,1911,13.2,0.578,0.49,0.296,5.4,22.3,14,6.2,1.4,1.1,9.8,13.1,2.7,2.2,4.9,0.124,0.2,0.9,1.1,1.5
14,Justin Anderson,SF,25,ATL,36,277,7.7,0.459,0.473,0.231,4.2,13.3,8.6,6.5,2,2.5,13,17,-0.2,0.2,0,-0.007,-4.7,-0.8,-5.5,-0.2
15,Kyle Anderson,SF,25,MEM,43,1281,12.9,0.569,0.123,0.232,4.2,18.2,11.1,15.2,2.1,2.8,16,12.7,0.8,2,2.9,0.108,-2.1,3.6,1.5,1.1
16,Ryan Anderson,PF,30,TOT,20,298,5,0.437,0.569,0.246,5.9,12.2,9,8,0.5,0.3,15.3,12.2,-0.2,0,-0.2,-0.028,-4.1,-2.1,-6.2,-0.3
16,Ryan Anderson,PF,30,PHO,15,278,4.6,0.423,0.567,0.233,5.5,12.7,9,8.1,0.5,0.3,15.4,12.1,-0.2,0,-0.2,-0.036,-4.4,-2,-6.4,-0.3
16,Ryan Anderson,PF,30,MIA,5,20,9.9,0.595,0.6,0.4,10.8,5.4,8.1,6.9,0,0,14.5,14.7,0,0,0,0.082,-0.2,-3.5,-3.7,0
17,Ike Anigbogu,C,20,IND,3,6,-6,0,0,0,19,36.2,27.8,19.3,0,14.9,25,29.2,-0.1,0,-0.1,-0.476,-22.6,8.6,-14,0
18,Giannis Antetokounmpo,PF,24,MIL,62,2047,30.2,0.639,0.148,0.536,7.6,30.4,19.6,30.2,1.9,3.6,15.3,31.8,7.3,4.8,12.1,0.283,5.4,5,10.4,6.4
19,Carmelo Anthony,PF,34,HOU,10,294,11,0.513,0.529,0.182,3.3,17.7,10.3,2.7,0.7,2,5.8,20.4,0.1,0.2,0.3,0.042,-3,-3.2,-6.2,-0.3
20,OG Anunoby,SF,21,TOR,56,1145,9.8,0.542,0.504,0.145,4.5,11.3,8,4.5,1.6,1.1,10,15.2,0.4,1.3,1.7,0.072,-1.1,0,-1.1,0.3
21,Ryan Arcidiacono,PG,24,CHI,67,1650,10.7,0.589,0.592,0.226,1.2,10,5.6,19,1.6,0.2,13.5,10.6,2.1,0.8,2.9,0.085,-0.3,-1,-1.3,0.3
22,Trevor Ariza,SF,33,TOT,62,2188,12.2,0.537,0.59,0.231,2.4,15.1,8.6,15,1.9,0.7,11.6,16.6,1.4,1.2,2.5,0.056,0.1,-0.3,-0.2,1
22,Trevor Ariza,SF,33,PHO,26,884,10.5,0.525,0.612,0.189,2,16.6,9.1,13.5,2.1,0.8,13.7,13.8,0.2,0.5,0.7,0.038,-1.2,0.4,-0.8,0.3
22,Trevor Ariza,SF,33,WAS,36,1304,13.4,0.543,0.579,0.252,2.6,14.1,8.3,15.9,1.8,0.6,10.6,18.4,1.2,0.7,1.8,0.068,0.9,-0.7,0.2,0.7
23,D.J. Augustin,PG,31,ORL,67,1851,15.3,0.626,0.476,0.333,1.8,7.2,4.5,25.6,1.1,0.1,14.6,16.9,4,1.4,5.4,0.141,1.6,-2.1,-0.4,0.7
24,Deandre Ayton,C,20,PHO,62,1920,21,0.613,0.005,0.221,11,26.5,18.6,10.4,1.3,2.4,11,21.1,4.1,1.6,5.7,0.142,0.5,0.4,0.9,1.4
25,Dwayne Bacon,SG,23,CHO,27,309,11,0.61,0.313,0.135,1,13.4,7.2,9.6,0.6,0.3,11.3,15.9,0.3,0.1,0.5,0.071,-1.8,-2.5,-4.3,-0.2
26,Marvin Bagley,PF,19,SAC,47,1165,18.2,0.566,0.127,0.405,10.1,19.8,14.9,6,1.1,3.4,11.7,23.1,1.4,1.3,2.7,0.112,-1.4,-0.1,-1.4,0.2
