Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
106,Zach Collins,C,21,POR,62,1093,12.8,0.556,0.299,0.315,8.5,16.6,12.6,7.4,1,3.6,15.3,16.2,0.9,1.2,2.2,0.096,-1.3,1.1,-0.2,0.5
107,Darren Collison,PG,31,IND,67,1893,16.7,0.58,0.306,0.29,1.9,10.1,6.1,29.3,2.4,0.4,14.6,17.3,3.6,2.6,6.2,0.158,1.2,0,1.3,1.6
108,Bonzie Colson,SF,23,MIL,1,3,-12.8,0,1,0,0,0,0,0,0,0,0,14,0,0,0,-0.319,-12.7,-4.2,-17,0
109,Mike Conley,PG,31,MEM,64,2134,21,0.562,0.378,0.344,2,9.7,5.8,33.4,2.1,1,9.4,27.3,4.6,2.5,7.1,0.16,4.4,-0.9,3.6,3
110,Pat Connaughton,SG,26,MIL,46,835,12.7,0.541,0.582,0.101,5.2,13.5,9.6,13.7,1,2,8.5,13.6,1.1,1.2,2.3,0.133,-0.1,0.9,0.8,0.6
111,Quinn Cook,PG,25,GSW,58,777,12.4,0.531,0.445,0.061,2.7,13.5,8.3,15.3,1.1,0.3,8.9,20.2,0.6,0.5,1.1,0.067,-0.8,-2.7,-3.4,-0.3
112,DeMarcus Cousins,C,28,GSW,19,484,19.7,0.546,0.27,0.437,5.5,26.6,16.5,18.6,2.4,5.2,14.3,27.1,0.4,0.9,1.3,0.13,-0.9,3.1,2.2,0.5
113,Robert Covington,SF,28,TOT,35,1203,13.4,0.58,0.622,0.246,2.5,14.6,8.6,5.2,2.9,3.2,10.5,15.6,1,1.7,2.6,0.105,0.5,2,2.6,1.4
113,Robert Covington,SF,28,PHI,13,440,11,0.578,0.658,0.197,1.8,14.1,8.1,4.3,2.6,4.1,14.8,14.2,0,0.7,0.7,0.08,-1.2,2.7,1.5,0.4
113,Robert Covington,SF,28,MIN,22,763,14.8,0.58,0.604,0.269,2.9,14.8,8.8,5.8,3.1,2.7,8.4,16.4,1,0.9,1.9,0.12,1.5,1.7,3.2,1
114,Allen Crabbe,SG,26,BRK,41,1063,7.7,0.514,0.691,0.154,1.7,12,6.9,5.4,1,1,10.4,16.8,-0.2,0.9,0.6,0.029,-2.1,-0.8,-2.8,-0.2
115,Torrey Craig,SF,28,DEN,59,1233,9.5,0.518,0.502,0.177,6.8,12.4,9.6,5.5,1.3,2.7,11,12.4,0.7,1.3,2,0.078,-1.4,0.8,-0.6,0.4
116,Jamal Crawford,SG,38,PHO,54,947,9.4,0.479,0.453,0.235,0.9,7.1,3.9,26.9,1.4,0.9,18.1,20,-0.6,0.1,-0.5,-0.027,-3.5,-3.7,-7.2,-1.2
117,Mitch Creek,SF,26,BRK,4,36,21.6,0.573,0.1,0.7,14.8,14.8,14.8,20.3,1.3,0,0,15.3,0.2,0,0.2,0.257,3.3,-0.2,3.2,0
118,Jae Crowder,SF,28,UTA,64,1782,11.9,0.534,0.658,0.252,3.3,15.7,9.5,9,1.4,1.1,8.9,18.9,0.9,2.4,3.3,0.089,0,0.3,0.3,1
119,Dante Cunningham,PF,31,SAS,58,875,10.8,0.612,0.416,0.121,5.8,17.1,11.5,6.9,1.3,1.3,11.8,8.9,1.1,0.7,1.9,0.103,-0.4,0.7,0.2,0.5
120,Seth Curry,SG,28,POR,60,1033,10.1,0.587,0.541,0.106,2,6.4,4.2,7.1,1.2,0.7,12.3,15.6,0.8,0.6,1.5,0.068,-0.3,-1.7,-2,0
121,Stephen Curry,PG,30,GSW,55,1891,24.3,0.643,0.6,0.222,2.1,14,8.2,24,1.8,0.9,11.8,30.4,5.9,1.7,7.6,0.193,7.7,-1.8,5.9,3.8
122,Troy Daniels,SG,27,PHO,37,478,10.9,0.578,0.719,0.101,1.6,7.8,4.7,4.7,2,0.7,10.1,18.6,0.1,0.1,0.3,0.029,-0.5,-3.3,-3.8,-0.2
123,Anthony Davis,C,25,NOP,52,1764,30.5,0.597,0.141,0.433,9.6,27.5,18.7,19.1,2.2,6,8.2,29.5,6.4,3,9.4,0.255,4.8,3.9,8.7,4.8
124,Ed Davis,C,29,BRK,67,1214,16.9,0.626,0.008,0.528,15.6,34.4,25,6.5,1.2,1.7,15.1,12.6,2.6,2,4.6,0.182,-1.4,1.7,0.3,0.7
125,Tyler Davis,C,21,OKC,1,1,0,0,0,0,100,0,51.5,0,0,0,0,40.6,0,0,0,-0.465,-15,-20.5,-35.5,0
126,Dewayne Dedmon,C,29,ATL,56,1403,16,0.603,0.406,0.224,6.9,24.5,15.5,8.3,1.9,3.9,13.2,16.8,1.9,1.6,3.5,0.119,-0.4,1.6,1.2,1.1
127,Sam Dekker,SF-PF,24,TOT,40,658,14.8,0.547,0.211,0.183,7.2,15,11,8.4,2.4,0.9,7.6,16.2,0.7,0.4,1.2,0.086,-1,-0.6,-1.6,0.1
127,Sam Dekker,PF,24,CLE,9,169,14,0.544,0.271,0.208,5.7,16.4,10.8,8,3.2,0,8.7,14.9,0.2,0.1,0.3,0.081,-1,-0.4,-1.4,0
127,Sam Dekker,SF,24,WAS,31,489,15.1,0.548,0.194,0.176,7.7,14.5,11.1,8.5,2.1,1.2,7.3,16.6,0.6,0.3,0.9,0.088,-1,-0.7,-1.7,0
128,Angel Delgado,C,24,LAC,1,14,7.5,0.307,0,0.5,15.6,14.6,15.1,0,3.4,0,0,14.7,0,0,0,0.017,-6.5,-3.3,-9.8,0
129,Matthew Dellavedova,PG,28,TOT,48,812,11.1,0.532,0.537,0.215,0.8,9.9,5.2,32.3,0.9,0.2,20.4,17.9,0.5,0,0.5,0.029,-1.3,-4.2,-5.5,-0.7
129,Matthew Dellavedova,PG,28,MIL,12,97,7.6,0.482,0.579,0.211,0,10,5.3,35.8,1,0,34.6,13.8,0,0.1,0.1,0.045,-5.4,-3,-8.4,-0.2
129,Matthew Dellavedova,PG,28,CLE,36,715,11.6,0.537,0.534,0.215,0.9,9.9,5.2,31.9,0.8,0.2,18.9,18.4,0.5,-0.1,0.4,0.026,-0.7,-4.3,-5.1,-0.6
130,Luol Deng,SF,33,MIN,22,392,14.7,0.588,0.373,0.297,5.4,14.6,10,6.4,1.8,1.7,9.5,15.7,0.6,0.3,0.9,0.107,-0.1,-0.4,-0.5,0.1
131,DeMar DeRozan,SG,29,SAS,62,2185,19.1,0.533,0.038,0.324,2.3,16.6,9.5,27.3,1.5,1.2,11.5,28.4,2.5,1.9,4.4,0.096,0.1,0.3,0.4,1.3
132,Marcus Derrickson,PF,22,GSW,9,54,10.3,0.543,0.583,0.167,10.3,5.7,7.9,2.6,0,1.6,10.4,22.6,0,0,0,0.037,-0.9,-5.8,-6.7,-0.1
133,Cheick Diallo,PF,22,NOP,51,641,17.9,0.641,0.01,0.284,8.9,29.8,19.5,3.9,1.7,3.5,14.6,16.7,0.9,0.9,1.9,0.139,-2.5,0.4,-2.2,0
134,Hamidou Diallo,SG,20,OKC,46,517,10.4,0.505,0.142,0.364,7.2,11.8,9.5,4.4,1.8,1.6,10.9,16.6,0.1,0.7,0.8,0.074,-4.1,-0.4,-4.5,-0.3
135,Gorgui Dieng,C,29,MIN,61,794,16.7,0.559,0.165,0.263,8.4,24.9,16.6,9.2,2.1,3.3,11.1,17.6,1.1,1.1,2.2,0.132,-1.3,1.5,0.2,0.4
136,Spencer Dinwiddie,PG,25,BRK,54,1527,17.7,0.595,0.435,0.419,1.5,7.8,4.7,28.5,1,0.7,13.5,25.1,3.4,1,4.4,0.14,2.8,-2.3,0.4,0.9
137,Donte DiVincenzo,SG,22,MIL,26,398,9.2,0.499,0.667,0.098,4.4,11.5,8.1,10.1,1.5,1.3,12.9,15.6,0,0.6,0.6,0.067,-1.9,0.1,-1.7,0
138,Luka Doncic,SG,19,DAL,62,1997,19.7,0.555,0.437,0.408,3.7,20.8,12.3,30.1,1.6,0.9,14.9,29.7,2.3,2.3,4.6,0.111,3,0.9,3.9,3
139,Tyler Dorsey,SG,22,TOT,34,301,8.7,0.474,0.458,0.28,4.2,15.7,9.9,9,1.2,0.3,10.4,18.5,-0.1,0.2,0,0.003,-3.8,-2.7,-6.5,-0.3
139,Tyler Dorsey,SG,22,ATL,27,251,7.9,0.448,0.438,0.292,3.7,14.7,9.1,9.4,1.3,0.3,9.1,17.9,-0.1,0.1,0,-0.008,-4.2,-2.6,-6.9,-0.3
139,Tyler Dorsey,SG,22,MEM,7,50,13.1,0.607,0.556,0.222,6.7,20.6,13.6,6.7,1,0,16.8,21.4,0,0.1,0.1,0.059,-1.9,-2.8,-4.7,0
140,Damyean Dotson,SG,24,NYK,58,1495,11.8,0.529,0.467,0.152,2.2,13.1,7.5,10.1,1.6,0.4,7.3,17.1,1,0.8,1.8,0.057,-0.5,-1.1,-1.6,0.2
141,PJ Dozier,SG,22,BOS,4,10,24.8,0.583,0.333,0,21.3,21.5,21.4,0,0,0,0,25.9,0,0,0,0.207,0.9,-10.8,-9.9,0
142,Goran Dragic,PG,32,MIA,20,528,14.3,0.537,0.378,0.293,1.6,9.8,5.7,24.8,1,0.7,13.7,26,0.4,0.4,0.8,0.072,-0.1,-2.4,-2.5,-0.1
143,Andre Drummond,C,25,DET,62,2059,23.1,0.555,0.044,0.385,16.2,34.5,25.1,6.1,2.5,4.4,12.1,23.3,3,4.6,7.5,0.176,-1,3.3,2.3,2.2
144,Jared Dudley,PF,33,BRK,47,979,6.9,0.525,0.634,0.18,2.7,10.8,6.7,9.2,1.4,1,15.4,10.7,0.2,0.9,1,0.05,-2.3,0.9,-1.4,0.1
145,Kris Dunn,PG,24,CHI,40,1221,12.1,0.484,0.186,0.132,1.3,13.3,7.3,29.4,2.4,1.4,16.8,19.4,-0.5,1.1,0.6,0.023,-2.3,0.5,-1.8,0.1
146,Kevin Durant,PF,30,GSW,65,2301,24.5,0.625,0.276,0.38,1.5,18.1,10.1,25.1,1,2.7,12.1,30,7.2,2.3,9.5,0.199,4.1,-0.1,4,3.5
147,Trevon Duval,PG,20,MIL,3,6,38.7,0.833,0.333,0,0,16.2,8.6,59.1,0,0,0,21,0.1,0,0.1,0.543,14,-4.1,10,0
148,Vince Edwards,SF,22,HOU,2,16,3.8,0.375,1,0,6.8,7.2,7,0,0,0,0,10.8,0,0,0,-0.022,-4.3,-5.9,-10.2,0
149,Henry Ellenson,PF,22,TOT,9,131,10,0.485,0.489,0.17,1.5,26.8,13.7,7.8,1.8,0,7.3,17.7,0,0.1,0.1,0.047,-3.7,-1.3,-5,-0.1
149,Henry Ellenson,PF,22,DET,2,25,14.8,0.551,0.4,0.2,0,40.5,19.7,6.1,0,0,0,18.7,0,0,0.1,0.149,-3.6,-2.7,-6.3,0
149,Henry Ellenson,PF,22,NYK,7,106,8.9,0.467,0.514,0.162,1.9,23.5,12.3,8.2,2.3,0,9.2,17.5,-0.1,0.1,0,0.023,-3.7,-1,-4.7,-0.1
150,Wayne Ellington,SG,31,TOT,36,811,10.6,0.551,0.83,0.087,0.8,8.4,4.5,8.1,2.1,0.4,7.7,16.4,0.6,0.8,1.4,0.084,0.4,-1.1,-0.6,0.3
150,Wayne Ellington,SG,31,MIA,25,533,10.9,0.547,0.842,0.087,1.2,8.3,4.8,7.8,2.2,0.5,6.8,16.4,0.4,0.5,1,0.089,0.7,-1.2,-0.5,0.2
150,Wayne Ellington,SG,31,DET,11,278,9.9,0.56,0.804,0.087,0,8.5,4.1,8.5,1.9,0.3,9.5,16.3,0.1,0.3,0.4,0.075,0,-0.9,-0.9,0.1
151,Joel Embiid,C,24,PHI,55,1850,25.6,0.593,0.214,0.548,8.1,33.8,21.4,17.3,0.9,4.4,13.4,33.3,4.1,3.3,7.4,0.193,1.5,2,3.5,2.6
152,James Ennis,SF,28,TOT,49,1068,11.1,0.599,0.548,0.274,4.7,10.4,7.5,4.2,1.8,1.4,8.9,12.3,1.5,0.7,2.2,0.099,-0.4,-0.4,-0.8,0.3
152,James Ennis,SF,28,HOU,40,949,11.4,0.622,0.569,0.275,4.2,9.7,6.9,4.1,2,1.4,8.9,11.9,1.4,0.6,2.1,0.105,0,-0.3,-0.3,0.4
152,James Ennis,SF,28,PHI,9,119,9,0.471,0.432,0.27,8.3,15.7,12.1,4.5,0.8,1.3,8.8,16,0,0.1,0.1,0.054,-3.3,-1.8,-5.2,-0.1
153,Drew Eubanks,PF,21,SAS,18,90,18.5,0.789,0,0.684,3.7,22.8,13.3,7.7,0.5,3.8,16.8,14.5,0.3,0.1,0.4,0.189,-0.7,0.3,-0.4,0
154,Jacob Evans,SG,21,GSW,24,116,1.4,0.334,0.214,0.036,2.9,8,5.5,15.6,0.4,0.7,19.8,13,-0.2,0,-0.2,-0.067,-7.2,-2.4,-9.6,-0.2
155,Jawun Evans,PG,22,PHO,7,64,0.8,0.231,0.154,0,1.7,19.5,10.4,20.1,2.2,0,31.6,12.7,-0.2,0,-0.2,-0.136,-10.1,0.2,-9.9,-0.1
156,Tyreke Evans,SG,29,IND,57,1127,11.6,0.481,0.348,0.23,2.9,11.9,7.5,17.2,2.3,1.2,14,26.4,-1.3,1.7,0.4,0.015,-3,-0.3,-3.3,-0.4
157,Dante Exum,PG,23,UTA,39,637,12.6,0.53,0.252,0.368,2.6,8.4,5.5,25.2,1.1,0.6,14.5,21.3,0.5,0.6,1.1,0.086,-1.7,-1.5,-3.2,-0.2
158,Kenneth Faried,C,29,TOT,28,565,22.3,0.632,0.089,0.384,15.1,23.3,19.1,5.4,1,2.8,9.9,20.1,1.7,0.6,2.3,0.196,0.5,-0.9,-0.5,0.2
158,Kenneth Faried,C,29,BRK,12,118,20.6,0.622,0.119,0.381,13.5,26.1,19.8,2.8,0.8,2.7,10.9,19.7,0.3,0.2,0.4,0.167,-2,-1.7,-3.6,0
158,Kenneth Faried,C,29,HOU,16,447,22.7,0.635,0.081,0.385,15.5,22.5,18.9,6.1,1.1,2.9,9.6,20.2,1.5,0.4,1.9,0.204,1.1,-0.7,0.4,0.3
159,Derrick Favors,C,27,UTA,64,1503,21.3,0.623,0.138,0.387,12.4,21.4,16.9,7.2,1.6,4.9,10.8,19,3.6,2.8,6.4,0.206,0.9,3.1,4,2.3
160,Cristiano Felicio,C,26,CHI,46,465,12.8,0.566,0.018,0.405,10.8,19.6,15.2,6.6,0.6,0.9,12.7,14.1,0.6,0.3,0.8,0.086,-2.8,-1.3,-4.1,-0.2
161,Raymond Felton,PG,34,OKC,24,283,11.8,0.506,0.411,0.121,1.1,7.8,4.4,18.9,1.3,1.5,9.6,17.9,0.2,0.3,0.5,0.085,-2.4,-1.9,-4.3,-0.2
162,Terrance Ferguson,SG,20,OKC,58,1465,6.4,0.56,0.656,0.108,1.7,5.4,3.5,4.4,1,0.8,8.4,10.6,0.9,1.2,2.2,0.071,-1.6,-0.6,-2.1,0
163,Yogi Ferrell,PG,25,SAC,55,810,13.1,0.544,0.407,0.183,1.5,9.9,5.6,17.8,1.6,0.4,8.2,16.1,1.1,0.6,1.7,0.098,-0.4,-1.5,-1.9,0
164,Dorian Finney-Smith,SF,25,DAL,66,1669,11,0.542,0.472,0.214,7.6,13.2,10.4,5.7,1.8,1.6,12.4,13.7,1,1.8,2.8,0.08,-1,1.2,0.1,0.9
165,Bryn Forbes,PG,25,SAS,67,1879,11.3,0.568,0.519,0.106,0.8,10.5,5.7,10.5,1,0.1,9.3,17.8,1.5,0.9,2.4,0.062,0.6,-2,-1.4,0.3
166,Evan Fournier,SG,26,ORL,67,2110,11.6,0.525,0.434,0.156,1.6,8.9,5.2,17.8,1.4,0.4,12.2,22.2,0.1,1.9,2,0.045,-0.7,-1.3,-2,0
167,De'Aaron Fox,PG,21,SAC,64,2030,17.9,0.548,0.212,0.386,1.7,10.4,6,32.8,2.4,1.4,15.5,24.4,2.4,2.1,4.5,0.106,1,0,1,1.5
168,Melvin Frazier,SG,22,ORL,7,32,5.6,0.429,0.214,0,6.6,3.4,5,0,1.5,0,6.7,20.5,-0.1,0,0,-0.047,-6.9,-4.9,-11.8,-0.1
169,Tim Frazier,PG,28,NOP,47,909,11.7,0.552,0.395,0.21,3.7,11.9,7.9,27.9,1.3,0.4,22,12.4,1.1,0.5,1.6,0.084,-0.7,-1.3,-2,0
170,Channing Frye,C,35,CLE,30,295,9,0.524,0.684,0.126,1.4,16.9,8.9,9,0.8,1.5,9.1,16.4,0.1,0,0.2,0.025,-1.9,-2.6,-4.5,-0.2
171,Markelle Fultz,PG,20,PHI,19,427,10.5,0.452,0.09,0.239,6.7,10.7,8.8,19.7,1.9,0.9,12.7,19.3,-0.1,0.4,0.3,0.039,-2.9,0.1,-2.8,-0.1
172,Danilo Gallinari,SF,30,LAC,56,1704,20,0.625,0.43,0.457,3.1,17.2,10.4,12.1,1.1,0.9,8.5,23.3,5,1.5,6.4,0.181,3.8,-1.2,2.6,2
173,Langston Galloway,SG,27,DET,63,1325,10.8,0.542,0.659,0.156,2.8,8.7,5.7,7.3,1,0.4,4.4,16,1.6,1.1,2.7,0.096,0.3,-1.3,-1,0.3
174,Marc Gasol,C,34,TOT,64,2041,17.1,0.539,0.302,0.29,3.8,25.2,14.4,22.8,1.7,3.4,13.3,22,1.3,3.6,4.9,0.115,-0.3,3.3,3,2.6
174,Marc Gasol,C,34,MEM,53,1788,17.1,0.541,0.324,0.294,3.5,25.6,14.4,22.9,1.7,3.4,13.4,22.4,1,3.1,4.1,0.111,-0.2,3.3,3.1,2.3
174,Marc Gasol,C,34,TOR,11,253,17.3,0.53,0.135,0.258,6.1,22.3,14.3,21.9,1.9,3.6,13.1,19.2,0.3,0.4,0.8,0.144,-0.8,3.5,2.7,0.3
175,Pau Gasol,C,38,TOT,30,360,16.7,0.529,0.138,0.426,6.7,34.3,20.7,19.2,0.7,3.5,12.5,15.5,0.5,0.5,1,0.139,-2,2.6,0.6,0.2
175,Pau Gasol,C,38,SAS,27,330,18.1,0.544,0.114,0.432,7.3,34.4,21,20.2,0.7,3.6,11.8,15.8,0.6,0.5,1.1,0.157,-1.2,2.6,1.5,0.3
175,Pau Gasol,C,38,MIL,3,30,1.7,0.291,0.5,0.333,0,32.4,17.1,7.7,0,2.8,22.5,12.4,-0.1,0.1,0,-0.062,-10.6,1.7,-8.9,-0.1
176,Rudy Gay,PF,32,SAS,55,1490,18.2,0.594,0.24,0.202,3.7,22.5,13.2,14.6,1.5,1.8,11.7,21.9,2.3,1.6,3.9,0.126,0.9,0.6,1.5,1.3
177,Paul George,SF,28,OKC,62,2271,24,0.586,0.463,0.338,3.8,19.3,11.4,18.1,2.8,0.9,9.7,29.7,6.1,3.9,10,0.212,5.1,0.6,5.7,4.4
178,Taj Gibson,PF,33,MIN,66,1617,17.9,0.615,0.066,0.318,10.7,18.3,14.5,7.1,1.5,2,10.6,17,3.6,1.4,5.1,0.15,0.9,0.3,1.2,1.3
179,Harry Giles,PF,20,SAC,52,713,13.9,0.522,0.017,0.277,8.3,20.2,14.2,14.3,1.8,2,15.8,23.4,-0.1,0.9,0.8,0.055,-3.3,0.8,-2.5,-0.1
180,Shai Gilgeous-Alexander,PG,20,LAC,67,1717,12.2,0.543,0.197,0.264,2.8,8,5.5,16.5,2,1.7,16.1,18.1,0.5,1.5,2,0.057,-1.3,0.3,-1,0.5
181,Rudy Gobert,C,26,UTA,65,2061,24.1,0.67,0,0.729,13.1,30.5,21.8,10.2,1.3,5.7,12.4,17.6,6.6,4.4,11,0.257,1.7,5.1,6.8,4.6
182,Brandon Goodwin,PG,23,DEN,16,57,8.4,0.413,0.261,0.478,1.9,3.8,2.9,31.8,0,0,9.7,22.9,0,0,0,0.025,-4.4,-6.5,-10.8,-0.1
183,Aaron Gordon,PF,23,ORL,64,2151,14.9,0.531,0.33,0.256,5.2,18.7,11.8,16.5,1,1.8,12.1,22.2,1.1,2.6,3.7,0.083,-0.5,1,0.5,1.4
184,Eric Gordon,SG,30,HOU,53,1725,12,0.532,0.604,0.177,1,7.6,4.2,10.2,1,1,8.2,22.5,1.1,0.5,1.6,0.044,-0.3,-3.2,-3.5,-0.7
185,Marcin Gortat,C,34,LAC,47,751,12.9,0.562,0,0.258,9.8,26.4,18.4,12.1,0.4,2.5,19.4,14.5,0.6,0.9,1.4,0.092,-2.4,1.5,-0.9,0.2
186,Devonte' Graham,PG,23,CHO,32,420,10.5,0.482,0.574,0.169,0.8,9.4,5,23.3,2,0.4,13.1,17.2,0.1,0.3,0.3,0.039,-1.6,-2.3,-3.9,-0.2
187,Treveon Graham,SG,25,BRK,26,559,5.3,0.446,0.651,0.121,3.4,11.6,7.5,5.8,0.7,1,8.7,13,-0.2,0.4,0.2,0.015,-3.3,-0.4,-3.7,-0.2
188,Jerami Grant,PF,24,OKC,64,2071,14.2,0.603,0.331,0.297,3.5,13.1,8.2,4.2,1.2,3.4,6.6,14.8,3.4,2.7,6.1,0.142,-0.5,1.2,0.7,1.4
189,Jerian Grant,PG,26,ORL,53,880,10.8,0.524,0.495,0.192,2.2,9.3,5.7,22.6,2.4,0.6,18.6,13.1,0.4,1.1,1.5,0.08,-2,0.1,-1.9,0
190,Donte Grantham,SF,23,OKC,2,2,-37.9,0,1,0,0,0,0,0,0,0,0,40.6,0,0,0,-0.943,-25.2,-13.6,-38.9,0
191,Danny Green,SG,31,TOR,65,1841,12.1,0.611,0.678,0.064,3.1,12.3,7.8,6.9,1.5,2,10.3,13.8,2.2,2.2,4.4,0.115,1.3,1.2,2.5,2.1
192,Draymond Green,PF,28,GSW,51,1589,12.7,0.51,0.389,0.223,3.4,21.6,12.8,27.7,2.3,2.6,26.6,12.8,0.9,2.3,3.2,0.096,-1.4,3.1,1.8,1.5
193,Gerald Green,SG,33,HOU,62,1323,11.8,0.566,0.757,0.121,2.4,12.1,7.1,4.5,0.9,1.6,8.2,19.2,1.2,0.6,1.8,0.064,-0.3,-3,-3.3,-0.4
194,JaMychal Green,PF,28,TOT,52,1112,15,0.583,0.347,0.243,8.8,24.3,16.5,5.8,1.8,2.7,15,20,0.6,1.8,2.5,0.106,-1.8,0.5,-1.3,0.2
194,JaMychal Green,PF,28,MEM,41,900,15.1,0.58,0.308,0.256,8.9,22.9,15.8,6.6,1.8,2.8,15.6,20.6,0.4,1.5,1.9,0.102,-2,0.9,-1.1,0.2
194,JaMychal Green,PF,28,LAC,11,212,15,0.593,0.521,0.183,8.3,29.9,19.5,2.7,1.6,2.2,12.5,17.5,0.2,0.3,0.5,0.122,-1.2,-1,-2.2,0
195,Jeff Green,PF,32,WAS,64,1790,13.7,0.611,0.463,0.295,3.1,13.9,8.4,9.6,0.9,1.6,11.5,17.5,2.6,0.6,3.2,0.086,0.3,-1.3,-1,0.4
196,Blake Griffin,PF,29,DET,63,2244,21.4,0.589,0.374,0.409,4,20.4,12,26.7,0.9,0.9,14.1,30.1,4.7,2.6,7.2,0.154,4.4,0.5,4.9,3.9
197,Daniel Hamilton,SG,23,ATL,19,204,7.2,0.455,0.383,0.1,5.1,19.7,12.3,14.7,1.4,0.4,20.3,15.7,-0.2,0.1,-0.1,-0.022,-4.9,-0.9,-5.7,-0.2
198,Tim Hardaway,SG,26,TOT,60,1903,13.8,0.526,0.48,0.291,1.7,9.9,5.7,12.8,1.3,0.3,8.8,25.4,1.1,0.8,1.9,0.047,0.6,-2.8,-2.2,-0.1
198,Tim Hardaway,SG,26,NYK,46,1499,14.5,0.531,0.464,0.321,1.8,9.8,5.6,13.3,1.3,0.3,8.9,25.7,1.1,0.5,1.7,0.053,1.1,-2.9,-1.9,0
198,Tim Hardaway,SG,26,DAL,14,404,11.5,0.505,0.539,0.176,1.6,10.5,6.1,11.1,1.3,0.2,8.4,24.1,-0.1,0.3,0.2,0.025,-1,-2.4,-3.5,-0.2
199,James Harden,SG,29,HOU,62,2313,30,0.613,0.546,0.456,2.6,17.4,9.8,38.9,2.8,1.7,15,40.5,8.7,2.6,11.3,0.235,10.3,0.7,11,7.6
200,Maurice Harkless,SF,25,POR,46,1030,12.5,0.544,0.324,0.167,5.6,14.8,10.3,6.2,2.4,2.9,10.1,13.5,0.9,1.4,2.3,0.106,-0.7,2.3,1.6,0.9
201,Montrezl Harrell,C,25,LAC,67,1768,23,0.635,0.018,0.463,9.3,16.8,13.2,11.7,1.6,4,10.7,22.7,4.9,2.2,7.2,0.194,2.5,1.7,4.2,2.8
202,Devin Harris,PG,35,DAL,53,803,10.6,0.533,0.562,0.407,1.2,9.5,5.4,14,2,1.3,13.1,18.7,0.3,0.8,1,0.062,-1.7,-0.6,-2.3,-0.1
203,Gary Harris,SG,24,DEN,40,1148,13.2,0.528,0.387,0.252,2.7,8.4,5.5,12.6,1.6,1.2,8.5,21,1.1,1,2.1,0.09,-0.2,-1.2,-1.4,0.2
204,Joe Harris,SG,27,BRK,63,1891,13.5,0.644,0.514,0.168,2.4,10.3,6.4,12.7,0.8,0.6,13.3,17.1,3.1,1.3,4.4,0.112,1.5,-0.7,0.8,1.3
205,Tobias Harris,PF-SF,26,TOT,68,2366,18.4,0.609,0.317,0.244,2.3,21.1,12,12.5,0.9,1.1,10,23.1,4.3,2.4,6.7,0.136,1.7,-0.4,1.3,2
205,Tobias Harris,PF,26,LAC,55,1903,18.4,0.605,0.302,0.256,2.1,21.2,12,12.7,1,1,10.3,23.5,3.4,1.9,5.3,0.133,1.8,-0.3,1.4,1.7
205,Tobias Harris,SF,26,PHI,13,463,18.1,0.625,0.381,0.193,2.9,20.6,12,11.6,0.6,1.5,8.6,21.2,1,0.5,1.4,0.149,1.6,-0.8,0.8,0.3
206,Andrew Harrison,SG-PG,24,TOT,17,187,5.8,0.443,0.472,0.34,3.4,8.5,5.9,17.3,1.1,0.9,16.5,16.9,-0.1,0,-0.1,-0.025,-3.8,-2.7,-6.5,-0.2
206,Andrew Harrison,PG,24,MEM,1,5,4.6,0.5,0.5,0,0,0,0,0,0,0,0,18,0,0,0,-0.007,-4.1,-6,-10.1,0
206,Andrew Harrison,SG,24,CLE,10,144,6.6,0.467,0.359,0.41,3,8.8,5.8,16.6,1.4,1.2,17.8,17,-0.1,0,-0.1,-0.02,-4,-2.2,-6.2,-0.2
206,Andrew Harrison,SG,24,NOP,6,38,3.1,0.349,0.833,0.167,5.6,8.1,6.9,22.2,0,0,13.4,16.1,0,0,0,-0.047,-2.9,-4.3,-7.2,-0.1
207,Shaquille Harrison,PG,25,CHI,59,1026,11.9,0.487,0.252,0.365,2.3,13.8,8.1,14.5,3.1,1.8,10.9,15.7,0,1.1,1.1,0.053,-2.7,1.4,-1.3,0.2
208,Josh Hart,SG,23,LAL,63,1626,9.5,0.527,0.585,0.176,2.3,12.7,7.6,6.9,1.7,1.9,10.2,13.7,0.3,1.7,2,0.059,-1.6,0.9,-0.8,0.5
209,Isaiah Hartenstein,PF,20,HOU,27,220,10,0.562,0.146,0.341,10.4,13.7,12,8.9,1.6,4.7,21.6,11.9,0.2,0.2,0.4,0.09,-3,2,-1,0.1
210,Udonis Haslem,C,38,MIA,7,28,-3,0.286,0.429,0,3.8,27,15.4,0,0,0,22.2,13.7,-0.1,0,-0.1,-0.133,-13,-5,-18,-0.1
211,Gordon Hayward,PF,28,BOS,61,1581,15.1,0.56,0.39,0.273,3.2,15.1,9.1,18.7,1.7,1.2,13.1,19,1.9,2.1,4,0.122,0,0.7,0.6,1
212,John Henson,C,28,MIL,14,188,17.3,0.553,0.463,0.149,9.3,28.4,19.4,10.2,1.7,4.9,14.4,18.7,0.1,0.4,0.6,0.149,-1.6,3.1,1.5,0.2
213,Juan Hernangomez,PF,23,DEN,60,1265,11.5,0.59,0.572,0.283,5.3,16.4,10.8,5,1,1.6,9.5,12.4,1.7,1.3,2.9,0.111,-0.5,-0.2,-0.7,0.4
