PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Dennis Schroder,LAL,LAL @ GSW,05/04/2023,L,19,4,0,3,0.0,0,1,0.0,4,4,100,1,2,3,2,2,0,1,3,-18,15.6
JaMychal Green,GSW,GSW vs. LAL,05/04/2023,W,13,15,6,9,66.7,3,6,50.0,0,0,-,0,1,1,2,0,0,1,3,5,18.2
Anthony Davis,LAL,LAL @ GSW,05/04/2023,L,33,11,5,11,45.5,0,0,-,1,1,100,1,6,7,4,1,3,4,3,-22,33.4
Klay Thompson,GSW,GSW vs. LAL,05/04/2023,W,31,30,11,18,61.1,8,11,72.7,0,0,-,0,3,3,1,0,0,1,2,28,34.1
Rui Hachimura,LAL,LAL @ GSW,05/04/2023,L,22,21,8,14,57.1,4,6,66.7,1,2,50.0,1,4,5,0,1,0,1,1,-17,29.0
James Harden,PHI,PHI @ BOS,05/03/2023,L,32,12,2,14,14.3,0,6,0.0,8,10,80.0,1,9,10,4,0,0,0,2,-21,30.0
P.J. Tucker,PHI,PHI @ BOS,05/03/2023,L,21,5,2,3,66.7,1,1,100,0,0,-,0,4,4,0,0,1,1,3,-19,11.8
Al Horford,BOS,BOS vs. PHI,05/03/2023,W,24,5,2,10,20.0,1,8,12.5,0,0,-,1,6,7,2,1,2,0,2,19,25.4
Tobias Harris,PHI,PHI @ BOS,05/03/2023,L,33,16,7,12,58.3,2,5,40.0,0,0,-,2,5,7,0,0,0,0,0,-21,24.4
Dewayne Dedmon,PHI,PHI @ BOS,05/03/2023,L,5,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,1,1,-4,0.2
Mike Muscala,BOS,BOS vs. PHI,05/03/2023,W,5,3,1,1,100,1,1,100,0,0,-,0,0,0,1,0,0,0,1,4,4.5
Joel Embiid,PHI,PHI @ BOS,05/03/2023,L,27,15,4,9,44.4,0,2,0.0,7,8,87.5,0,3,3,0,0,5,3,2,-23,30.6
Jaylen Brown,BOS,BOS vs. PHI,05/03/2023,W,30,25,9,17,52.9,3,6,50.0,4,4,100,0,3,3,4,2,0,1,1,18,39.6
Furkan Korkmaz,PHI,PHI @ BOS,05/03/2023,L,5,2,0,1,0.0,0,1,0.0,2,2,100,0,0,0,0,0,0,1,0,-4,1.0
Danuel House Jr.,PHI,PHI @ BOS,05/03/2023,L,8,3,1,5,20.0,0,3,0.0,1,1,100,0,1,1,0,0,0,0,0,-5,4.2
Jayson Tatum,BOS,BOS vs. PHI,05/03/2023,W,19,7,1,7,14.3,0,3,0.0,5,5,100,0,7,7,3,0,1,2,4,24,20.9
Derrick White,BOS,BOS vs. PHI,05/03/2023,W,30,15,5,9,55.6,3,6,50.0,2,2,100,1,0,1,1,0,0,0,1,23,17.7
Luke Kornet,BOS,BOS vs. PHI,05/03/2023,W,5,6,3,3,100,0,0,-,0,0,-,1,3,4,0,0,0,0,0,4,10.8
Shake Milton,PHI,PHI @ BOS,05/03/2023,L,9,4,2,2,100,0,0,-,0,0,-,0,1,1,2,1,0,0,0,-5,11.2
Justin Champagnie,BOS,BOS vs. PHI,05/03/2023,W,5,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,1,4,0.0
Marcus Smart,BOS,BOS vs. PHI,05/03/2023,W,27,15,7,14,50.0,1,4,25.0,0,0,-,1,4,5,2,0,1,1,0,17,26.0
Malcolm Brogdon,BOS,BOS vs. PHI,05/03/2023,W,24,23,7,15,46.7,6,10,60.0,3,4,75.0,0,6,6,2,0,1,0,2,11,36.2
Georges Niang,PHI,PHI @ BOS,05/03/2023,L,13,3,1,4,25.0,1,2,50.0,0,0,-,0,0,0,0,0,0,1,1,-11,2.0
De'Anthony Melton,PHI,PHI @ BOS,05/03/2023,L,18,2,1,5,20.0,0,2,0.0,0,0,-,0,2,2,2,1,0,1,1,-12,9.4
Robert Williams III,BOS,BOS vs. PHI,05/03/2023,W,22,2,1,1,100,0,0,-,0,0,-,3,4,7,4,0,3,0,1,12,25.4
Jalen McDaniels,PHI,PHI @ BOS,05/03/2023,L,13,3,1,4,25.0,1,3,33.3,0,0,-,0,1,1,0,0,0,0,1,-11,4.2
Grant Williams,BOS,BOS vs. PHI,05/03/2023,W,29,12,4,8,50.0,4,8,50.0,0,0,-,1,3,4,4,1,0,0,2,22,25.8
Tyrese Maxey,PHI,PHI @ BOS,05/03/2023,L,30,13,6,14,42.9,1,4,25.0,0,0,-,0,3,3,3,0,1,1,3,-25,23.1
Paul Reed,PHI,PHI @ BOS,05/03/2023,L,16,6,3,4,75.0,0,0,-,0,0,-,3,5,8,2,0,1,1,2,-7,20.6
Sam Hauser,BOS,BOS vs. PHI,05/03/2023,W,8,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,1,0,0,1,5,3.0
Payton Pritchard,BOS,BOS vs. PHI,05/03/2023,W,12,8,3,3,100,1,1,100,1,1,100,0,2,2,3,1,0,2,1,7,15.9
Jaden Springer,PHI,PHI @ BOS,05/03/2023,L,10,3,1,1,100,0,0,-,1,2,50.0,0,0,0,0,0,0,1,1,-2,2.0
Obi Toppin,NYK,NYK vs. MIA,05/02/2023,W,10,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,1,-8,1.2
Immanuel Quickley,NYK,NYK vs. MIA,05/02/2023,W,9,6,3,7,42.9,0,4,0.0,0,0,-,0,1,1,0,0,0,2,2,-6,5.2
Klay Thompson,GSW,GSW vs. LAL,05/02/2023,L,37,25,9,25,36.0,6,16,37.5,1,2,50.0,0,3,3,4,0,0,0,3,1,34.6
