PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Draymond Green,GSW,GSW @ LAL,05/12/2023,L,24,9,4,8,50.0,1,3,33.3,0,0,-,4,5,9,3,0,1,2,5,-26,25.3
Kevin Love,MIA,MIA vs. NYK,05/12/2023,W,16,3,1,1,100,1,1,100,0,0,-,0,3,3,1,0,0,0,2,-4,8.1
Cody Zeller,MIA,MIA vs. NYK,05/12/2023,W,9,0,0,0,-,0,0,-,0,0,-,0,2,2,1,0,0,1,2,10,2.9
Julius Randle,NYK,NYK @ MIA,05/12/2023,L,36,15,3,14,21.4,1,7,14.3,8,9,88.9,2,9,11,3,0,2,3,2,3,35.7
Mitchell Robinson,NYK,NYK @ MIA,05/12/2023,L,29,2,0,2,0.0,0,0,-,2,2,100,5,6,11,1,0,1,0,2,-2,19.7
Gabe Vincent,MIA,MIA vs. NYK,05/12/2023,W,31,7,3,8,37.5,1,5,20.0,0,0,-,1,2,3,5,1,0,2,4,11,19.1
Max Strus,MIA,MIA vs. NYK,05/12/2023,W,34,14,4,11,36.4,1,6,16.7,5,6,83.3,0,6,6,3,0,0,0,1,1,25.7
Quentin Grimes,NYK,NYK @ MIA,05/12/2023,L,32,3,1,6,16.7,1,6,16.7,0,0,-,0,2,2,3,0,0,1,1,3,8.9
Miles McBride,NYK,NYK @ MIA,05/12/2023,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,-7,3.0
Kyle Lowry,MIA,MIA vs. NYK,05/12/2023,W,31,11,4,6,66.7,1,2,50.0,2,2,100,2,2,4,9,3,1,1,4,0,40.3
Jimmy Butler,MIA,MIA vs. NYK,05/12/2023,W,41,24,7,22,31.8,0,3,0.0,10,11,90.9,1,7,8,4,0,0,0,2,0,39.6
Bam Adebayo,MIA,MIA vs. NYK,05/12/2023,W,39,23,9,20,45.0,0,0,-,5,5,100,3,6,9,1,2,1,2,3,-6,42.3
Isaiah Hartenstein,NYK,NYK @ MIA,05/12/2023,L,18,2,1,2,50.0,0,0,-,0,0,-,0,1,1,0,1,4,0,3,-4,18.2
Josh Hart,NYK,NYK @ MIA,05/12/2023,L,33,11,5,10,50.0,1,4,25.0,0,0,-,1,6,7,1,1,1,2,5,-4,24.9
Jalen Brunson,NYK,NYK @ MIA,05/12/2023,L,45,41,14,22,63.6,5,10,50.0,8,9,88.9,0,4,4,3,0,0,3,4,3,47.3
Caleb Martin,MIA,MIA vs. NYK,05/12/2023,W,24,8,3,7,42.9,1,3,33.3,1,1,100,0,5,5,1,1,0,1,3,5,17.5
Duncan Robinson,MIA,MIA vs. NYK,05/12/2023,W,14,6,2,7,28.6,2,7,28.6,0,0,-,0,0,0,0,1,0,0,1,3,9.0
RJ Barrett,NYK,NYK @ MIA,05/12/2023,L,32,11,1,10,10.0,0,3,0.0,9,10,90.0,0,2,2,1,0,0,3,5,-5,11.9
Obi Toppin,NYK,NYK @ MIA,05/12/2023,L,12,7,2,5,40.0,2,5,40.0,1,2,50.0,0,3,3,1,0,0,0,0,-7,12.1
Stephen Curry,GSW,GSW @ LAL,05/12/2023,L,39,32,11,28,39.3,4,14,28.6,6,6,100,1,5,6,5,1,1,4,3,-21,48.7
Tristan Thompson,LAL,LAL vs. GSW,05/12/2023,W,4,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,-1,2.4
Dennis Schroder,LAL,LAL vs. GSW,05/12/2023,W,25,3,1,6,16.7,1,2,50.0,0,0,-,0,2,2,5,0,1,0,4,16,15.9
Kevon Looney,GSW,GSW @ LAL,05/12/2023,L,26,9,4,7,57.1,0,0,-,1,1,100,8,10,18,2,0,0,1,3,4,32.6
Moses Moody,GSW,GSW @ LAL,05/12/2023,L,15,6,2,5,40.0,2,3,66.7,0,0,-,1,4,5,1,0,0,0,1,10,13.5
Jordan Poole,GSW,GSW @ LAL,05/12/2023,L,23,7,3,10,30.0,0,3,0.0,1,1,100,0,0,0,4,0,0,1,4,1,12.0
Rui Hachimura,LAL,LAL vs. GSW,05/12/2023,W,16,9,2,5,40.0,0,1,0.0,5,6,83.3,1,2,3,0,0,2,0,0,-2,18.6
Lonnie Walker IV,LAL,LAL vs. GSW,05/12/2023,W,14,13,4,8,50.0,3,5,60.0,2,4,50.0,0,0,0,0,0,0,0,5,-10,13.0
D'Angelo Russell,LAL,LAL vs. GSW,05/12/2023,W,41,19,7,15,46.7,2,7,28.6,3,4,75.0,0,2,2,1,1,0,2,1,26,23.9
Andrew Wiggins,GSW,GSW @ LAL,05/12/2023,L,28,6,2,8,25.0,0,3,0.0,2,4,50.0,2,0,2,2,1,0,0,5,-26,14.4
Anthony Davis,LAL,LAL vs. GSW,05/12/2023,W,40,17,5,9,55.6,0,0,-,7,10,70.0,3,17,20,3,2,2,0,3,31,57.5
Klay Thompson,GSW,GSW @ LAL,05/12/2023,L,38,8,3,19,15.8,2,12,16.7,0,0,-,0,3,3,5,0,0,0,2,-33,19.1
LeBron James,LAL,LAL vs. GSW,05/12/2023,W,43,30,10,14,71.4,2,3,66.7,8,11,72.7,0,9,9,9,2,1,2,2,21,61.3
Patrick Baldwin Jr.,GSW,GSW @ LAL,05/12/2023,L,4,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,1,0,0,0,0,1,3.9
Max Christie,LAL,LAL vs. GSW,05/12/2023,W,2,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,1,0.0
Austin Reaves,LAL,LAL vs. GSW,05/12/2023,W,39,23,7,12,58.3,4,5,80.0,5,5,100,1,4,5,6,0,0,2,2,24,36.0
Anthony Lamb,GSW,GSW @ LAL,05/12/2023,L,4,2,1,1,100,0,0,-,0,0,-,1,1,2,0,0,0,0,1,1,4.4
Jonathan Kuminga,GSW,GSW @ LAL,05/12/2023,L,4,2,1,1,100,0,0,-,0,0,-,0,0,0,1,0,0,0,0,1,3.5
Jarred Vanderbilt,LAL,LAL vs. GSW,05/12/2023,W,4,2,1,1,100,0,0,-,0,0,-,0,0,0,0,1,0,0,0,2,5.0
Donte DiVincenzo,GSW,GSW @ LAL,05/12/2023,L,26,16,6,12,50.0,4,8,50.0,0,2,0.0,1,3,4,0,1,0,2,4,1,21.8
Troy Brown Jr.,LAL,LAL vs. GSW,05/12/2023,W,4,2,1,2,50.0,0,1,0.0,0,0,-,1,2,3,0,0,0,0,0,-1,5.6
Shaquille Harrison,LAL,LAL vs. GSW,05/12/2023,W,4,1,0,1,0.0,0,0,-,1,2,50.0,0,0,0,1,0,0,0,0,-1,2.5
Gary Payton II,GSW,GSW @ LAL,05/12/2023,L,10,4,2,3,66.7,0,1,0.0,0,0,-,2,0,2,1,0,0,0,2,-18,7.9
Malik Beasley,LAL,LAL vs. GSW,05/12/2023,W,4,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,-1,3.0
Jeff Green,DEN,DEN @ PHX,05/11/2023,W,18,4,0,1,0.0,0,0,-,4,4,100,0,2,2,0,0,0,1,3,13,5.4
Paul Reed,PHI,PHI vs. BOS,05/11/2023,L,6,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,1,0,1,1,-7,3.2
Robert Williams III,BOS,BOS @ PHI,05/11/2023,W,28,10,4,7,57.1,0,0,-,2,2,100,2,7,9,1,0,2,1,2,18,27.3
De'Anthony Melton,PHI,PHI vs. BOS,05/11/2023,L,24,0,0,5,0.0,0,4,0.0,0,0,-,2,3,5,1,1,1,0,0,-3,13.5
Derrick White,BOS,BOS @ PHI,05/11/2023,W,19,9,3,6,50.0,3,5,60.0,0,0,-,0,2,2,1,1,1,1,0,-7,17.9
Jayson Tatum,BOS,BOS @ PHI,05/11/2023,W,43,19,5,21,23.8,4,11,36.4,5,5,100,1,8,9,6,2,2,4,1,2,46.8
Danuel House Jr.,PHI,PHI vs. BOS,05/11/2023,L,8,3,1,3,33.3,1,2,50.0,0,0,-,0,2,2,0,0,0,1,0,-9,4.4
Marcus Smart,BOS,BOS @ PHI,05/11/2023,W,42,22,8,15,53.3,3,8,37.5,3,4,75.0,2,5,7,7,2,0,3,2,18,43.9
Tobias Harris,PHI,PHI vs. BOS,05/11/2023,L,42,2,1,7,14.3,0,1,0.0,0,0,-,1,5,6,3,2,2,0,2,-10,25.7
James Harden,PHI,PHI vs. BOS,05/11/2023,L,43,13,4,16,25.0,0,6,0.0,5,5,100,2,5,7,9,3,1,5,3,-10,41.9
Jaden Springer,PHI,PHI vs. BOS,05/11/2023,L,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,2.0
Tyrese Maxey,PHI,PHI vs. BOS,05/11/2023,L,40,26,9,20,45.0,3,9,33.3,5,6,83.3,0,5,5,3,3,0,0,0,1,45.5
Jalen McDaniels,PHI,PHI vs. BOS,05/11/2023,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0.0
Shake Milton,PHI,PHI vs. BOS,05/11/2023,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0.0
Georges Niang,PHI,PHI vs. BOS,05/11/2023,L,15,6,2,3,66.7,2,3,66.7,0,0,-,0,0,0,0,0,0,0,2,-2,6.0
Malcolm Brogdon,BOS,BOS @ PHI,05/11/2023,W,30,16,6,11,54.5,4,6,66.7,0,0,-,0,6,6,2,1,0,4,2,6,25.2
Jaylen Brown,BOS,BOS @ PHI,05/11/2023,W,39,17,6,13,46.2,1,3,33.3,4,5,80.0,0,6,6,4,0,0,4,4,8,26.2
Joel Embiid,PHI,PHI vs. BOS,05/11/2023,L,41,26,9,19,47.4,0,2,0.0,8,8,100,0,10,10,1,1,3,4,3,-4,47.5
Al Horford,BOS,BOS @ PHI,05/11/2023,W,39,2,1,5,20.0,0,2,0.0,0,0,-,1,10,11,1,1,1,0,3,0,22.7
P.J. Tucker,PHI,PHI vs. BOS,05/11/2023,L,20,8,3,8,37.5,2,7,28.6,0,0,-,1,1,2,1,3,0,0,2,-7,20.9
Ish Smith,DEN,DEN @ PHX,05/11/2023,W,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,2.0
Bismack Biyombo,PHX,PHX vs. DEN,05/11/2023,L,8,2,1,1,100,0,0,-,0,2,0.0,1,1,2,0,0,1,0,2,-26,7.4
Jock Landale,PHX,PHX vs. DEN,05/11/2023,L,31,13,5,6,83.3,0,0,-,3,4,75.0,0,5,5,1,0,1,1,4,7,22.5
Landry Shamet,PHX,PHX vs. DEN,05/11/2023,L,37,9,3,11,27.3,3,9,33.3,0,0,-,1,5,6,4,0,0,2,3,-1,20.2
Bruce Brown,DEN,DEN @ PHX,05/11/2023,W,31,13,6,13,46.2,1,4,25.0,0,0,-,1,4,5,1,1,1,2,4,26,24.5
Cameron Payne,PHX,PHX vs. DEN,05/11/2023,L,42,31,12,16,75.0,7,9,77.8,0,3,0.0,0,6,6,2,0,1,4,3,-10,40.2
Nikola Jokic,DEN,DEN @ PHX,05/11/2023,W,38,32,13,18,72.2,0,1,0.0,6,6,100,3,7,10,12,3,1,2,4,28,72.0
T.J. Warren,PHX,PHX vs. DEN,05/11/2023,L,16,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,0,0,0,0,1,-14,2.4
Kentavious Caldwell-Pope,DEN,DEN @ PHX,05/11/2023,W,36,21,7,11,63.6,2,5,40.0,5,5,100,0,5,5,3,2,1,0,3,21,40.5
Kevin Durant,PHX,PHX vs. DEN,05/11/2023,L,37,23,8,19,42.1,0,0,-,7,7,100,0,5,5,5,0,1,4,2,-13,35.5
Peyton Watson,DEN,DEN @ PHX,05/11/2023,W,2,2,1,2,50.0,0,0,-,0,0,-,0,1,1,0,0,0,0,1,0,3.2
Christian Braun,DEN,DEN @ PHX,05/11/2023,W,14,4,1,2,50.0,0,0,-,2,2,100,0,2,2,0,0,0,0,1,15,6.4
Ish Wainright,PHX,PHX vs. DEN,05/11/2023,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0.0
Zeke Nnaji,DEN,DEN @ PHX,05/11/2023,W,2,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,1.2
Michael Porter Jr.,DEN,DEN @ PHX,05/11/2023,W,24,10,4,10,40.0,0,4,0.0,2,2,100,2,3,5,0,0,0,0,2,11,16.0
Torrey Craig,PHX,PHX vs. DEN,05/11/2023,L,13,4,2,3,66.7,0,1,0.0,0,0,-,0,0,0,0,1,0,0,2,-17,7.0
Vlatko Cancar,DEN,DEN @ PHX,05/11/2023,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,1.5
Damion Lee,PHX,PHX vs. DEN,05/11/2023,L,12,6,3,4,75.0,0,1,0.0,0,0,-,0,1,1,0,1,0,0,0,3,10.2
Jamal Murray,DEN,DEN @ PHX,05/11/2023,W,35,26,7,16,43.8,4,7,57.1,8,8,100,0,4,4,4,4,0,3,1,6,45.8
Devin Booker,PHX,PHX vs. DEN,05/11/2023,L,36,12,4,13,30.8,1,3,33.3,3,4,75.0,0,1,1,8,1,1,2,4,-27,29.2
Aaron Gordon,DEN,DEN @ PHX,05/11/2023,W,35,8,3,7,42.9,0,0,-,2,4,50.0,1,5,6,3,0,0,2,3,2,17.7
Terrence Ross,PHX,PHX vs. DEN,05/11/2023,L,9,0,0,5,0.0,0,4,0.0,0,0,-,0,1,1,0,0,0,1,1,-27,0.2
Reggie Jackson,DEN,DEN @ PHX,05/11/2023,W,3,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,3,3.0
Klay Thompson,GSW,GSW vs. LAL,05/10/2023,W,37,10,3,12,25.0,2,6,33.3,2,2,100,0,6,6,2,1,2,2,1,16,27.2
Jalen Brunson,NYK,NYK vs. MIA,05/10/2023,W,48,38,12,22,54.5,4,10,40.0,10,12,83.3,1,8,9,7,1,0,1,2,9,61.3
Mitchell Robinson,NYK,NYK vs. MIA,05/10/2023,W,26,8,2,5,40.0,0,0,-,4,8,50.0,5,6,11,2,1,0,2,3,12,25.2
Obi Toppin,NYK,NYK vs. MIA,05/10/2023,W,12,2,1,3,33.3,0,2,0.0,0,0,-,1,5,6,0,0,0,1,0,9,8.2
Quentin Grimes,NYK,NYK vs. MIA,05/10/2023,W,48,8,3,8,37.5,2,6,33.3,0,0,-,0,4,4,5,2,2,4,3,9,28.3
Duncan Robinson,MIA,MIA @ NYK,05/10/2023,L,22,17,6,13,46.2,5,10,50.0,0,0,-,0,1,1,1,2,0,0,2,3,25.7
Caleb Martin,MIA,MIA @ NYK,05/10/2023,L,28,11,4,7,57.1,2,4,50.0,1,1,100,1,2,3,3,1,0,2,3,9,20.1
Josh Hart,NYK,NYK vs. MIA,05/10/2023,W,9,2,1,2,50.0,0,1,0.0,0,0,-,1,1,2,1,0,0,2,4,-11,3.9
Isaiah Hartenstein,NYK,NYK vs. MIA,05/10/2023,W,22,4,1,1,100,0,0,-,2,2,100,4,2,6,1,1,1,0,4,-3,18.7
Cody Zeller,MIA,MIA @ NYK,05/10/2023,L,9,5,2,3,66.7,0,0,-,1,2,50.0,1,1,2,1,0,0,1,3,2,7.9
Jimmy Butler,MIA,MIA @ NYK,05/10/2023,L,43,19,5,12,41.7,0,0,-,9,11,81.8,2,5,7,9,4,2,1,3,0,57.9
Kyle Lowry,MIA,MIA @ NYK,05/10/2023,L,31,9,3,11,27.3,2,8,25.0,1,1,100,0,1,1,5,2,1,2,5,-5,24.7
Miles McBride,NYK,NYK vs. MIA,05/10/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3,0.0
RJ Barrett,NYK,NYK vs. MIA,05/10/2023,W,38,26,8,17,47.1,3,8,37.5,7,8,87.5,0,7,7,2,0,1,4,2,17,36.4
Max Strus,MIA,MIA @ NYK,05/10/2023,L,26,14,5,11,45.5,4,10,40.0,0,0,-,1,2,3,0,0,0,0,1,-15,17.6
Haywood Highsmith,MIA,MIA @ NYK,05/10/2023,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-13,0.0
Gabe Vincent,MIA,MIA @ NYK,05/10/2023,L,23,6,3,10,30.0,0,3,0.0,0,0,-,0,4,4,4,1,0,3,4,-3,16.8
Bam Adebayo,MIA,MIA @ NYK,05/10/2023,L,39,18,7,11,63.6,0,1,0.0,4,4,100,5,3,8,2,1,1,2,5,-11,34.6
Julius Randle,NYK,NYK vs. MIA,05/10/2023,W,36,24,7,13,53.8,4,7,57.1,6,10,60.0,2,3,5,5,1,0,4,1,0,36.5
Kevin Love,MIA,MIA @ NYK,05/10/2023,L,16,4,2,10,20.0,0,7,0.0,0,0,-,1,4,5,2,0,0,1,3,-12,12.0
Anthony Davis,LAL,LAL @ GSW,05/10/2023,L,32,23,10,18,55.6,0,0,-,3,5,60.0,0,9,9,3,0,0,3,4,-22,35.3
D'Angelo Russell,LAL,LAL @ GSW,05/10/2023,L,30,15,6,10,60.0,1,2,50.0,2,2,100,1,3,4,2,1,1,2,3,-9,26.8
Shaquille Harrison,LAL,LAL @ GSW,05/10/2023,L,3,0,0,0,-,0,0,-,0,0,-,0,1,1,2,0,0,0,0,-1,4.2
Troy Brown Jr.,LAL,LAL @ GSW,05/10/2023,L,3,2,1,3,33.3,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1,2.0
Jarred Vanderbilt,LAL,LAL @ GSW,05/10/2023,L,11,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,1,1,0,3,-16,7.2
Rui Hachimura,LAL,LAL @ GSW,05/10/2023,L,21,4,2,3,66.7,0,1,0.0,0,0,-,0,2,2,1,1,0,1,0,7,9.9
Wenyen Gabriel,LAL,LAL @ GSW,05/10/2023,L,3,1,0,2,0.0,0,0,-,1,2,50.0,3,0,3,0,0,1,0,0,-1,7.6
Jordan Poole,GSW,GSW vs. LAL,05/10/2023,W,23,11,5,14,35.7,1,6,16.7,0,0,-,0,1,1,4,0,0,0,3,-1,18.2
Jonathan Kuminga,GSW,GSW vs. LAL,05/10/2023,W,2,5,2,2,100,1,1,100,0,0,-,0,1,1,1,0,0,0,0,1,7.7
Anthony Lamb,GSW,GSW vs. LAL,05/10/2023,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,1,0.0
Moses Moody,GSW,GSW vs. LAL,05/10/2023,W,10,6,2,3,66.7,2,2,100,0,0,-,0,4,4,0,0,0,0,0,1,10.8
Austin Reaves,LAL,LAL @ GSW,05/10/2023,L,36,15,5,12,41.7,3,6,50.0,2,2,100,2,5,7,5,1,0,1,0,-21,32.9
Max Christie,LAL,LAL @ GSW,05/10/2023,L,3,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1,0.0
LeBron James,LAL,LAL @ GSW,05/10/2023,L,39,25,9,17,52.9,3,7,42.9,4,4,100,1,8,9,3,2,1,4,3,-16,45.3
Stephen Curry,GSW,GSW vs. LAL,05/10/2023,W,39,27,12,24,50.0,3,11,27.3,0,0,-,0,3,3,8,0,1,2,0,12,43.6
Draymond Green,GSW,GSW vs. LAL,05/10/2023,W,30,20,7,11,63.6,1,2,50.0,5,5,100,1,9,10,4,2,1,5,3,13,42.0
Dennis Schroder,LAL,LAL @ GSW,05/10/2023,L,29,14,6,11,54.5,2,5,40.0,0,0,-,0,2,2,4,0,0,2,3,14,20.4
Andrew Wiggins,GSW,GSW vs. LAL,05/10/2023,W,36,25,10,18,55.6,2,5,40.0,3,3,100,1,6,7,5,1,0,1,2,16,42.9
Gary Payton II,GSW,GSW vs. LAL,05/10/2023,W,27,13,4,5,80.0,1,2,50.0,4,5,80.0,3,3,6,1,1,0,2,4,25,22.7
Donte DiVincenzo,GSW,GSW vs. LAL,05/10/2023,W,13,0,0,1,0.0,0,0,-,0,0,-,0,2,2,2,1,0,2,1,-2,6.4
Lonnie Walker IV,LAL,LAL @ GSW,05/10/2023,L,28,4,2,6,33.3,0,2,0.0,0,0,-,0,0,0,4,0,0,1,1,-7,9.0
Malik Beasley,LAL,LAL @ GSW,05/10/2023,L,3,3,1,2,50.0,1,2,50.0,0,0,-,0,0,0,0,0,0,0,0,-1,3.0
Kevon Looney,GSW,GSW vs. LAL,05/10/2023,W,20,4,2,2,100,0,0,-,0,0,-,4,4,8,2,2,1,0,3,-7,25.6
P.J. Tucker,PHI,PHI @ BOS,05/09/2023,W,34,3,1,4,25.0,1,3,33.3,0,0,-,1,6,7,1,0,0,0,4,11,12.9
Al Horford,BOS,BOS vs. PHI,05/09/2023,L,25,0,0,7,0.0,0,7,0.0,0,0,-,2,3,5,4,2,1,1,2,-18,20.0
Tobias Harris,PHI,PHI @ BOS,05/09/2023,W,31,16,7,10,70.0,1,3,33.3,1,2,50.0,2,9,11,1,0,0,1,5,12,29.7
Mike Muscala,BOS,BOS vs. PHI,05/09/2023,L,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,9,1.2
Marcus Smart,BOS,BOS vs. PHI,05/09/2023,L,34,14,2,7,28.6,2,5,40.0,8,10,80.0,1,2,3,4,0,0,2,1,-17,21.6
Joel Embiid,PHI,PHI @ BOS,05/09/2023,W,37,33,10,23,43.5,3,7,42.9,10,11,90.9,3,4,7,3,0,4,4,3,21,53.9
Jayson Tatum,BOS,BOS vs. PHI,05/09/2023,L,40,36,11,27,40.7,3,11,27.3,11,13,84.6,3,7,10,5,2,0,2,2,-26,59.5
Derrick White,BOS,BOS vs. PHI,05/09/2023,L,34,7,2,6,33.3,0,2,0.0,3,3,100,2,3,5,0,0,0,0,1,-15,13.0
Luke Kornet,BOS,BOS vs. PHI,05/09/2023,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,9,0.0
Shake Milton,PHI,PHI @ BOS,05/09/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-3,-1.0
Grant Williams,BOS,BOS vs. PHI,05/09/2023,L,8,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,2,-2,1.5
Tyrese Maxey,PHI,PHI @ BOS,05/09/2023,W,42,30,10,21,47.6,6,12,50.0,4,4,100,1,6,7,3,0,0,1,2,15,41.9
Sam Hauser,BOS,BOS vs. PHI,05/09/2023,L,4,3,1,2,50.0,1,2,50.0,0,0,-,0,0,0,0,0,0,0,0,9,3.0
James Harden,PHI,PHI @ BOS,05/09/2023,W,39,17,4,8,50.0,1,2,50.0,8,10,80.0,0,8,8,10,2,0,2,2,10,45.6
Jaylen Brown,BOS,BOS vs. PHI,05/09/2023,L,34,24,9,16,56.3,3,6,50.0,3,8,37.5,0,6,6,2,0,0,3,5,-15,31.2
Bruce Brown,DEN,DEN vs. PHX,05/09/2023,W,27,25,7,11,63.6,2,4,50.0,9,10,90.0,1,4,5,1,1,0,1,1,-2,34.5
Jock Landale,PHX,PHX @ DEN,05/09/2023,L,16,5,2,4,50.0,0,0,-,1,2,50.0,0,4,4,0,0,0,0,1,5,9.8
Christian Braun,DEN,DEN vs. PHX,05/09/2023,W,20,5,2,3,66.7,0,0,-,1,2,50.0,0,2,2,0,1,0,2,2,-5,8.4
Jamal Murray,DEN,DEN vs. PHX,05/09/2023,W,37,19,7,15,46.7,2,4,50.0,3,3,100,0,5,5,6,1,0,2,1,23,35.0
Cameron Payne,PHX,PHX @ DEN,05/09/2023,L,31,7,3,5,60.0,1,3,33.3,0,0,-,0,2,2,4,1,0,2,2,-10,16.4
Devin Booker,PHX,PHX @ DEN,05/09/2023,L,41,28,8,19,42.1,4,7,57.1,8,9,88.9,0,6,6,4,0,0,2,4,-19,39.2
Aaron Gordon,DEN,DEN vs. PHX,05/09/2023,W,36,10,4,13,30.8,1,2,50.0,1,4,25.0,3,3,6,6,0,2,0,1,27,32.2
Terrence Ross,PHX,PHX @ DEN,05/09/2023,L,20,9,3,4,75.0,3,4,75.0,0,0,-,0,3,3,1,1,1,0,2,0,20.1
Jeff Green,DEN,DEN vs. PHX,05/09/2023,W,16,4,2,4,50.0,0,2,0.0,0,0,-,0,2,2,2,0,0,0,3,-3,9.4
Kevin Durant,PHX,PHX @ DEN,05/09/2023,L,42,26,10,24,41.7,0,3,0.0,6,9,66.7,2,9,11,7,0,1,5,4,-19,47.7
Peyton Watson,DEN,DEN vs. PHX,05/09/2023,W,4,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,1,1,-4,-1.0
Ish Wainright,PHX,PHX @ DEN,05/09/2023,L,4,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,4,0.0
Zeke Nnaji,DEN,DEN vs. PHX,05/09/2023,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4,0.0
Deandre Ayton,PHX,PHX @ DEN,05/09/2023,L,32,14,7,12,58.3,0,0,-,0,0,-,4,5,9,1,2,1,1,3,-21,34.3
Landry Shamet,PHX,PHX @ DEN,05/09/2023,L,23,6,2,6,33.3,1,3,33.3,1,2,50.0,0,5,5,3,0,1,0,4,-11,19.5
Michael Porter Jr.,DEN,DEN vs. PHX,05/09/2023,W,28,19,7,11,63.6,5,8,62.5,0,0,-,0,8,8,2,1,0,0,2,24,34.6
Josh Okogie,PHX,PHX @ DEN,05/09/2023,L,8,1,0,3,0.0,0,2,0.0,1,2,50.0,0,0,0,1,0,0,0,1,-14,2.5
Torrey Craig,PHX,PHX @ DEN,05/09/2023,L,4,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,0,1,1,0,1,4,8.0
Vlatko Cancar,DEN,DEN vs. PHX,05/09/2023,W,2,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,-4,1.2
Damion Lee,PHX,PHX @ DEN,05/09/2023,L,4,0,0,1,0.0,0,1,0.0,0,0,-,1,0,1,1,0,0,0,0,4,2.7
Nikola Jokic,DEN,DEN vs. PHX,05/09/2023,W,38,29,12,20,60.0,2,3,66.7,3,5,60.0,4,9,13,12,1,2,4,3,18,67.6
T.J. Warren,PHX,PHX @ DEN,05/09/2023,L,15,4,2,7,28.6,0,2,0.0,0,0,-,1,0,1,0,1,2,0,0,-3,14.2
Kentavious Caldwell-Pope,DEN,DEN vs. PHX,05/09/2023,W,27,7,1,6,16.7,1,3,33.3,4,4,100,2,5,7,3,1,2,0,2,18,28.9
Reggie Jackson,DEN,DEN vs. PHX,05/09/2023,W,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-4,1.2
Ish Smith,DEN,DEN vs. PHX,05/09/2023,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-4,0.0
Payton Pritchard,BOS,BOS vs. PHI,05/09/2023,L,9,8,3,5,60.0,2,2,100,0,0,-,0,1,1,1,0,0,0,0,14,10.7
Paul Reed,PHI,PHI @ BOS,05/09/2023,W,7,2,1,1,100,0,0,-,0,0,-,0,0,0,0,1,0,0,1,0,5.0
Robert Williams III,BOS,BOS vs. PHI,05/09/2023,L,19,4,2,3,66.7,0,0,-,0,0,-,1,1,2,0,0,0,0,2,-3,6.4
De'Anthony Melton,PHI,PHI @ BOS,05/09/2023,W,23,4,2,4,50.0,0,1,0.0,0,0,-,2,2,4,1,1,1,0,3,1,16.3
Danuel House Jr.,PHI,PHI @ BOS,05/09/2023,W,15,10,5,7,71.4,0,2,0.0,0,0,-,0,5,5,1,0,0,0,3,-8,17.5
Georges Niang,PHI,PHI @ BOS,05/09/2023,W,12,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,1,0.0
