,Pair,Name,Count,sort,Type
188,188,Jonathan Kuminga,14,1,Scorer
139,139,Stephen Curry,14,1,Scorer
188,188,Ty Jerome,14,0,Assister
139,139,Klay Thompson,14,0,Assister
39,39,JaMychal Green,14,1,Scorer
39,39,Donte DiVincenzo,14,0,Assister
26,26,Jordan Poole,13,1,Scorer
26,26,Anthony Lamb,13,0,Assister
16,16,Andrew Wiggins,13,0,Assister
111,111,Jordan Poole,13,0,Assister
16,16,Klay Thompson,13,1,Scorer
95,95,Jonathan Kuminga,13,0,Assister
95,95,Moses Moody,13,1,Scorer
33,33,Anthony Lamb,13,0,Assister
33,33,Stephen Curry,13,1,Scorer
111,111,Moses Moody,13,1,Scorer
184,184,Ty Jerome,12,0,Assister
94,94,Klay Thompson,12,1,Scorer
130,130,Donte DiVincenzo,12,1,Scorer
130,130,Klay Thompson,12,0,Assister
184,184,Donte DiVincenzo,12,1,Scorer
129,129,Anthony Lamb,12,1,Scorer
129,129,Klay Thompson,12,0,Assister
94,94,Jonathan Kuminga,12,0,Assister
114,114,Jordan Poole,12,0,Assister
18,18,Andrew Wiggins,12,0,Assister
18,18,Stephen Curry,12,1,Scorer
36,36,Donte DiVincenzo,12,0,Assister
36,36,Anthony Lamb,12,1,Scorer
114,114,Ty Jerome,12,1,Scorer
173,173,Stephen Curry,11,0,Assister
74,74,Jordan Poole,11,1,Scorer
74,74,JaMychal Green,11,0,Assister
190,190,Kevon Looney,11,1,Scorer
173,173,JaMychal Green,11,1,Scorer
192,192,Ty Jerome,11,0,Assister
70,70,Donte DiVincenzo,11,1,Scorer
70,70,JaMychal Green,11,0,Assister
186,186,Ty Jerome,11,0,Assister
192,192,Moses Moody,11,1,Scorer
193,193,Ty Jerome,11,0,Assister
190,190,Ty Jerome,11,0,Assister
186,186,JaMychal Green,11,1,Scorer
193,193,Patrick Baldwin Jr.,11,1,Scorer
99,99,Jonathan Kuminga,10,0,Assister
135,135,Jonathan Kuminga,10,1,Scorer
121,121,Jonathan Kuminga,10,1,Scorer
121,121,Kevon Looney,10,0,Assister
99,99,Ty Jerome,10,1,Scorer
135,135,Klay Thompson,10,0,Assister
189,189,Jordan Poole,9,1,Scorer
189,189,Ty Jerome,9,0,Assister
28,28,Anthony Lamb,9,0,Assister
35,35,Donte DiVincenzo,9,0,Assister
35,35,Andrew Wiggins,9,1,Scorer
144,144,Anthony Lamb,9,1,Scorer
144,144,Moses Moody,9,0,Assister
28,28,Klay Thompson,9,1,Scorer
151,151,Jordan Poole,9,1,Scorer
52,52,Draymond Green,9,0,Assister
