PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
VERONICA BURTON,DAL,23,25,14,11,15.7,2.2,0.6,2.4,23.0,0.3,1.4,22.2,0.8,0.9,90.9,0.5,1.4,1.9,2.5,0.6,0.7,0.4,1.6,9.2,0,0,-1.4
CAYLA GEORGE,LVA,34,17,16,1,7.5,2.2,0.9,3.2,29.1,0.3,1.7,17.2,0.0,0.0,0.0,0.5,1.4,1.9,0.4,1.0,0.2,0.2,1.1,5.6,0,0,-1.2
JENNIE SIMMS,PHO,29,6,1,5,11.7,2.2,0.7,2.3,28.6,0.0,0.8,0.0,0.8,1.2,71.4,0.7,1.5,2.2,0.5,1.0,0.3,0.0,1.2,5.5,0,0,-4.3
AMANDA ZAHUI B,IND,29,20,8,12,8.3,2.2,0.7,2.6,25.0,0.2,1.2,16.7,0.7,0.9,72.2,0.4,1.1,1.5,0.3,0.5,0.3,0.6,1.6,5.8,0,0,-0.9
MAYA CALDWELL,IND,24,22,6,16,10.7,2.1,0.8,2.5,32.7,0.2,1.0,19.0,0.3,0.4,87.5,0.3,0.6,0.9,0.8,0.8,0.3,0.1,1.0,4.7,0,0,-1.5
JASMINE DICKEY,DAL,23,14,6,8,6.2,2.1,0.9,2.4,38.2,0.0,0.1,0.0,0.2,0.4,50.0,0.5,0.3,0.8,0.1,0.4,0.3,0.1,1.1,3.6,0,0,0.6
AWAK KUIER,DAL,21,25,14,11,9.1,2.0,0.8,2.2,38.2,0.0,0.6,7.1,0.3,0.4,63.6,0.5,1.7,2.2,0.4,0.4,0.2,0.6,0.8,6.3,0,0,1.0
KRISTINE ANIGWE,CON,26,13,7,6,6.8,1.9,0.8,1.8,41.7,0.0,0.1,0.0,0.4,0.6,62.5,0.6,1.1,1.7,0.3,0.5,0.2,0.4,1.8,5.2,0,0,-2.2
EMILY ENGSTLER,MIN,23,11,6,5,8.2,1.9,0.7,1.8,40.0,0.2,0.5,33.3,0.3,0.7,37.5,0.9,1.5,2.5,0.6,0.9,0.5,0.1,0.7,6.3,0,0,-2.9
LINNAE HARPER,WAS,28,11,3,8,6.1,1.8,0.7,2.1,34.8,0.4,0.8,44.4,0.0,0.0,0.0,0.3,0.5,0.7,0.4,0.4,0.2,0.0,0.9,3.6,0,0,-2.4
EPIPHANNY PRINCE,NYL,35,9,5,4,7.5,1.8,0.6,1.6,35.7,0.3,1.1,30.0,0.3,0.3,100,0.1,0.6,0.7,0.9,0.8,0.2,0.1,0.7,4.3,0,0,-1.3
NIA CLOUDEN,LAS,23,5,3,2,10.8,1.6,0.6,2.0,30.0,0.2,0.6,33.3,0.2,0.4,50.0,0.0,0.4,0.4,1.8,1.6,0.0,0.0,1.0,4.0,0,0,-4.4
KAILA CHARLES,SEA,25,4,0,4,10.3,1.5,0.8,3.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8,0.5,1.3,0.3,0.0,0.3,0.0,2.3,3.5,0,0,-2.8
ABBY MEYERS,WAS,24,9,3,6,4.1,1.4,0.6,1.4,38.5,0.0,0.4,0.0,0.3,0.3,100,0.1,0.3,0.4,0.0,0.1,0.1,0.2,0.6,2.6,0,0,2.1
ARELLA GUIRANTES,SEA,25,9,2,7,5.3,1.3,0.4,1.8,25.0,0.1,0.7,16.7,0.3,0.6,60.0,0.1,0.6,0.7,0.3,0.3,0.1,0.4,0.3,3.6,0,0,-3.0
JOCELYN WILLOUGHBY,NYL,25,18,13,5,6.5,1.3,0.4,1.1,42.1,0.3,0.6,50.0,0.1,0.1,100,0.3,0.3,0.6,0.5,0.2,0.2,0.0,0.6,2.9,0,0,-3.1
EVINA WESTBROOK,PHO,24,9,2,7,8.0,1.1,0.2,2.2,10.0,0.0,1.2,0.0,0.7,0.7,100,0.1,0.9,1.0,0.4,0.4,0.1,0.1,0.8,3.0,0,0,-0.1
ALAINA COATES,PHO,28,2,1,1,2.7,1.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,2.0,0,0,-3.5
KAYANA TRAYLOR,MIN,23,8,5,3,4.4,1.0,0.4,1.3,30.0,0.0,0.1,0.0,0.3,0.3,100,0.1,0.0,0.1,0.4,0.4,0.3,0.0,0.6,2.0,0,0,-4.0
KADI SISSOKO,PHO,24,24,6,18,6.8,0.9,0.4,1.3,28.1,0.0,0.3,0.0,0.1,0.2,75.0,0.2,0.9,1.1,0.1,0.7,0.1,0.2,0.8,2.7,0,0,-0.7
SYDNEY COLSON,LVA,33,15,14,1,4.2,0.9,0.3,0.4,66.7,0.1,0.3,50.0,0.2,0.3,75.0,0.0,0.3,0.3,1.0,0.2,0.1,0.1,0.9,2.7,0,0,-2.1
HAN XU,NYL,23,5,4,1,3.7,0.8,0.4,1.8,22.2,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.4,0.2,0.2,0.2,2.0,0,0,-3.4
TAYLOR SOULE,CHI,23,9,3,6,3.8,0.8,0.1,0.8,14.3,0.0,0.1,0.0,0.6,0.9,62.5,0.3,0.3,0.7,0.2,0.4,0.0,0.0,0.3,1.7,0,0,0.1
VICTARIA SAXTON,IND,23,8,1,7,2.9,0.6,0.3,0.9,28.6,0.1,0.1,100,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.4,0.0,0.0,0.5,1.5,0,0,1.0
LIZ DIXON,PHO,22,9,4,5,3.9,0.6,0.2,0.9,25.0,0.0,0.0,0.0,0.1,0.2,50.0,0.3,0.1,0.4,0.1,0.3,0.0,0.1,0.2,1.3,0,0,-1.6
LEIGHA BROWN,CON,23,15,12,3,4.3,0.5,0.2,0.5,37.5,0.0,0.2,0.0,0.1,0.2,66.7,0.1,0.6,0.7,0.3,0.3,0.2,0.1,0.8,2.1,0,0,-2.9
ASHLEY JOENS,LVA,23,9,5,4,1.9,0.2,0.1,0.6,20.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.7,0,0,-2.0
KHAALIA HILLSMAN,CHI,26,1,0,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.0
LAUREN COX,CON,25,1,1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0
LORELA CUBAJ,ATL,24,3,1,2,6.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.0,0.3,0.0,0.3,1.3,3.0,0,0,4.0
SAM THOMAS,PHO,24,1,0,1,10.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,-7.0
