Timestamp,Co-Leads [Elliot Chin],Co-Leads [Willow Taylor Chiang Yang],Co-Leads [Andrew Chu],Athletics Representative [Emma Leschly],Athletics Representative [Luke Martinez],Athletics Representative [Callisto Lodwick],Athletics Representative [Noah Van Horne],Spirit and Social Representative [Mira Deb],Spirit and Social Representative [Tyler Huang],Spirit and Social Representative [Nicole Kleinknecht],Community Service Learning Representative [Cole Bregman],Community Service Learning Representative [Valerie Braylovskiy],Community Service Learning Representative [Adrienne Park],Student Life Representative [Avery Chen],Do you have any comments or suggestions on the election process (overall or specifically for speeches and voting)?
5/26/2020 12:38:19,2nd,1st,3rd,1st,2nd,4th,3rd,1st,2nd,3rd,3rd,1st,2nd,1st,no
5/26/2020 12:38:21,2nd,3rd,1st,4th,2nd,3rd,1st,3rd,2nd,1st,1st,2nd,3rd,1st,
5/26/2020 12:38:23,2nd,3rd,1st,2nd,3rd,,4th,3rd,2nd,1st,3rd,2nd,1st,1st,
5/26/2020 12:38:23,1st,2nd,3rd,3rd,2nd,1st,4th,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:38:25,2nd,1st,3rd,1st,2nd,4th,3rd,3rd,2nd,1st,2nd,1st,3rd,1st,
5/26/2020 12:38:27,1st,2nd,3rd,1st,2nd,4th,3rd,3rd,2nd,1st,2nd,1st,3rd,1st,
5/26/2020 12:38:29,2nd,1st,3rd,2nd,1st,4th,3rd,2nd,1st,3rd,2nd,1st,3rd,1st,
5/26/2020 12:38:32,3rd,2nd,1st,4th,2nd,1st,3rd,3rd,1st,2nd,2nd,1st,3rd,1st,
5/26/2020 12:38:34,2nd,1st,3rd,3rd,2nd,4th,1st,2nd,3rd,1st,2nd,1st,3rd,1st,
5/26/2020 12:38:35,3rd,2nd,1st,1st,2nd,4th,3rd,2nd,3rd,1st,3rd,2nd,1st,1st,
5/26/2020 12:38:36,3rd,1st,2nd,2nd,1st,4th,3rd,2nd,,1st,,2nd,1st,,
5/26/2020 12:38:37,2nd,3rd,1st,2nd,1st,3rd,4th,2nd,3rd,1st,3rd,2nd,1st,,
5/26/2020 12:38:38,2nd,1st,3rd,1st,2nd,4th,3rd,1st,3rd,2nd,3rd,1st,2nd,1st,
5/26/2020 12:38:42,2nd,1st,3rd,1st,2nd,4th,3rd,1st,2nd,3rd,3rd,1st,2nd,1st,
5/26/2020 12:38:42,2nd,1st,3rd,1st,2nd,4th,3rd,2nd,3rd,1st,,1st,,1st,
5/26/2020 12:38:44,2nd,3rd,1st,2nd,1st,4th,3rd,2nd,1st,3rd,1st,3rd,2nd,1st,
5/26/2020 12:38:45,2nd,1st,3rd,,,,,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:38:47,2nd,3rd,1st,4th,2nd,3rd,1st,,,,3rd,2nd,1st,1st,
5/26/2020 12:38:48,2nd,3rd,1st,3rd,1st,2nd,4th,3rd,2nd,1st,3rd,2nd,1st,1st,
5/26/2020 12:38:48,3rd,1st,2nd,2nd,4th,1st,3rd,1st,2nd,3rd,2nd,1st,3rd,1st,
5/26/2020 12:38:49,2nd,1st,3rd,3rd,4th,2nd,1st,3rd,1st,2nd,3rd,2nd,1st,1st,
5/26/2020 12:38:49,2nd,3rd,1st,2nd,4th,1st,3rd,1st,3rd,2nd,2nd,3rd,1st,1st,n/a
5/26/2020 12:38:50,2nd,1st,3rd,3rd,2nd,4th,1st,3rd,2nd,1st,1st,2nd,3rd,,
5/26/2020 12:38:50,2nd,3rd,1st,2nd,1st,3rd,4th,1st,2nd,3rd,2nd,1st,3rd,1st,
5/26/2020 12:38:51,2nd,,1st,,,,,,,,2nd,,1st,1st,
5/26/2020 12:38:51,3rd,1st,2nd,1st,2nd,4th,3rd,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 12:38:51,2nd,1st,3rd,1st,2nd,4th,3rd,2nd,3rd,1st,1st,2nd,3rd,1st,
5/26/2020 12:38:53,,1st,2nd,1st,3rd,4th,2nd,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 12:38:54,2nd,1st,3rd,1st,4th,2nd,3rd,1st,2nd,3rd,3rd,1st,2nd,1st,
5/26/2020 12:38:54,3rd,2nd,1st,3rd,1st,4th,2nd,3rd,1st,2nd,2nd,3rd,1st,1st,
5/26/2020 12:38:55,2nd,1st,3rd,1st,3rd,,2nd,1st,,,,,1st,1st,
5/26/2020 12:38:55,3rd,2nd,1st,3rd,1st,4th,2nd,2nd,1st,3rd,2nd,3rd,1st,1st,
5/26/2020 12:38:56,2nd,1st,3rd,1st,2nd,4th,3rd,2nd,1st,3rd,3rd,2nd,1st,1st,
5/26/2020 12:38:57,2nd,1st,3rd,1st,4th,3rd,2nd,1st,3rd,2nd,3rd,1st,2nd,1st,
5/26/2020 12:38:57,3rd,1st,2nd,1st,2nd,4th,3rd,2nd,1st,3rd,3rd,2nd,1st,1st,
5/26/2020 12:38:57,2nd,3rd,1st,1st,4th,3rd,2nd,2nd,3rd,1st,1st,2nd,3rd,1st,
5/26/2020 12:38:57,1st,2nd,3rd,1st,3rd,4th,2nd,3rd,1st,2nd,3rd,1st,2nd,1st,
5/26/2020 12:38:57,2nd,3rd,1st,1st,2nd,4th,3rd,2nd,1st,3rd,1st,3rd,2nd,1st,
5/26/2020 12:38:58,2nd,1st,3rd,3rd,2nd,1st,4th,1st,2nd,3rd,3rd,1st,2nd,1st,
5/26/2020 12:38:59,2nd,1st,3rd,1st,3rd,2nd,4th,2nd,3rd,1st,2nd,1st,3rd,1st,
5/26/2020 12:39:00,3rd,1st,2nd,1st,2nd,4th,3rd,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 12:39:01,3rd,1st,2nd,1st,4th,2nd,3rd,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 12:39:02,3rd,1st,2nd,1st,2nd,4th,3rd,1st,2nd,3rd,1st,3rd,2nd,1st,
5/26/2020 12:39:03,3rd,1st,2nd,1st,2nd,3rd,4th,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:39:04,1st,3rd,2nd,1st,2nd,4th,3rd,3rd,1st,2nd,2nd,1st,3rd,1st,
5/26/2020 12:39:07,3rd,1st,2nd,4th,2nd,1st,3rd,3rd,1st,2nd,2nd,1st,3rd,,
