PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PM,OFFRTG,DEFRTG,NETRTG,ASTP,ASTTOR,ASTRATIO,OREBP,DREBP,REBP,TORATIO,EFGP,TSP,USGP,PACE,PIE,PTS OFF TO,2ND PTS,FBPS,PITP,OPP PTS OFF TO,OPP 2ND PTS,OPP FBPS,OPP PITP,BLK,BLKA,PF,PFD,PFGA 2PT,PFGA 3PT,PPTS 2PT,PPTS 2PT MR,PPTS 3PT,PPTS FBPS,PPTSFT,PPTS OFFTO,PPTS PITP,2FGM PAST,2FGM PUAST,3FGM PAST,3FGM PUAST,FGM PAST,FGM PUAST,USGP,PFGM,PFGA,P3PM,P3PA,PFTM,PFTA,POREB,PDREB,PREB,PAST,PTOV,PSTL,PBLK,PBLKA,PPF,PPFD,PPTS,DEF RTG,DREB,DREBP,PDREB,STL,STLP,BLK,PBLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
AZURÁ STEVENS,DAL,23,34,15,19,20.6,8.9,3.3,7.6,43,0.8,2.6,31.8,1.5,1.9,78.8,1.7,2.8,4.6,1.3,1.5,0.9,1.1,2.1,21,0,0,0.2,105.3,104.4,0.8,10.6,0.86,11.5,8.1,13.7,10.8,13.3,48.4,52.6,19.5,100.06,10.1,1.2,1.9,1,4.2,8.9,6.2,5.6,18,1.1,0.5,2.1,1.7,65.9,34.1,55,7.9,27.8,10.9,17.2,13.9,47,51.8,48.2,100,0,64,36,19.5,21.1,21.2,23,22,14.5,14.7,27.2,22.5,24.1,14.1,19.6,24,44.3,20.7,21.8,15.8,19.7,104.4,2.8,13.7,22.5,0.9,24,1.1,44.3,8.9,6.2,5.6,18,0.056
BETNIJAH LANEY,CON,25,29,18,11,9.3,2.7,1.1,2.4,47.1,0,0.3,11.1,0.3,0.4,90.9,0.7,1,1.7,0.7,0.6,0.4,0,0.7,6.4,0,0,2.6,109.9,96.4,13.5,10.5,1.31,18.9,7.8,10.7,9.3,14.4,47.9,51.4,13.9,98.56,8.3,0.7,0.6,0.6,1.7,3.4,2.9,1.6,6.8,0,0.1,0.7,0.7,87.1,12.9,83.1,18.2,3.9,20.8,13,26,64.9,37.5,62.5,100,0,39.4,60.6,13.9,14.2,14.6,1.8,6.5,11.4,10,30.3,17,20.7,15.1,17,22,0,6.9,15.5,16.5,12.6,96.4,1,10.7,17,0.4,22,0,0,3.4,2.9,1.6,6.8,0.054
BLAKE DIETRICK,ATL,25,26,18,8,7.2,1.4,0.5,1.3,34.3,0.3,0.9,39.1,0.2,0.2,66.7,0.1,0.5,0.5,0.4,0.5,0.3,0,0.8,3.1,0,0,-1.8,88.3,98.2,-9.9,10.5,0.92,18,0.9,6.7,3.6,19.7,47.1,49.1,10.7,100.53,2,0.1,0,0.2,0.2,3.2,1.6,1.8,6.4,0,0.2,0.8,0.3,34.3,65.7,16.2,0,73,16.2,10.8,8.1,16.2,100,0,100,0,100,0,10.7,10.3,11,32.1,24.2,5.1,5.5,3.4,11.4,8.6,15.5,15.6,17.9,0,21.7,23.9,9.1,10.9,98.2,0.5,6.7,11.4,0.3,17.9,0,0,3.2,1.6,1.8,6.4,0.037
BREANNA LEWIS,DAL,25,6,3,3,4.3,1.2,0.5,1.7,30,0,0,0,0.2,0.2,100,0.5,0.7,1.2,0,0.5,0,0.2,1,2.6,0,0,-3.5,80.4,120,-39.6,0,0,0,9.4,19,13.2,23.1,30,33.5,19.1,102.77,-3.9,0,0.8,0,1,2.3,0,2.5,5.7,0.2,0.5,1,0.5,100,0,85.7,0,0,0,14.3,0,85.7,33.3,66.7,0,0,33.3,66.7,19.1,20,21.3,0,0,9.1,8.3,37.5,28.6,31.8,0,33.3,0,50,100,37.5,27.3,15.6,120,0.7,19,28.6,0,0,0.2,50,2.3,0,2.5,5.7,-0.015
BREANNA STEWART,SEA,24,34,26,8,31.6,21.8,7.9,15,52.9,1.8,4.3,41.5,4.1,5.1,82,1.1,7.2,8.4,2.5,1.8,1.4,1.4,2,42.2,9,0,8.1,111.8,99.4,12.4,13.8,1.41,11.8,3.8,22.5,13.5,8.4,58.9,63.3,26.1,97.04,19.2,3.3,2.3,2.3,9.6,10.5,7.9,4.6,27.5,1.4,0.7,2,4.5,71.2,28.8,56.3,12.1,24.7,10.5,19,15.1,44.2,70.3,29.7,98.4,1.6,76.7,23.3,26.1,30.3,27.6,23.6,22.3,36.1,35.7,17.7,34.6,30.7,14.3,17.4,20.9,38.6,29.1,15.6,33.4,30.5,99.4,7.2,22.5,34.6,1.4,20.9,1.4,38.6,10.5,7.9,4.6,27.5,0.146
BRIA HARTLEY,NYL,26,34,7,27,23.7,8.5,3,7.8,38.9,1.1,3.4,30.8,1.4,1.9,70.8,0.7,2.2,2.9,3.6,2,0.9,0.1,2.2,18.1,0,0,-5.1,97.5,107,-9.5,25.1,1.78,25.2,3.1,9.3,6.2,14.1,45.7,49,19.8,95.44,7.8,1.8,0.6,1.1,2.9,9.6,7.5,3.9,18.4,0.1,0.4,2.2,2.1,55.8,44.2,46.5,11.8,37.5,12.5,16,21.5,34.7,40.3,59.7,72.2,27.8,51.5,48.5,19.8,17.6,19.5,26.5,27.1,18.9,20.7,14,15,14.7,31.7,23.6,24.2,3.3,22.7,17.6,20.6,18.6,107,2.2,9.3,15,0.9,24.2,0.1,3.3,9.6,7.5,3.9,18.4,0.04
BRIANN JANUARY,PHO,32,33,19,14,27.1,7,2.3,5.5,42.3,1.4,3,47,0.9,1.1,80.6,0.4,1.6,2.1,3.3,1.4,0.6,0.1,2.3,15.1,0,0,2.2,109,105,4,18,2.37,30.9,1.7,5.7,3.9,13,55.2,58.1,12.1,96.38,6,0.9,0.8,0.7,0.6,10.5,7.2,5.8,21.3,0.1,0.2,2.3,1.8,45.1,54.9,26.1,17.4,61.3,10,12.6,13,8.7,36.7,63.3,97.9,2.1,74,26,12.1,11.3,12.4,24.2,19.3,7.2,7.7,8.3,9.5,9.2,22.7,15.5,14.7,4,8.2,17.9,12.7,11.7,105,1.6,5.7,9.5,0.6,14.7,0.1,4,10.5,7.2,5.8,21.3,0.066
BRIONNA JONES,CON,23,27,18,9,9,3.1,1.1,2.4,46.9,0,0,0,0.9,1.2,72.7,0.9,1.1,2,0.2,0.6,0.2,0.2,1.4,6.5,1,0,-0.5,97,99.4,-2.4,4.2,0.38,6,8.6,11.5,10,16,46.9,53.5,15.6,99.09,6.3,0.5,1.1,0.1,1.9,2.9,3,1.1,5.9,0.2,0.3,1.4,1,100,0,71.4,9.5,0,2.4,28.6,16.7,61.9,60,40,0,0,60,40,15.6,17.4,14.7,0,0,25,26,30.4,19.5,23.2,5.8,19.5,16.2,60,32.1,28.9,21.4,17.4,99.4,1.1,11.5,19.5,0.2,16.2,0.2,60,2.9,3,1.1,5.9,0.042
BRITTANY BOYD,NYL,26,30,5,25,20.4,6.4,2.3,5.6,41.4,0.3,0.9,37,1.4,1.8,77.4,0.3,3.6,3.9,5.3,2.7,1.2,0.1,2.4,20.3,1,0,-3,94.6,101,-6.3,40.7,1.96,36.7,1.6,17.2,9.4,18.7,44.4,49.7,19.2,98.36,12,1.8,0.6,1,3.1,8.9,6,3.1,13.8,0.1,0.3,2.4,2,84,16,62.8,13.6,15.7,15.2,21.5,27.7,49.2,28.3,71.7,50,50,31.4,68.6,19.2,15.2,16,10.5,8.6,24.7,23.9,7.7,26.3,21.8,51.8,34.2,32.7,7.7,15.3,23.2,24.8,16.1,101,3.6,17.2,26.3,1.2,32.7,0.1,7.7,8.9,6,3.1,13.8,0.084
BRITTNEY GRINER,PHO,28,34,20,14,32.6,20.5,7.8,14.4,54.4,0,0.1,25,4.8,6,80,1.9,5.9,7.7,2.1,2.4,0.5,2.6,3.2,39.7,10,0,3.5,109.2,103.5,5.6,12.1,0.88,9.6,6.2,16.8,11.9,11,54.5,60.2,26.6,96.47,15.8,2.7,1.9,0.4,11.3,12.8,8.9,6.1,23.9,2.6,0.6,3.2,5.6,99.2,0.8,76,20.9,0.4,2.2,23.5,13.1,55.1,82.6,17.4,100,0,82.7,17.3,26.6,31.4,26.9,0.4,0.6,32.5,34.4,32.6,27.3,28.4,11.8,22.2,10.9,64,23,21.8,32.5,28.7,103.5,5.9,16.8,27.3,0.5,10.9,2.6,64,12.8,8.9,6.1,23.9,0.097
