PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Darius Garland,CLE,23,4,1,3,35.2,15,5,10,50.0,3,4,75.0,2,2,100,0,0,0,4,2,3,1,3,31,1,0,-6
Karl-Anthony Towns,MIN,27,4,1,3,40.0,15,6,15,40.0,2,5,40.0,1,1,100,0,6,6,1,1,1,1,5,29,3,0,-20
Al Horford,BOS,36,4,3,1,37.3,14,5,8,62.5,4,7,57.1,0,0,0.0,2,3,5,1,1,1,2,1,30,0,0,11
Bam Adebayo,MIA,25,3,3,0,27.3,14,6,9,66.7,0,0,0.0,2,2,100,0,8,8,5,4,3,0,3,36,1,0,29
Derrick White,BOS,28,4,3,1,38.6,14,5,9,55.6,2,5,40.0,2,2,100,0,7,7,3,3,0,0,4,24,0,0,-2
Immanuel Quickley,NYK,23,4,3,1,26.6,14,4,7,57.1,2,4,50.0,4,6,66.7,0,2,2,1,0,2,0,2,24,0,0,15
Jarrett Allen,CLE,25,4,1,3,36.7,14,7,8,87.5,0,0,0.0,0,0,0.0,3,3,6,2,1,2,1,2,32,1,0,-12
Marcus Smart,BOS,29,4,3,1,31.2,14,6,16,37.5,2,9,22.2,0,0,0.0,1,1,2,5,1,3,1,1,35,0,0,-18
Pat Connaughton,MIL,30,3,1,2,23.3,14,4,10,40.0,3,9,33.3,3,4,75.0,2,5,7,2,0,1,0,3,28,0,0,-24
RJ Barrett,NYK,22,4,3,1,34.4,14,6,15,40.0,0,5,0.0,2,4,50.0,0,3,3,2,1,0,0,1,20,0,0,8
Torrey Craig,PHX,32,4,3,1,24.6,14,5,7,71.4,1,3,33.3,3,3,100,3,1,4,1,0,0,1,5,23,0,0,10
D'Angelo Russell,LAL,27,4,3,1,28.2,13,5,13,38.5,3,8,37.5,0,0,0.0,2,4,6,3,1,0,0,5,24,0,0,11
Grayson Allen,MIL,27,4,1,3,34.8,13,4,9,44.4,3,5,60.0,2,2,100,1,2,3,2,0,0,0,3,20,0,0,-32
Paul Reed,PHI,23,3,3,0,18.7,13,6,8,75.0,0,0,0.0,1,1,100,6,4,10,1,4,0,1,3,26,1,0,6
Spencer Dinwiddie,BKN,30,4,0,4,41.5,13,4,12,33.3,1,4,25.0,4,7,57.1,0,0,0,2,4,1,1,2,18,0,0,-25
Terance Mann,LAC,26,4,1,3,43.1,13,5,7,71.4,2,3,66.7,1,1,100,0,3,3,4,3,2,0,6,26,0,0,-7
Bones Hyland,LAC,22,4,1,3,29.8,12,4,10,40.0,1,5,20.0,3,4,75.0,0,0,0,2,1,2,0,4,20,0,0,-4
Davion Mitchell,SAC,24,4,2,2,27.9,12,5,6,83.3,1,2,50.0,1,1,100,1,1,2,2,2,0,0,0,15,0,0,3
Domantas Sabonis,SAC,26,4,2,2,38.8,12,6,12,50.0,0,1,0.0,0,2,0.0,3,7,10,2,4,1,1,6,29,2,0,3
