,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,"
            FP
          ",DD2,TD3,+/-
286,Brandon Boston Jr.,LAC,20,51,26,25,760,343,125,325,38.5,34,111,30.6,59,72,81.9,17,94,111,51,31,26,13,43,638.7,0,0,-37
287,Delon Wright,ATL,29,77,42,35,1453,342,122,269,45.4,44,116,37.9,54,63,85.7,50,170,220,188,45,93,19,56,1179.0,0,0,60
288,Jalen McDaniels,CHA,24,55,34,21,895,340,123,254,48.4,41,108,38.0,53,72,73.6,37,133,170,58,36,26,22,93,739.0,1,0,46
288,James Johnson,BKN,35,62,30,32,1191,340,144,307,46.9,23,85,27.1,29,55,52.7,51,164,215,130,48,30,34,162,937.0,1,0,-59
288,Ty Jerome,OKC,24,48,15,33,801,340,124,328,37.8,54,186,29.0,38,47,80.9,19,59,78,109,37,30,5,73,665.1,0,0,-7
291,CJ Elleby,POR,21,58,17,41,1174,339,121,308,39.3,37,126,29.4,60,84,71.4,66,161,227,87,56,35,19,116,847.9,0,0,-348
292,Keita Bates-Diop,SAS,26,59,23,36,957,335,136,263,51.7,17,55,30.9,46,61,75.4,62,169,231,41,45,27,14,61,751.7,1,0,4
293,Eric Paschall,UTA,25,58,36,22,737,334,114,235,48.5,40,108,37.0,66,86,76.7,30,76,106,36,27,9,5,51,530.2,0,0,-29
293,George Hill,MIL,35,54,36,18,1253,334,118,275,42.9,41,134,30.6,57,62,91.9,38,117,155,120,41,42,6,70,803.0,0,0,313
293,Trey Murphy III,NOP,21,62,31,31,864,334,109,277,39.4,71,186,38.2,45,51,88.2,47,100,147,38,16,23,7,60,641.4,0,0,-1
296,Facundo Campazzo,DEN,31,65,38,27,1184,332,107,296,36.1,58,193,30.1,60,78,76.9,23,94,117,220,67,63,23,124,993.4,2,0,-212
297,Jose Alvarado,NOP,24,54,25,29,834,330,131,294,44.6,32,110,29.1,36,53,67.9,25,75,100,152,40,71,7,73,872.0,1,0,143
298,Josh Jackson,SAC,25,51,12,39,830,328,120,300,40.0,33,130,25.4,55,77,71.4,21,120,141,54,47,26,22,88,675.2,0,0,-156
299,Joe Ingles,POR,34,45,28,17,1122,325,115,285,40.4,78,225,34.7,17,22,77.3,12,119,131,158,46,23,5,82,757.2,0,0,186
300,Thaddeus Young,TOR,33,52,27,25,845,322,141,272,51.8,17,48,35.4,23,49,46.9,80,128,208,104,52,54,18,81,891.6,0,0,20
301,Larry Nance Jr.,NOP,29,46,19,27,1040,321,129,247,52.2,23,70,32.9,40,57,70.2,72,176,248,81,37,43,20,84,892.1,0,0,-60
302,Stanley Johnson,LAL,25,48,16,32,1094,320,117,251,46.6,33,105,31.4,53,74,71.6,34,121,155,80,35,43,14,109,762.0,0,0,-49
303,Josh Green,DAL,21,67,44,23,1039,319,130,256,50.8,28,78,35.9,31,45,68.9,52,109,161,79,44,45,14,115,763.7,1,0,70
304,Terry Taylor,IND,22,33,7,26,714,318,135,220,61.4,12,38,31.6,36,51,70.6,95,77,172,41,23,14,8,61,628.9,2,0,-114
305,Naji Marshall,NOP,24,55,23,32,736,313,109,269,40.5,21,105,20.0,74,93,79.6,38,104,142,62,46,33,8,69,653.4,1,0,-49
306,Davis Bertans,DAL,29,56,32,24,806,311,99,275,36.0,77,230,33.5,36,40,90.0,12,105,117,31,19,17,12,85,565.9,0,0,30
306,Derrick Rose,NYK,33,26,11,15,636,311,122,274,44.5,37,92,40.2,30,31,96.8,21,57,78,103,39,22,12,15,622.1,0,0,92
306,Terence Davis,SAC,24,30,11,19,536,311,113,267,42.3,49,149,32.9,36,44,81.8,11,83,94,40,33,25,11,70,558.8,0,0,60
309,Brandon Williams,POR,22,24,2,22,640,309,105,282,37.2,31,106,29.2,68,97,70.1,19,55,74,94,58,24,10,52,582.8,2,0,-272
309,Garrett Temple,NOP,35,59,23,36,1098,309,111,295,37.6,59,185,31.9,28,41,68.3,29,114,143,74,42,43,23,81,747.6,0,0,-326
311,Alex Caruso,CHI,28,41,24,17,1147,304,102,256,39.8,42,126,33.3,58,73,79.5,33,115,148,165,57,71,15,106,930.1,1,0,110
312,Omer Yurtseven,MIA,23,56,39,17,706,299,130,247,52.6,1,11,9.1,38,61,62.3,85,209,294,49,41,17,20,84,795.3,8,0,63
313,Juan Toscano-Anderson,GSW,29,73,51,22,994,298,115,235,48.9,28,87,32.2,40,70,57.1,28,148,176,127,68,48,17,115,826.7,0,0,46
314,Isaiah Jackson,IND,20,36,9,27,541,297,116,206,56.3,5,16,31.3,60,88,68.2,60,89,149,10,40,25,52,92,681.8,3,0,-39
315,D.J. Augustin,LAL,34,55,15,40,883,294,94,222,42.3,68,164,41.5,38,43,88.4,11,57,68,107,56,17,1,39,534.1,0,0,-177
316,Armoni Brooks,TOR,23,54,20,34,844,288,98,289,33.9,74,249,29.7,18,21,85.7,20,83,103,62,27,28,11,74,594.6,0,0,-80
316,Joshua Primo,SAS,19,50,22,28,965,288,101,270,37.4,42,137,30.7,44,59,74.6,32,81,113,81,57,20,23,79,617.1,0,0,-81
318,Wayne Ellington,LAL,34,43,15,28,810,287,98,237,41.4,82,211,38.9,9,11,81.8,10,67,77,30,19,23,5,42,489.4,0,0,-59
319,Derrick Jones Jr.,CHI,25,51,28,23,899,286,105,195,53.8,20,61,32.8,56,70,80.0,60,109,169,30,30,25,33,105,677.8,0,0,41
320,DeAndre' Bembry,MIL,27,56,31,25,1026,284,124,221,56.1,15,36,41.7,21,35,60.0,42,121,163,66,31,49,25,113,769.6,0,0,-27
320,Kessler Edwards,BKN,21,48,22,26,987,284,110,267,41.2,48,136,35.3,16,19,84.2,44,128,172,31,42,29,24,85,653.9,1,0,-60
322,Troy Brown Jr.,CHI,22,66,37,29,1055,283,108,258,41.9,47,133,35.3,20,26,76.9,39,164,203,66,26,36,5,62,722.6,1,0,-44
323,Jevon Carter,MIL,26,66,39,27,905,277,98,253,38.7,66,170,38.8,15,18,83.3,14,96,110,96,34,24,14,67,633.0,0,0,-53
324,Quentin Grimes,NYK,21,46,21,25,786,275,95,235,40.4,72,189,38.1,13,19,68.4,24,70,94,44,28,31,11,72,551.8,0,0,-54
325,Justise Winslow,POR,26,48,24,24,775,274,110,257,42.8,15,66,22.7,39,66,59.1,50,152,202,84,49,35,25,67,773.4,2,0,28
326,Rodney McGruder,DET,30,51,13,38,754,273,98,225,43.6,58,146,39.7,19,26,73.1,31,80,111,48,24,21,7,58,538.2,0,0,-56
327,Zeke Nnaji,DEN,21,41,24,17,698,270,96,186,51.6,37,80,46.3,41,65,63.1,56,91,147,17,23,16,13,79,535.9,0,0,-45
328,Dean Wade,CLE,25,51,27,24,980,269,99,217,45.6,51,142,35.9,20,30,66.7,31,119,150,52,16,29,7,88,619.0,1,0,37
329,Keon Johnson,POR,20,37,8,29,696,267,96,272,35.3,34,100,34.0,41,51,80.4,24,57,81,76,46,28,12,69,552.2,0,0,-287
330,Jock Landale,SAS,26,54,24,30,589,265,101,204,49.5,29,89,32.6,34,41,82.9,63,75,138,45,31,10,14,53,539.1,1,0,-17
331,Svi Mykhailiuk,TOR,24,56,29,27,716,255,91,234,38.9,41,134,30.6,32,37,86.5,20,72,92,45,32,26,4,54,490.9,0,0,-78
332,Robin Lopez,ORL,34,36,9,27,612,254,110,199,55.3,2,6,33.3,32,54,59.3,68,58,126,54,44,2,18,67,502.2,3,0,-65
333,Xavier Tillman,MEM,23,53,35,18,701,252,98,216,45.4,10,49,20.4,46,71,64.8,66,95,161,62,34,49,15,63,696.2,0,0,-26
334,Wesley Matthews,MIL,35,49,33,16,1002,249,87,220,39.5,53,157,33.8,22,28,78.6,30,62,92,36,18,23,8,87,488.4,0,0,139
335,Danuel House Jr.,UTA,28,42,18,24,727,248,80,198,40.4,44,117,37.6,44,58,75.9,18,93,111,44,33,21,17,51,528.2,0,0,62
336,Khem Birch,TOR,29,55,34,21,991,247,97,200,48.5,0,14,0.0,53,71,74.6,122,117,239,56,29,30,26,104,756.8,0,0,21
337,Frank Ntilikina,DAL,23,58,34,24,685,240,89,223,39.9,38,111,34.2,24,25,96.0,12,67,79,69,31,27,7,61,509.3,0,0,63
338,Alex Len,SAC,28,39,17,22,620,235,94,176,53.4,6,21,28.6,41,63,65.1,52,109,161,45,43,13,25,100,566.7,2,0,-76
339,David Nwaba,HOU,29,46,6,40,609,233,85,176,48.3,15,49,30.6,48,67,71.6,41,110,151,35,21,28,20,55,589.7,0,0,-117
339,Jordan McLaughlin,MIN,26,62,36,26,902,233,88,200,44.0,27,85,31.8,30,40,75.0,22,72,94,180,38,57,10,54,778.8,1,0,37
341,T.J. McConnell,IND,30,27,9,18,652,229,100,208,48.1,10,33,30.3,19,23,82.6,20,70,90,131,29,29,10,53,621.5,1,0,-74
341,Taj Gibson,NYK,36,52,24,28,946,229,86,166,51.8,15,38,39.5,42,52,80.8,88,141,229,32,27,22,40,137,710.8,0,0,43
343,Moses Moody,GSW,19,52,35,17,607,228,80,183,43.7,40,110,36.4,28,36,77.8,17,63,80,23,13,7,10,43,396.5,0,0,-42
344,Timothe Luwawu-Cabarrot,ATL,26,52,30,22,685,227,74,186,39.8,44,122,36.1,35,41,85.4,17,65,82,40,20,18,6,76,437.4,0,0,-51
345,Greg Brown III,POR,20,48,14,34,640,225,81,190,42.6,19,61,31.1,44,65,67.7,38,97,135,35,36,26,24,90,553.5,0,0,-241
346,Romeo Langford,SAS,22,48,24,24,771,218,83,191,43.5,29,85,34.1,23,42,54.8,30,78,108,21,16,22,16,47,477.1,0,0,5
346,Zach Collins,SAS,24,28,14,14,502,218,76,155,49.0,14,41,34.1,52,65,80.0,46,107,153,61,45,13,23,67,556.1,1,0,38
348,Maurice Harkless,SAC,28,47,15,32,863,217,83,181,45.9,31,101,30.7,20,28,71.4,12,100,112,23,31,29,24,77,513.9,1,0,-90
349,Trey Burke,DAL,29,42,24,18,441,214,84,215,39.1,26,82,31.7,20,23,87.0,4,29,33,57,26,12,0,39,349.1,0,0,-10
350,Bismack Biyombo,PHX,29,36,30,6,506,210,86,145,59.3,0,0,0.0,38,71,53.5,63,104,167,23,25,12,26,70,533.9,6,0,52
350,Ignas Brazdeikis,ORL,23,42,9,33,536,210,81,188,43.1,27,87,31.0,21,32,65.6,23,49,72,37,17,10,3,48,373.9,0,0,-173
352,Davon Reed,DEN,26,48,29,19,668,209,81,161,50.3,37,86,43.0,10,15,66.7,14,94,108,53,16,24,9,63,501.1,0,0,-26
353,Saben Lee,DET,22,37,8,29,604,208,69,177,39.0,14,60,23.3,56,71,78.9,18,69,87,107,36,36,12,44,580.9,1,0,-80
354,DeAndre Jordan,PHI,33,48,26,22,622,206,92,143,64.3,0,0,0.0,22,40,55.0,83,181,264,21,37,12,35,71,658.3,0,0,-147
354,Dennis Smith Jr.,POR,24,37,15,22,639,206,79,189,41.8,6,27,22.2,42,64,65.6,20,68,88,132,51,45,12,52,629.6,0,0,-138
354,Derrick Favors,OKC,30,39,15,24,652,206,94,182,51.6,2,16,12.5,16,25,64.0,58,126,184,25,9,17,12,62,542.3,1,0,-143
357,Dalano Banton,TOR,22,64,37,27,696,205,83,202,41.1,13,51,25.5,26,44,59.1,38,86,124,99,53,28,10,68,563.3,0,0,34
358,Thomas Bryant,WAS,24,27,8,19,439,201,77,148,52.0,12,42,28.6,35,40,87.5,26,82,108,23,19,6,21,43,427.1,0,0,-75
359,Lindy Waters III,OKC,24,25,6,19,465,199,71,175,40.6,53,146,36.3,4,5,80.0,6,67,73,24,11,19,8,31,392.6,0,0,-39
360,Day'Ron Sharpe,BKN,20,32,12,20,391,198,86,149,57.7,2,7,28.6,24,41,58.5,81,79,160,17,30,10,15,60,460.5,2,0,57
360,Isaiah Joe,PHI,22,55,35,20,609,198,62,177,35.0,45,135,33.3,29,31,93.5,6,50,56,35,19,14,3,47,349.7,0,0,23
360,Tomas Satoransky,WAS,30,55,21,34,906,198,72,191,37.7,11,53,20.8,43,54,79.6,27,99,126,184,46,29,5,71,681.2,1,0,-163
363,Aaron Nesmith,BOS,22,52,32,20,574,196,72,182,39.6,31,115,27.0,21,26,80.8,15,74,89,22,31,20,5,70,379.8,0,0,22
364,Markelle Fultz,ORL,23,18,6,12,360,195,83,175,47.4,4,17,23.5,25,31,80.6,4,45,49,99,40,20,5,22,437.3,1,0,-37
364,Trent Forrest,UTA,23,60,36,24,766,195,76,155,49.0,5,27,18.5,38,48,79.2,23,76,99,106,48,30,6,43,532.8,0,0,78
366,Malachi Flynn,TOR,23,44,25,19,537,189,72,183,39.3,30,90,33.3,15,24,62.5,10,53,63,70,13,20,4,45,428.6,0,0,-26
367,Tony Snell,NOP,30,53,19,34,822,187,69,171,40.4,45,128,35.2,4,4,100,16,87,103,28,19,16,9,70,408.6,0,0,-117
367,Vit Krejci,OKC,21,30,8,22,690,187,68,167,40.7,32,98,32.7,19,22,86.4,18,83,101,57,29,19,8,65,445.7,1,0,-179
369,Luka Garza,DET,23,32,3,29,389,186,66,147,44.9,16,49,32.7,38,61,62.3,58,42,100,20,18,9,6,55,363.0,2,0,-63
369,Rajon Rondo,CLE,36,39,16,23,698,186,68,176,38.6,31,88,35.2,19,26,73.1,15,93,108,170,68,30,6,56,610.6,1,0,-110
371,Isaiah Thomas,CHA,33,22,12,10,333,184,67,167,40.1,28,83,33.7,22,26,84.6,4,25,29,34,15,7,5,34,290.8,0,0,-10
372,Anthony Gill,WAS,29,44,15,29,463,180,62,109,56.9,14,26,53.8,42,52,80.8,33,52,85,27,18,5,11,58,352.5,0,0,60
372,Keifer Sykes,IND,28,32,6,26,566,180,69,190,36.3,27,90,30.0,15,17,88.2,8,37,45,62,33,12,4,51,342.0,0,0,-69
374,Collin Sexton,CLE,23,11,7,4,316,176,68,151,45.0,11,45,24.4,29,39,74.4,13,23,36,23,31,10,0,25,252.7,0,0,-30
375,Brandon Goodwin,CLE,26,36,19,17,502,171,64,154,41.6,19,55,34.5,24,38,63.2,14,53,67,91,36,25,1,39,429.9,1,0,-53
375,Kelan Martin,BOS,26,30,14,16,450,171,70,171,40.9,22,75,29.3,9,13,69.2,17,38,55,21,14,13,9,36,320.5,0,0,-53
375,Moses Brown,CLE,22,40,19,21,344,171,64,108,59.3,0,0,0.0,43,72,59.7,39,96,135,1,20,7,16,53,383.5,3,0,-49
375,Thanasis Antetokounmpo,MIL,29,48,26,22,473,171,70,128,54.7,2,14,14.3,29,46,63.0,40,61,101,22,26,16,12,68,383.2,0,0,-115
379,Rodney Hood,LAC,29,52,30,22,709,163,58,157,36.9,30,91,33.0,17,19,89.5,15,62,77,38,11,15,6,31,364.4,0,0,9
379,Tony Bradley,CHI,24,55,28,27,549,163,72,123,58.5,0,0,0.0,19,29,65.5,67,119,186,27,34,10,33,62,521.7,0,0,70
379,Yuta Watanabe,TOR,27,38,21,17,445,163,56,138,40.6,27,79,34.2,24,40,60.0,18,74,92,21,19,11,16,38,366.9,2,0,-54
382,Brook Lopez,MIL,34,13,10,3,298,161,61,131,46.6,19,53,35.8,20,23,87.0,19,34,53,6,12,8,15,34,290.6,0,0,-7
382,Jared Butler,UTA,21,42,31,11,360,161,61,151,40.4,28,88,31.8,11,16,68.8,5,40,45,63,33,17,8,47,351.5,0,0,-11
382,Matt Thomas,CHI,27,40,23,17,460,161,55,134,41.0,35,91,38.5,16,20,80.0,3,47,50,20,8,8,3,18,276.0,0,0,32
385,Sterling Brown,DAL,27,49,31,18,628,160,59,155,38.1,28,92,30.4,14,15,93.3,26,123,149,34,23,14,7,56,429.8,2,0,32
386,Joe Harris,BKN,30,14,10,4,423,158,56,124,45.2,41,88,46.6,5,6,83.3,5,51,56,14,16,7,2,31,257.2,0,0,16
387,Goran Dragic,BKN,35,21,10,11,497,157,57,151,37.7,16,63,25.4,27,33,81.8,13,52,65,86,34,19,4,45,399.0,0,0,6
388,Gorgui Dieng,ATL,32,44,23,21,371,154,53,112,47.3,29,68,42.6,19,26,73.1,32,89,121,34,20,11,13,52,402.2,0,0,-63
388,Marquese Chriss,DAL,24,34,24,10,346,154,62,134,46.3,8,25,32.0,22,33,66.7,33,70,103,17,17,13,12,64,361.1,0,0,-10
388,Sandro Mamukelashvili,MIL,22,41,22,19,407,154,57,115,49.6,22,52,42.3,18,22,81.8,35,47,82,22,15,9,9,28,324.4,1,0,-145
391,Olivier Sarr,OKC,23,22,6,16,421,153,58,101,57.4,13,29,44.8,24,29,82.8,34,59,93,19,22,6,15,52,334.1,1,0,-28
391,Patrick Williams,CHI,20,17,9,8,422,153,54,102,52.9,15,29,51.7,30,41,73.2,17,52,69,15,16,9,9,28,296.3,1,0,-56
393,Elfrid Payton,PHX,28,50,39,11,549,150,67,175,38.3,4,18,22.2,12,32,37.5,21,67,88,99,47,25,6,38,450.1,0,0,-43
393,Nick Richards,CHA,24,50,25,25,367,150,60,90,66.7,0,0,0.0,30,43,69.8,34,52,86,13,24,9,21,51,338.7,0,0,-109
395,Admiral Schofield,ORL,25,38,10,28,469,146,54,129,41.9,26,79,32.9,12,15,80.0,17,72,89,25,21,4,5,58,296.3,0,0,-128
396,James Bouknight,CHA,21,31,15,16,304,142,49,141,34.8,17,49,34.7,27,31,87.1,22,30,52,26,15,7,1,29,252.4,0,0,-50
397,Kira Lewis Jr.,NOP,21,24,6,18,341,141,59,146,40.4,13,58,22.4,10,12,83.3,9,30,39,49,26,11,1,17,271.3,0,0,-107
397,Wenyen Gabriel,LAL,25,26,8,18,359,141,54,110,49.1,8,28,28.6,25,42,59.5,39,58,97,14,16,5,11,68,310.4,1,0,44
399,Cody Zeller,POR,29,27,13,14,355,140,51,90,56.7,0,4,0.0,38,49,77.6,50,75,125,22,19,8,6,56,346.0,0,0,-28
400,Nathan Knight,MIN,24,37,22,15,267,138,45,88,51.1,4,13,30.8,44,60,73.3,32,53,85,22,18,7,8,42,300.0,1,0,22
