Timestamp,Please indicate your age range.,Please indicate your gender.,Please indicate your race.,How many years have you been working in education?,Which option best describes your role in your school?,In what division do you work?,In what state is your school located?,How would you describe your school?,How much autonomy do you have in your job?,Know Yourself,Understand Emotions,Tell Empowering Stories,Build Community,Be Here Now,Take Care of Yourself,Focus on the Bright Spots,Cultivate Compassion,Be a Learner,Play and Create,Ride the Waves of Change,Celebrate and Appreciate,Purposefulness,Acceptance,Optimism,Empathy,Humor,Positive Self-Perception ,Empowerment ,Perspective,Curiosity,Courage,Perseverance ,Trust 
9/9/2019 12:09:46,25 - 29,Female,White,5 - 9 years,Administrator,Lower School,AZ,4,3,5,5,4,5,2,3,2,4,4,5,3,4,4,4,2,5,5,2,2,5,5,2,3,2
9/9/2019 15:04:08,50 - 54,Female,White,25 - 29 years,Teacher,Middle School,MA,4,4,5,5,5,4,4,3,3,4,4,4,4,5,5,4,3,5,3,2,3,4,4,3,3,3
9/9/2019 17:59:26,60 - 64,Female,White,25 - 29 years,Teacher,Lower School,AZ,3,3,4,5,4,4,4,4,4,5,5,4,4,5,5,4,5,5,5,3,4,4,5,4,4,5
9/9/2019 19:25:18,50 - 54,Female,White,25 - 29 years,Teacher,Lower School,AZ,4,3,5,4,4,5,4,4,5,4,5,5,4,5,5,4,5,4,5,4,4,4,4,4,4,5
9/9/2019 22:44:40,50 - 54,Female,White,25 - 29 years,Administrator,Middle School,CA,1,3,4,4,4,3,3,5,3,3,3,2,2,2,4,3,3,4,4,2,3,4,3,3,4,4
9/10/2019 9:23:24,35 - 39,Female,White,15 - 19 years,Teacher,Early Childhood,AZ,4,3,5,4,4,4,5,4,5,5,5,5,4,4,4,4,5,4,4,5,4,4,5,4,5,4
9/10/2019 10:30:00,60 - 64,Female,White,20 - 24 years,Teacher,Middle School,,4,4,5,5,5,5,4,4,5,5,5,5,4,5,4,4,4,5,4,4,5,5,5,5,4,4
9/10/2019 15:20:32,35 - 39,Female,White,10 - 14 years,Teacher,Lower School,AZ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5
9/10/2019 15:22:33,25 - 29,Female,White,0 - 4 years,Teacher,Lower School,AZ,4,4,5,4,4,5,4,5,4,5,5,5,4,5,5,4,4,5,5,4,5,4,5,5,5,5
9/10/2019 16:09:29,30 - 34,Female,Bi/Multiracial,0 - 4 years,Teacher,Lower School,AZ,4,4,4,4,4,3,4,4,4,5,5,4,3,4,4,4,4,5,4,3,4,4,4,3,3,4
