PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,CONFERENCE
Jonathon Simmons,PHI,29,56,25,31,19,6.5,2.4,6.3,38,0.5,1.9,26.9,1.3,1.7,74.2,0.5,1.8,2.3,2.3,1.2,0.5,0.3,1.6,13.8,0,0,-2.6,EAST
Billy Garrett,NYK,24,4,1,3,15.9,6.5,2.8,6.8,40.7,0,2,0,1,1,100,0,0.8,0.8,1.8,0.5,0.3,0.3,0.8,11,0,0,-4,EAST
Shaquille Harrison,CHI,25,73,20,53,19.6,6.5,2.5,5.8,43.2,0.3,1.2,27,1.1,1.7,66.7,0.5,2.6,3,1.9,0.8,1.2,0.4,1.7,17.1,1,0,-4.3,EAST
Sterling Brown,MIL,24,58,45,13,17.8,6.4,2.5,5.4,46.5,0.9,2.5,36.1,0.5,0.7,69,0.5,2.7,3.2,1.4,0.8,0.4,0.1,1.5,13.3,0,0,0,EAST
Jodie Meeks,TOR,31,8,7,1,13,6.4,2.6,4.9,53.8,1,2.3,44.4,0.1,0.1,100,0.1,1.4,1.5,1,0.3,0.1,0.1,0.6,10.2,0,0,1.6,EAST
T.J. McConnell,PHI,27,76,46,30,19.3,6.4,2.9,5.5,52.5,0.2,0.6,33.3,0.4,0.5,78.4,0.4,1.9,2.3,3.4,1.2,1,0.2,1.4,16.8,0,0,-0.1,EAST
Cameron Payne,CLE,24,40,7,33,17.8,6.3,2.4,5.6,43,0.6,2.1,29.8,0.8,1,80.5,0.3,1.5,1.8,2.7,1.1,0.7,0.2,1.6,14,0,0,-5.6,EAST
Tim Frazier,MIL,28,12,8,4,17.6,6.3,2.3,5.5,42.4,0.8,2,41.7,0.8,1.1,69.2,0.8,1.8,2.6,3.5,1.3,0.4,0.1,1.6,14.8,2,0,-3.3,EAST
Mo Bamba,ORL,21,47,19,28,16.3,6.2,2.5,5.2,48.1,0.4,1.5,30,0.8,1.3,58.7,1.4,3.6,5,0.8,0.9,0.3,1.4,2.2,17.4,1,0,-5.1,EAST
Sam Dekker,WAS,25,47,14,33,16.8,6.1,2.6,5.4,46.9,0.4,1.3,30.6,0.6,1,60.9,1.1,2,3.1,1,0.5,0.8,0.1,1,13.7,0,0,-1.9,EAST
Henry Ellenson,NYK,22,19,4,15,13.6,6,2.1,5,41.1,0.9,2,44.7,1,1.3,76,0.3,3.2,3.5,0.8,0.5,0.4,0.1,1.4,12.4,0,0,-0.5,EAST
Tony Snell,MIL,27,74,55,19,17.6,6,2.2,4.9,45.2,1.1,2.8,39.7,0.5,0.6,88.1,0.4,1.7,2.1,0.9,0.3,0.4,0.2,1.2,11.4,0,0,2.3,EAST
Jordan McRae,WAS,28,27,9,18,12.3,5.9,2.3,4.8,46.9,0.4,1.3,28.6,1,1.3,80,0.2,1.3,1.5,1.1,0.6,0.5,0.3,1,11,0,0,-0.8,EAST
Omari Spellman,ATL,21,46,15,31,17.5,5.9,2.1,5.3,40.2,1,2.8,34.4,0.7,1,71.1,1.6,2.7,4.2,1,0.7,0.6,0.5,1.5,15.2,4,0,-4.4,EAST
Aaron Holiday,IND,22,50,31,19,12.9,5.9,2.1,5.2,40.1,0.9,2.5,33.9,0.8,1,82,0.1,1.2,1.3,1.7,0.8,0.4,0.3,1.4,11.3,0,0,2,EAST
Matthew Dellavedova,CLE,28,48,20,28,16.9,5.9,2,5,40.5,0.9,2.7,33.8,0.9,1.1,80.8,0.1,1.5,1.6,3.8,1.4,0.3,0,1.6,13,0,0,-1.3,EAST
D.J. Wilson,MIL,23,48,37,11,18.4,5.8,2.2,5.2,41.4,1,2.6,36.2,0.5,1,55.3,0.9,3.7,4.6,1.1,0.7,0.4,0.4,1.8,14.7,2,0,1.7,EAST
Ed Davis,BKN,30,81,42,39,17.9,5.8,2.3,3.7,61.6,0,0,0,1.2,2,61.7,2.7,5.9,8.6,0.8,0.8,0.4,0.4,2.8,19,6,0,1.2,EAST
Furkan Korkmaz,PHI,21,48,30,18,14.2,5.8,2,5.1,40,1,3,32.6,0.8,0.9,81.8,0.3,1.9,2.2,1.1,0.5,0.6,0,1.3,11.5,0,0,1.3,EAST
Frank Ntilikina,NYK,20,43,9,34,21,5.7,2.2,6.6,33.7,0.8,2.7,28.7,0.5,0.7,76.7,0.3,1.7,2,2.8,1.3,0.7,0.3,2.4,14.1,0,0,-4.3,EAST
Daniel Theis,BOS,27,66,38,28,13.8,5.7,2.2,4,54.9,0.4,1,38.8,0.8,1.2,73.7,1.3,2.1,3.4,1,0.5,0.3,0.6,2.4,13.7,1,0,2,EAST
Marquese Chriss,CLE,21,27,8,19,14.6,5.7,2.1,5.4,38.4,0.6,2.1,26.3,1,1.4,68.4,1.2,3,4.2,0.6,0.9,0.6,0.3,2.4,13.2,1,0,-5.5,EAST
John Henson,CLE,28,14,10,4,13.5,5.6,2.2,4.8,46.3,0.8,2.2,35.5,0.4,0.7,60,1.1,3.9,5.1,1,0.9,0.5,0.8,1.1,16.2,0,0,0.1,EAST
Aron Baynes,BOS,32,51,32,19,16.1,5.6,2.1,4.4,47.1,0.4,1.2,34.4,1,1.2,85.5,1.7,3,4.7,1.1,0.8,0.2,0.7,2.5,14.8,3,0,2.5,EAST
Chasson Randle,WAS,26,49,19,30,15.2,5.5,1.9,4.4,41.9,0.9,2.3,40,0.9,1.3,69.4,0.2,0.9,1.1,2,0.9,0.5,0.1,1.9,10.7,0,0,-2.2,EAST
Nik Stauskas,CLE,25,24,7,17,14.2,5.5,1.7,4.5,36.7,1.1,2.6,42.9,1,1.2,89.3,0.3,1.6,2,0.8,0.5,0.3,0.1,0.8,9.8,0,0,-3.8,EAST
CJ Miles,MEM,32,40,28,12,14.1,5.5,1.8,5.2,34,1.1,3.4,31.4,0.9,1.1,79.5,0.3,1.4,1.7,0.6,0.5,0.5,0.3,1.6,9.9,0,0,-2.5,EAST
Michael Carter-Williams,ORL,27,12,10,2,18.9,5.4,1.8,5.2,33.9,0.3,1.6,15.8,1.7,2.3,74.1,1.3,3.4,4.8,4.1,0.8,0.9,0.8,1.8,21.4,0,0,5.6,EAST
Greg Monroe,PHI,29,43,28,15,11.2,5.3,2.1,4.4,48.7,0,0.1,20,1,1.7,62.5,1.6,2.4,4,0.6,0.7,0.3,0.2,1.5,11.8,0,0,-1.7,EAST
James Ennis III,PHI,28,18,12,6,15.6,5.3,1.9,4.6,41,0.6,2,30.6,0.9,1.3,69.6,1.3,2.3,3.6,0.8,0.6,0.2,0.4,2.2,11.8,0,0,-0.7,EAST
Treveon Graham,BKN,25,35,19,16,20.4,5.3,1.8,5.5,33.5,1.1,3.7,29.7,0.5,0.6,81.8,0.7,2.4,3.1,1,0.5,0.4,0.2,1.9,11.6,0,0,0.8,EAST
Chandler Hutchison,CHI,23,44,10,34,20.3,5.2,2.2,4.8,45.9,0.3,1.1,28,0.5,0.9,60.5,0.7,3.5,4.2,0.8,0.6,0.5,0.1,1.3,12.8,1,0,-2.6,EAST
Alex Poythress,ATL,25,21,7,14,14.5,5.1,1.9,3.9,49.4,0.4,1.1,39.1,0.9,1.4,62.1,1.4,2.2,3.6,0.8,0.6,0.2,0.5,2.2,12,0,0,-3.6,EAST
Kenneth Faried,HOU,29,12,3,9,9.8,5.1,2.1,3.5,59.5,0.1,0.4,20,0.8,1.3,62.5,1.3,2.4,3.7,0.2,0.5,0.2,0.3,0.7,10.7,2,0,-1.7,EAST
Brandon Sampson,CHI,22,14,3,11,15.3,5.1,2,4.3,46.7,0.8,2.1,37.9,0.3,0.4,66.7,0.2,0.9,1.1,0.7,0.9,0.6,0.2,1.4,9,0,0,-2,EAST
Jalen Jones,CLE,26,16,3,13,13.4,5.1,1.6,3.9,41.9,0.6,1.8,35.7,1.2,1.7,70.4,0.7,1.4,2.1,0.4,0.5,0.6,0.1,1.7,9.8,0,0,-1.6,EAST
Thon Maker,DET,22,64,44,20,15.2,5,1.7,4.2,40.7,0.8,2.4,32,0.9,1.3,66.7,0.6,2.5,3.2,0.7,0.5,0.3,0.8,1.6,12.7,0,0,-0.1,EAST
Wes Iwundu,ORL,24,68,36,32,18.1,5,1.7,4,41.2,0.4,1.2,36.7,1.2,1.5,81.6,0.5,2.2,2.7,1.1,0.6,0.4,0.3,1.8,11.4,0,0,0.5,EAST
Bonzie Colson,MIL,23,8,6,2,12.3,4.9,1.6,4.9,33.3,0.6,2.6,23.8,1,1.1,88.9,1,2.8,3.8,0.4,0.4,0.6,0.1,0.4,11.8,2,0,-2.8,EAST
Jared Dudley,BKN,33,59,28,31,20.7,4.9,1.7,4.1,42.3,0.9,2.6,35.1,0.5,0.8,69.6,0.6,2.1,2.6,1.4,0.7,0.6,0.3,2.2,12,0,0,0.6,EAST
Donte DiVincenzo,MIL,22,27,20,7,15.2,4.9,1.9,4.6,40.3,0.8,3.1,26.5,0.3,0.4,75,0.6,1.8,2.4,1.1,0.7,0.5,0.2,1.4,10.9,0,0,4,EAST
Khem Birch,ORL,26,50,26,24,12.9,4.8,1.8,3,60.3,0,0,0,1.2,1.7,69.9,1.6,2.2,3.8,0.8,0.4,0.4,0.6,1.4,12.9,1,0,0.9,EAST
Troy Brown Jr.,WAS,19,52,20,32,14,4.8,1.9,4.5,41.5,0.4,1.3,31.9,0.6,0.9,68.1,0.7,2.1,2.8,1.5,0.6,0.4,0.1,1.1,11.3,0,0,0,EAST
Devonte' Graham,CHA,24,46,18,28,14.7,4.7,1.6,4.7,34.3,0.7,2.6,28.1,0.8,1,76.1,0.2,1.2,1.4,2.6,0.7,0.5,0,1,11.3,0,0,-2.2,EAST
Jonah Bolden,PHI,23,44,24,20,14.5,4.7,1.8,3.7,49.4,0.8,2.2,35.4,0.3,0.6,48.1,1.1,2.7,3.8,0.9,0.8,0.4,0.9,2.3,13.6,1,0,-0.7,EAST
