PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,CONFERENCE
Jason Smith,NOP,33,18,10,8,9.5,3.2,1.1,2.8,38,0.4,1.1,36.8,0.7,0.8,85.7,0.8,1.9,2.7,0.7,0.7,0.2,0.4,1.5,8.5,0,0,-2.7,EAST
PJ Dozier,BOS,22,6,5,1,8.5,3.2,1.3,3.5,38.1,0.3,1.3,25,0.2,0.3,50,1,1.8,2.8,0.8,0,0.3,0,0.3,8.8,1,0,4.2,EAST
Daniel Hamilton,ATL,23,19,7,12,10.7,3,1.2,3.2,38.3,0.4,1.2,34.8,0.2,0.3,50,0.5,1.9,2.5,1.2,0.8,0.3,0.1,1,8,0,0,-1.4,EAST
Isaac Humphries,ATL,21,5,1,4,11.3,3,1.2,4.2,28.6,0.6,2.2,27.3,0,0,0,0.8,1.4,2.2,0,0,0.2,0,1.4,6.2,0,0,-4.4,EAST
J.P. Macura,CHA,24,2,1,1,8.4,3,1.5,4.5,33.3,0,2,0,0,0,0,0,1.5,1.5,1,0,0,0,0,6.3,0,0,0.5,EAST
Jordan Sibert,ATL,26,1,1,0,4.2,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-5,EAST
Edmond Sumner,IND,23,23,14,9,9.1,2.9,1,2.8,34.4,0.3,1.2,25.9,0.7,1,62.5,0.4,0.7,1,0.4,0.4,0.5,0.2,1.1,6.6,0,0,-1.4,EAST
Christian Wood,NOP,23,13,11,2,4.7,2.8,0.9,1.9,48,0.2,0.4,60,0.8,1.2,66.7,0.3,1.2,1.5,0.2,0.2,0,0,0.2,4.7,0,0,-1.9,EAST
Wesley Johnson,WAS,31,12,5,7,13.1,2.8,0.8,3.3,25,0.5,2.2,23.1,0.6,0.8,70,0.2,1.3,1.5,0.6,0.5,0.2,0.4,1.5,6.7,0,0,-0.4,EAST
Jarell Martin,ORL,25,42,20,22,7.8,2.7,1,2.5,41.3,0.5,1.4,35.1,0.2,0.3,81.8,0.3,1.5,1.7,0.4,0.3,0.1,0.2,1.2,6,0,0,0.7,EAST
Patrick McCaw,TOR,23,29,17,12,13.7,2.6,0.9,2.2,41.3,0.3,1,32.1,0.4,0.5,86.7,0.2,1.4,1.7,1,0.6,0.8,0.1,1.3,8,0,0,-2.1,EAST
Robert Williams III,BOS,21,32,18,14,8.8,2.5,1.1,1.6,70.6,0,0,0,0.3,0.5,60,0.8,1.7,2.5,0.2,0.3,0.3,1.3,1.1,10.2,0,0,-1.6,EAST
Jaylen Morris,MIL,23,4,4,0,7.1,2.5,1,2.5,40,0.3,0.8,33.3,0.3,0.5,50,0,1.3,1.3,1,0.3,0.5,0,0.3,6.8,0,0,3,EAST
Troy Caupain,ORL,23,4,3,1,3.9,2.5,1,2,50,0.5,0.8,66.7,0,0,0,0.3,0.5,0.8,1,0,0.3,0,0,5.7,0,0,2,EAST
Udonis Haslem,MIA,39,10,8,2,7.5,2.5,1.1,3.3,33.3,0,1.2,0,0.3,0.4,75,0.3,2.4,2.7,0.2,0.3,0,0,0.9,5.7,1,0,-3.2,EAST
Jordan Loyd,TOR,25,12,11,1,4.6,2.4,0.7,1.5,44.4,0.3,0.7,50,0.8,0.9,81.8,0.1,0.7,0.8,0.5,0.2,0,0,0.4,3.9,0,0,-1.7,EAST
Khyri Thomas,DET,23,26,13,13,7.5,2.3,0.8,2.7,31.9,0.4,1.3,28.6,0.3,0.4,63.6,0.2,0.6,0.8,0.3,0.2,0.3,0.2,0.8,5,0,0,-1.3,EAST
Jose Calderon,DET,37,49,22,27,12.9,2.3,0.9,2.4,37.5,0.3,1.2,24.6,0.2,0.2,81.8,0.2,1,1.2,2.3,0.7,0.3,0.1,1.3,7.7,0,0,-3.5,EAST
Guerschon Yabusele,BOS,23,41,27,14,6.1,2.3,0.9,1.9,45.5,0.2,0.7,32.1,0.4,0.5,68.2,0.6,0.7,1.3,0.4,0.4,0.2,0.2,0.8,5.1,0,0,-0.4,EAST
Amile Jefferson,ORL,26,12,9,3,5.7,2.3,0.8,1.3,62.5,0,0,0,0.6,0.7,87.5,0.5,1.3,1.8,0.3,0.1,0.3,0.3,0.7,6.1,0,0,1.1,EAST
Shelvin Mack,CHA,29,4,0,4,10.6,2.3,0.5,3.5,14.3,0,0.5,0,1.3,2.3,55.6,0,0.5,0.5,0.3,1,0.5,0,0.8,3.7,0,0,-10,EAST
Lorenzo Brown,TOR,28,26,20,6,8.2,2.1,0.9,2.7,32.4,0.2,1.1,21.4,0.1,0.1,100,0.2,1,1.2,1.1,0.6,0.5,0.2,0.8,6.5,0,0,-1.3,EAST
Dzanan Musa,BKN,20,9,4,5,4.4,2.1,1,2.4,40.9,0.1,1.1,10,0,0.2,0,0.1,0.4,0.6,0.2,0.4,0.2,0,0.1,3.3,0,0,1.1,EAST
Joe Chealey,CHA,23,1,0,1,7.8,2,1,3,33.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.5,0,0,-3,EAST
Kalin Lucas,DET,30,1,0,1,5.6,2,0,1,0,0,1,0,2,2,100,0,3,3,1,0,0,0,1,7.1,0,0,-3,EAST
Svi Mykhailiuk,DET,22,3,2,1,6.6,2,0.7,2.7,25,0.7,1.3,50,0,0,0,0.3,0.3,0.7,1.3,0.3,0.3,0,0,5.5,0,0,-4,EAST
Haywood Highsmith,PHI,22,5,2,3,8,1.8,0.8,2,40,0.2,1,20,0,0.4,0,0,1,1,0.4,0.2,0.2,0,0.2,4,0,0,-4.6,EAST
Eric Moreland,TOR,27,4,3,1,9.6,1.8,0.8,1.8,42.9,0.3,0.3,100,0,0,0,1,3.3,4.3,1,1.3,0.3,0.3,2,8.6,0,0,-5,EAST
Deng Adel,CLE,22,19,4,15,10.2,1.7,0.6,1.9,30.6,0.3,1.2,26.1,0.2,0.2,100,0.2,0.8,1,0.3,0.3,0.1,0.2,0.7,3.8,0,0,-1.6,EAST
Justin Patton,PHI,22,3,2,1,6.9,1.7,0.7,2.3,28.6,0,0.7,0,0.3,0.7,50,0.7,1.3,2,1,0,0.7,0,1.7,7.6,0,0,-1,EAST
Trevon Duval,HOU,20,3,2,1,1.9,1.7,0.7,1,66.7,0.3,0.3,100,0,0,0,0,0.3,0.3,0.7,0,0,0,0,3.1,0,0,0.7,EAST
Isaiah Canaan,MIL,28,4,3,1,7.6,1.5,0.5,1.5,33.3,0.5,1.3,40,0,0,0,0.3,0.8,1,0.8,0.5,0,0.3,0.5,4.1,0,0,-6.3,EAST
Melvin Frazier Jr.,ORL,22,10,8,2,4.4,1.5,0.7,2.1,33.3,0,0.6,0,0.1,0.4,25,0.3,0.2,0.5,0.1,0.1,0.1,0,0.6,2.5,0,0,-0.9,EAST
Malachi Richardson,TOR,23,22,16,6,4.7,1.4,0.4,1.3,31,0.4,1.1,32,0.2,0.2,80,0.1,0.5,0.6,0,0.4,0,0,0.6,1.8,0,0,-0.5,EAST
Pau Gasol,MIL,38,3,1,2,10.1,1.3,0.3,2,16.7,0.3,1,33.3,0.3,0.7,50,0,3.3,3.3,0.7,0.7,0,0.3,0.3,6.7,0,0,-6,EAST
Davon Reed,IND,24,10,4,6,4.7,1.2,0.5,1.2,41.7,0.2,0.4,50,0,0,0,0.2,0.4,0.6,0.3,0.1,0.1,0,0.3,2.6,0,0,1.9,EAST
Emanuel Terry,MIA,22,1,0,1,3.3,1,0,1,0,0,0,0,1,2,50,1,0,1,1,0,0,0,0,3.7,0,0,1,EAST
Yante Maten,MIA,22,2,1,1,6.5,1,0.5,2,25,0,0.5,0,0,0,0,0.5,1,1.5,0,0,0.5,0,0,4.3,0,0,2,EAST
Ron Baker,WAS,26,15,4,11,10.1,0.9,0.3,1.3,20,0.1,0.9,7.7,0.3,0.4,83.3,0.1,0.7,0.7,1,0.3,0.4,0.1,1.2,4.4,0,0,-1.3,EAST
Alize Johnson,IND,23,14,9,5,4.6,0.9,0.3,1.1,25,0.1,0.1,50,0.3,0.6,50,0.3,1.1,1.4,0.1,0,0.1,0.2,0.5,3.5,0,0,0.1,EAST
Ryan Anderson,MIA,31,10,4,6,4.4,0.7,0.2,0.9,22.2,0.2,0.6,33.3,0.1,0.2,50,0.4,0.5,0.9,0.2,0.2,0.1,0,0.2,2.2,0,0,0.9,EAST
Ike Anigbogu,IND,20,3,2,1,2.1,0,0,1,0,0,0,0,0,0,0,0.3,0.7,1,0.3,0.3,0,0.3,0,2.4,0,0,-0.7,EAST
John Holland,CLE,30,1,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,EAST
Kobi Simmons,CLE,21,1,0,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,EAST
Okaro White,WAS,26,3,2,1,2.1,0,0,0.7,0,0,0.7,0,0,0,0,0.3,0.3,0.7,0,0,0,0,0,0.8,0,0,-1,EAST
Tyler Ulis,CHI,23,1,0,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EAST
Tyler Zeller,MEM,29,2,1,1,5.3,0,0,1,0,0,0.5,0,0,0,0,1,2,3,0.5,0,0,0,2,4.4,0,0,-4,EAST
Zach Lofton,DET,26,1,1,0,3.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,EAST
