,Assister,Scorer,PTS
239,Stephen Curry,JaMychal Green,2
240,Jordan Poole,Ty Jerome,2
241,Kevon Looney,Jordan Poole,2
242,Stephen Curry,Klay Thompson,3
243,Draymond Green,Stephen Curry,3
244,James Wiseman,Klay Thompson,2
245,Draymond Green,Stephen Curry,2
246,Draymond Green,Stephen Curry,3
247,Andrew Wiggins,Draymond Green,2
248,Draymond Green,Kevon Looney,2
249,Draymond Green,Klay Thompson,3
250,Stephen Curry,Klay Thompson,3
251,Stephen Curry,Klay Thompson,2
252,Kevon Looney,Andrew Wiggins,3
253,Stephen Curry,Jordan Poole,3
254,Jordan Poole,Stephen Curry,3
255,Stephen Curry,JaMychal Green,3
256,Ty Jerome,Andrew Wiggins,2
257,Klay Thompson,Kevon Looney,2
258,Draymond Green,Klay Thompson,2
259,Ty Jerome,Kevon Looney,2
260,Stephen Curry,Draymond Green,2
261,Andrew Wiggins,Stephen Curry,3
262,Ty Jerome,Klay Thompson,3
263,Kevon Looney,Jordan Poole,2
264,Kevon Looney,Jordan Poole,3
265,Moses Moody,Anthony Lamb,2
266,Jordan Poole,Moses Moody,2
267,Ty Jerome,Jonathan Kuminga,2
268,Jordan Poole,Anthony Lamb,2
269,Anthony Lamb,Moses Moody,2
270,Jordan Poole,Jonathan Kuminga,2
271,Anthony Lamb,Jonathan Kuminga,3
272,Jordan Poole,Anthony Lamb,3
273,Jonathan Kuminga,Anthony Lamb,3
274,James Wiseman,Jordan Poole,2
275,Jordan Poole,Ty Jerome,3
276,Jordan Poole,Jonathan Kuminga,2
277,Ty Jerome,Kevon Looney,2
278,Ty Jerome,Anthony Lamb,3
279,James Wiseman,Jordan Poole,3
280,Jonathan Kuminga,Ryan Rollins,2
281,Ty Jerome,Anthony Lamb,3
282,Jordan Poole,JaMychal Green,2
283,Jordan Poole,Moses Moody,3
284,Jordan Poole,Ty Jerome,3
285,Ty Jerome,Kevon Looney,2
286,Kevon Looney,Stephen Curry,3
287,Stephen Curry,Draymond Green,2
288,Stephen Curry,Draymond Green,2
289,Draymond Green,Stephen Curry,2
290,Stephen Curry,Klay Thompson,2
291,Kevon Looney,Andrew Wiggins,2
292,Andrew Wiggins,Draymond Green,2
293,Draymond Green,Stephen Curry,2
294,Draymond Green,Klay Thompson,3
295,Klay Thompson,Jonathan Kuminga,2
296,Andrew Wiggins,Jonathan Kuminga,2
297,Draymond Green,Moses Moody,2
298,Stephen Curry,Klay Thompson,2
299,Stephen Curry,Andrew Wiggins,2
300,Draymond Green,Stephen Curry,2
301,Jordan Poole,Andrew Wiggins,3
302,Stephen Curry,Klay Thompson,2
303,Draymond Green,Stephen Curry,2
304,Kevon Looney,Stephen Curry,3
305,Jordan Poole,Stephen Curry,2
306,Ty Jerome,Anthony Lamb,2
307,Jordan Poole,Andrew Wiggins,3
308,Stephen Curry,Klay Thompson,3
309,Klay Thompson,Andrew Wiggins,2
310,Anthony Lamb,Stephen Curry,3
311,Klay Thompson,Andrew Wiggins,3
312,Kevon Looney,Andrew Wiggins,3
313,Stephen Curry,Draymond Green,2
314,Draymond Green,Klay Thompson,3
315,Draymond Green,Stephen Curry,3
316,Draymond Green,Andrew Wiggins,2
317,Kevon Looney,Stephen Curry,2
318,Draymond Green,Andrew Wiggins,2
319,Jordan Poole,Stephen Curry,2
320,Stephen Curry,Andrew Wiggins,2
321,Draymond Green,Stephen Curry,2
322,Klay Thompson,Jordan Poole,2
323,Kevon Looney,Jordan Poole,2
324,Jordan Poole,Stephen Curry,2
325,Draymond Green,Anthony Lamb,2
326,Draymond Green,Stephen Curry,2
327,Jordan Poole,Anthony Lamb,3
328,Draymond Green,Andrew Wiggins,2
329,Draymond Green,Anthony Lamb,2
330,Stephen Curry,Klay Thompson,2
331,Draymond Green,Kevon Looney,2
332,Anthony Lamb,Andrew Wiggins,3
333,Donte DiVincenzo,Stephen Curry,3
334,Stephen Curry,Anthony Lamb,3
335,Stephen Curry,Jordan Poole,3
336,Donte DiVincenzo,Jordan Poole,3
337,Donte DiVincenzo,Kevon Looney,2
338,Draymond Green,Andrew Wiggins,2
339,Stephen Curry,Draymond Green,2
340,Draymond Green,Klay Thompson,3
341,Draymond Green,Stephen Curry,3
342,Kevon Looney,Stephen Curry,2
343,Klay Thompson,Andrew Wiggins,3
344,Draymond Green,Klay Thompson,3
345,Kevon Looney,Andrew Wiggins,3
346,Draymond Green,Stephen Curry,2
347,Draymond Green,Andrew Wiggins,2
348,Draymond Green,Jordan Poole,2
349,Jonathan Kuminga,Donte DiVincenzo,3
350,Donte DiVincenzo,Jordan Poole,3
351,Kevon Looney,Jordan Poole,3
352,Jordan Poole,Kevon Looney,2
353,Stephen Curry,Draymond Green,2
354,Draymond Green,Klay Thompson,2
355,Andrew Wiggins,Kevon Looney,2
356,Stephen Curry,Kevon Looney,2
357,Stephen Curry,Andrew Wiggins,3
358,Draymond Green,Stephen Curry,3
359,Stephen Curry,Draymond Green,2
360,Draymond Green,Klay Thompson,3
361,Draymond Green,Klay Thompson,3
362,Draymond Green,Andrew Wiggins,2
363,Andrew Wiggins,Jordan Poole,3
364,Donte DiVincenzo,Anthony Lamb,3
365,Anthony Lamb,Stephen Curry,3
366,Draymond Green,Anthony Lamb,2
367,Draymond Green,Klay Thompson,3
368,Klay Thompson,Draymond Green,2
369,Klay Thompson,Andrew Wiggins,2
370,Draymond Green,Stephen Curry,3
371,Kevon Looney,Jordan Poole,2
372,Draymond Green,Andrew Wiggins,3
373,Andrew Wiggins,Jordan Poole,3
374,Moses Moody,JaMychal Green,3
375,Anthony Lamb,Moses Moody,3
376,Moses Moody,Jonathan Kuminga,3
377,Jonathan Kuminga,Anthony Lamb,2
378,Donte DiVincenzo,JaMychal Green,2
379,Kevon Looney,Donte DiVincenzo,2
380,Kevon Looney,Moses Moody,3
381,Draymond Green,Andrew Wiggins,3
382,Draymond Green,Jordan Poole,3
383,Jordan Poole,Stephen Curry,2
384,Draymond Green,Stephen Curry,3
385,Draymond Green,Stephen Curry,3
386,Jordan Poole,Andrew Wiggins,2
387,Stephen Curry,Jordan Poole,2
388,Stephen Curry,Draymond Green,2
389,Kevon Looney,Jordan Poole,2
390,Jonathan Kuminga,Anthony Lamb,3
391,Stephen Curry,Anthony Lamb,3
392,Stephen Curry,Jonathan Kuminga,2
393,Stephen Curry,JaMychal Green,2
394,Anthony Lamb,Jonathan Kuminga,3
395,Anthony Lamb,Jordan Poole,2
396,Donte DiVincenzo,Jordan Poole,3
397,JaMychal Green,Anthony Lamb,3
398,JaMychal Green,Donte DiVincenzo,3
399,Moses Moody,Ryan Rollins,3
400,James Wiseman,Moses Moody,2
401,James Wiseman,Jonathan Kuminga,3
402,Moses Moody,Anthony Lamb,3
403,Ryan Rollins,Anthony Lamb,3
404,Anthony Lamb,Moses Moody,2
405,Stephen Curry,Klay Thompson,2
406,Klay Thompson,Stephen Curry,3
407,Draymond Green,Stephen Curry,2
408,Jordan Poole,Kevon Looney,2
409,Jordan Poole,Klay Thompson,3
410,Jordan Poole,Kevon Looney,2
411,Jordan Poole,Anthony Lamb,3
412,Donte DiVincenzo,Anthony Lamb,2
413,Andrew Wiggins,Kevon Looney,2
414,Jordan Poole,Andrew Wiggins,3
415,Donte DiVincenzo,Kevon Looney,2
416,Draymond Green,Stephen Curry,3
417,Draymond Green,Kevon Looney,2
418,Draymond Green,Stephen Curry,2
419,Draymond Green,Klay Thompson,2
420,Draymond Green,Andrew Wiggins,3
421,Stephen Curry,Klay Thompson,3
422,Kevon Looney,Stephen Curry,3
423,Kevon Looney,Klay Thompson,2
424,Stephen Curry,Draymond Green,3
425,Draymond Green,Andrew Wiggins,2
426,Stephen Curry,Andrew Wiggins,3
427,Klay Thompson,Draymond Green,2
428,Jordan Poole,JaMychal Green,2
429,Jordan Poole,Donte DiVincenzo,3
430,Jordan Poole,Donte DiVincenzo,3
431,Stephen Curry,Draymond Green,2
432,Draymond Green,Stephen Curry,2
433,Stephen Curry,Andrew Wiggins,3
434,Anthony Lamb,Stephen Curry,3
435,Stephen Curry,Draymond Green,2
436,Stephen Curry,Kevon Looney,2
437,Stephen Curry,Klay Thompson,2
438,Stephen Curry,Klay Thompson,3
439,Stephen Curry,Klay Thompson,3
440,Kevon Looney,Andrew Wiggins,2
441,Draymond Green,Stephen Curry,3
442,Kevon Looney,Stephen Curry,3
443,Draymond Green,JaMychal Green,2
444,Draymond Green,Klay Thompson,3
445,Donte DiVincenzo,Jordan Poole,3
446,Jordan Poole,Donte DiVincenzo,3
447,Jordan Poole,Andrew Wiggins,3
448,Andrew Wiggins,Donte DiVincenzo,3
449,Draymond Green,JaMychal Green,2
