,Assister,Scorer,PTS
1323,Ty Jerome,Patrick Baldwin Jr.,3
1324,Kevon Looney,Patrick Baldwin Jr.,3
1325,Moses Moody,Jonathan Kuminga,3
1326,Ty Jerome,JaMychal Green,3
1327,Ty Jerome,Donte DiVincenzo,3
1328,Donte DiVincenzo,Anthony Lamb,3
1329,Kevon Looney,Anthony Lamb,3
1330,Jordan Poole,Ty Jerome,3
1331,Donte DiVincenzo,Jordan Poole,3
1332,Donte DiVincenzo,Kevon Looney,2
1333,Jonathan Kuminga,Donte DiVincenzo,3
1334,Ty Jerome,Jonathan Kuminga,3
1335,Jonathan Kuminga,Ty Jerome,3
1336,Jonathan Kuminga,Donte DiVincenzo,3
1337,Ty Jerome,Anthony Lamb,3
1338,Ty Jerome,Anthony Lamb,3
1339,Ty Jerome,Jordan Poole,2
1340,Kevon Looney,Ty Jerome,3
1341,Ty Jerome,Kevon Looney,2
1342,Draymond Green,Jordan Poole,2
1343,Jordan Poole,Draymond Green,2
1344,Klay Thompson,Draymond Green,3
1345,Andrew Wiggins,Klay Thompson,2
1346,Stephen Curry,Kevon Looney,2
1347,Stephen Curry,Kevon Looney,2
1348,Ty Jerome,Donte DiVincenzo,3
1349,Stephen Curry,Kevon Looney,2
1350,Donte DiVincenzo,Ty Jerome,3
1351,Draymond Green,Donte DiVincenzo,3
1352,Jordan Poole,Donte DiVincenzo,3
1353,Draymond Green,Jonathan Kuminga,2
1354,Donte DiVincenzo,Jonathan Kuminga,2
1355,Jordan Poole,Jonathan Kuminga,2
1356,Donte DiVincenzo,Jordan Poole,3
1357,Stephen Curry,Donte DiVincenzo,3
1358,Stephen Curry,Jonathan Kuminga,2
1359,Stephen Curry,Jordan Poole,2
1360,Draymond Green,Stephen Curry,3
1361,Stephen Curry,Klay Thompson,2
1362,Donte DiVincenzo,Kevon Looney,2
1363,Donte DiVincenzo,Jonathan Kuminga,2
1364,Donte DiVincenzo,Jonathan Kuminga,2
1365,Draymond Green,Jordan Poole,3
1366,Donte DiVincenzo,Jonathan Kuminga,2
1367,Draymond Green,Jordan Poole,3
1368,Donte DiVincenzo,Klay Thompson,2
1369,Draymond Green,Jonathan Kuminga,2
1370,Jonathan Kuminga,Jordan Poole,2
1371,Jordan Poole,Draymond Green,2
1372,Draymond Green,Stephen Curry,2
1373,Jonathan Kuminga,Klay Thompson,3
1374,Jonathan Kuminga,Klay Thompson,2
1375,Draymond Green,Klay Thompson,2
1376,Draymond Green,Kevon Looney,2
1377,JaMychal Green,Donte DiVincenzo,3
1378,Anthony Lamb,Jordan Poole,3
1379,Anthony Lamb,Donte DiVincenzo,3
1380,Jordan Poole,Stephen Curry,2
1381,Stephen Curry,Jonathan Kuminga,3
1382,Jonathan Kuminga,Klay Thompson,2
1383,Klay Thompson,Jordan Poole,2
1384,Jordan Poole,Draymond Green,2
1385,Klay Thompson,Jonathan Kuminga,2
1386,Jordan Poole,Klay Thompson,3
1387,Jordan Poole,Draymond Green,2
1388,Klay Thompson,Anthony Lamb,2
1389,Kevon Looney,Stephen Curry,3
1390,Stephen Curry,Anthony Lamb,2
1391,Stephen Curry,Klay Thompson,3
1392,Kevon Looney,Donte DiVincenzo,2
1393,Kevon Looney,Stephen Curry,3
1394,Anthony Lamb,JaMychal Green,2
1395,Draymond Green,Jordan Poole,2
1396,Draymond Green,Jordan Poole,2
1397,Draymond Green,Jordan Poole,3
1398,Donte DiVincenzo,Klay Thompson,3
1399,Draymond Green,Klay Thompson,2
1400,Jordan Poole,Stephen Curry,3
1401,Jordan Poole,Klay Thompson,3
1402,Donte DiVincenzo,Jordan Poole,2
1403,Draymond Green,Stephen Curry,2
1404,Kevon Looney,Klay Thompson,2
1405,Draymond Green,Stephen Curry,2
1406,Draymond Green,Stephen Curry,2
1407,Stephen Curry,Kevon Looney,2
1408,Jordan Poole,Stephen Curry,3
1409,Stephen Curry,Kevon Looney,2
1410,Stephen Curry,Donte DiVincenzo,3
1411,Jonathan Kuminga,Donte DiVincenzo,2
1412,Donte DiVincenzo,Stephen Curry,2
1413,Anthony Lamb,JaMychal Green,2
1414,Donte DiVincenzo,Stephen Curry,2
1415,Jonathan Kuminga,JaMychal Green,3
1416,Donte DiVincenzo,JaMychal Green,2
1417,Stephen Curry,Draymond Green,2
1418,Stephen Curry,Jordan Poole,2
1419,Draymond Green,Klay Thompson,3
1420,Donte DiVincenzo,Draymond Green,2
1421,Donte DiVincenzo,Klay Thompson,3
1422,Draymond Green,Donte DiVincenzo,2
1423,Donte DiVincenzo,Stephen Curry,2
1424,Stephen Curry,Klay Thompson,3
1425,Jordan Poole,Klay Thompson,2
1426,Draymond Green,Stephen Curry,3
1427,Draymond Green,Kevon Looney,2
1428,Donte DiVincenzo,Klay Thompson,2
1429,Stephen Curry,Kevon Looney,2
1430,Kevon Looney,Jonathan Kuminga,3
1431,Stephen Curry,Jonathan Kuminga,3
1432,Kevon Looney,Jonathan Kuminga,3
1433,Anthony Lamb,Stephen Curry,3
1434,Anthony Lamb,Jonathan Kuminga,3
1435,Donte DiVincenzo,Klay Thompson,3
1436,Donte DiVincenzo,Jonathan Kuminga,2
1437,Stephen Curry,Klay Thompson,3
1438,Stephen Curry,Kevon Looney,2
1439,Donte DiVincenzo,Stephen Curry,3
1440,Klay Thompson,Kevon Looney,2
1441,Donte DiVincenzo,Klay Thompson,3
1442,Stephen Curry,Donte DiVincenzo,3
1443,Klay Thompson,Andrew Wiggins,3
1444,Draymond Green,Stephen Curry,2
1445,Stephen Curry,Draymond Green,2
1446,Stephen Curry,Klay Thompson,2
1447,Draymond Green,Klay Thompson,2
1448,Jordan Poole,Stephen Curry,3
1449,Draymond Green,Klay Thompson,3
1450,Draymond Green,Stephen Curry,2
1451,Draymond Green,Klay Thompson,3
1452,Stephen Curry,Jordan Poole,2
1453,Jonathan Kuminga,Donte DiVincenzo,3
1454,Stephen Curry,Donte DiVincenzo,2
1455,Stephen Curry,Donte DiVincenzo,3
1456,Anthony Lamb,Stephen Curry,3
1457,Jordan Poole,Andrew Wiggins,2
1458,Jordan Poole,Klay Thompson,3
1459,Donte DiVincenzo,Anthony Lamb,3
1460,Andrew Wiggins,Klay Thompson,3
1461,Klay Thompson,Anthony Lamb,2
1462,Stephen Curry,Kevon Looney,2
1463,Draymond Green,Stephen Curry,3
1464,Stephen Curry,Andrew Wiggins,2
1465,Stephen Curry,Andrew Wiggins,2
1466,Jordan Poole,Stephen Curry,2
1467,Stephen Curry,Draymond Green,2
1468,Draymond Green,Klay Thompson,3
1469,Donte DiVincenzo,Stephen Curry,3
1470,Draymond Green,Andrew Wiggins,2
1471,Klay Thompson,Draymond Green,2
1472,Donte DiVincenzo,Andrew Wiggins,2
1473,Draymond Green,Klay Thompson,3
1474,Stephen Curry,Kevon Looney,2
1475,Stephen Curry,Jordan Poole,3
1476,Draymond Green,Stephen Curry,3
1477,Stephen Curry,Klay Thompson,2
1478,Draymond Green,Klay Thompson,2
1479,Draymond Green,Kevon Looney,2
1480,Andrew Wiggins,Draymond Green,2
1481,Draymond Green,Andrew Wiggins,2
1482,Jordan Poole,Klay Thompson,3
1483,Andrew Wiggins,Jordan Poole,3
1484,Draymond Green,Andrew Wiggins,3
1485,Donte DiVincenzo,Stephen Curry,3
1486,Anthony Lamb,Stephen Curry,3
1487,Jordan Poole,Jonathan Kuminga,2
1488,Donte DiVincenzo,Jonathan Kuminga,2
1489,Jordan Poole,Klay Thompson,2
1490,Andrew Wiggins,Donte DiVincenzo,2
1491,Draymond Green,Kevon Looney,2
1492,Stephen Curry,Andrew Wiggins,2
1493,Jordan Poole,Draymond Green,2
1494,Jordan Poole,Draymond Green,2
1495,Stephen Curry,Klay Thompson,3
1496,Donte DiVincenzo,Jonathan Kuminga,2
1497,Donte DiVincenzo,Jonathan Kuminga,3
1498,Donte DiVincenzo,Kevon Looney,2
1499,Stephen Curry,Draymond Green,2
1500,Draymond Green,Andrew Wiggins,2
1501,Jordan Poole,Andrew Wiggins,3
1502,Jordan Poole,Stephen Curry,3
1503,Kevon Looney,Jordan Poole,3
1504,Jordan Poole,Andrew Wiggins,2
1505,Stephen Curry,Jonathan Kuminga,3
1506,Andrew Wiggins,Donte DiVincenzo,3
1507,Stephen Curry,Jonathan Kuminga,2
1508,JaMychal Green,Donte DiVincenzo,3
1509,JaMychal Green,Ty Jerome,2
1510,JaMychal Green,Donte DiVincenzo,3
1511,Ty Jerome,Jordan Poole,3
1512,Ty Jerome,JaMychal Green,3
1513,Jordan Poole,James Wiseman,2
1514,Jordan Poole,JaMychal Green,2
1515,Jonathan Kuminga,Ty Jerome,3
1516,Jonathan Kuminga,Donte DiVincenzo,3
1517,Stephen Curry,Kevon Looney,2
1518,Andrew Wiggins,Jonathan Kuminga,3
1519,Kevon Looney,Stephen Curry,3
1520,JaMychal Green,Jonathan Kuminga,2
1521,Ty Jerome,Stephen Curry,2
1522,Stephen Curry,Andrew Wiggins,3
1523,Moses Moody,Stephen Curry,3
1524,Stephen Curry,Ty Jerome,2
1525,Donte DiVincenzo,James Wiseman,2
1526,Draymond Green,Stephen Curry,2
1527,Stephen Curry,Klay Thompson,2
1528,Stephen Curry,Kevon Looney,2
1529,Stephen Curry,Draymond Green,3
1530,Stephen Curry,Klay Thompson,3
1531,Draymond Green,Kevon Looney,2
1532,Draymond Green,Stephen Curry,3
1533,JaMychal Green,Donte DiVincenzo,3
1534,Ty Jerome,Jonathan Kuminga,2
1535,Ty Jerome,Jordan Poole,3
1536,Donte DiVincenzo,JaMychal Green,2
1537,Draymond Green,Jonathan Kuminga,2
1538,Ty Jerome,Draymond Green,3
1539,Ty Jerome,Jonathan Kuminga,2
1540,Jonathan Kuminga,Ty Jerome,3
1541,JaMychal Green,Andrew Wiggins,2
1542,Stephen Curry,Jonathan Kuminga,3
1543,Draymond Green,Klay Thompson,2
1544,Klay Thompson,JaMychal Green,3
1545,Andrew Wiggins,Draymond Green,3
1546,Klay Thompson,Kevon Looney,2
1547,Stephen Curry,Andrew Wiggins,2
1548,Klay Thompson,Stephen Curry,3
1549,Draymond Green,Andrew Wiggins,2
1550,Stephen Curry,Donte DiVincenzo,3
1551,Donte DiVincenzo,JaMychal Green,2
1552,JaMychal Green,Donte DiVincenzo,3
1553,Ty Jerome,Jonathan Kuminga,2
1554,Draymond Green,Jonathan Kuminga,2
1555,Draymond Green,Donte DiVincenzo,2
1556,Ty Jerome,Draymond Green,2
1557,Jordan Poole,Draymond Green,2
1558,Draymond Green,Klay Thompson,3
1559,Jordan Poole,Andrew Wiggins,2
1560,Jonathan Kuminga,Klay Thompson,2
1561,Draymond Green,Jonathan Kuminga,2
1562,Jonathan Kuminga,Klay Thompson,3
1563,Jordan Poole,Klay Thompson,2
1564,Donte DiVincenzo,Klay Thompson,2
1565,Jordan Poole,Kevon Looney,2
1566,Jordan Poole,Donte DiVincenzo,2
1567,Jordan Poole,Klay Thompson,3
1568,Ty Jerome,Klay Thompson,3
1569,Ty Jerome,Klay Thompson,3
1570,Donte DiVincenzo,Andrew Wiggins,3
1571,Donte DiVincenzo,Ty Jerome,3
1572,Kevon Looney,Jordan Poole,3
1573,Kevon Looney,Klay Thompson,3
1574,Jordan Poole,Kevon Looney,2
1575,Jordan Poole,Klay Thompson,3
1576,Andrew Wiggins,Klay Thompson,3
1577,Jordan Poole,Andrew Wiggins,2
1578,Jordan Poole,Jonathan Kuminga,2
1579,Jonathan Kuminga,Jordan Poole,2
1580,Draymond Green,Jordan Poole,3
1581,Draymond Green,Andrew Wiggins,2
1582,Jordan Poole,Andrew Wiggins,2
1583,Donte DiVincenzo,Jordan Poole,3
1584,Jordan Poole,Donte DiVincenzo,3
1585,JaMychal Green,Jordan Poole,3
1586,Donte DiVincenzo,JaMychal Green,3
1587,Andrew Wiggins,JaMychal Green,2
1588,Andrew Wiggins,JaMychal Green,3
1589,Kevon Looney,Donte DiVincenzo,3
1590,Klay Thompson,JaMychal Green,2
1591,Draymond Green,Klay Thompson,3
1592,Jonathan Kuminga,Jordan Poole,3
1593,Jordan Poole,Klay Thompson,3
1594,Kevon Looney,Klay Thompson,3
1595,Donte DiVincenzo,Andrew Wiggins,2
1596,Andrew Wiggins,Moses Moody,2
1597,Moses Moody,Donte DiVincenzo,3
1598,Jonathan Kuminga,James Wiseman,2
1599,Ty Jerome,Donte DiVincenzo,3
1600,Donte DiVincenzo,Moses Moody,2
1601,Ty Jerome,James Wiseman,2
1602,Draymond Green,Andrew Wiggins,2
1603,Klay Thompson,Kevon Looney,2
1604,Jordan Poole,Andrew Wiggins,3
1605,Draymond Green,Klay Thompson,3
1606,Draymond Green,Klay Thompson,3
1607,Klay Thompson,Jordan Poole,3
1608,Jordan Poole,Donte DiVincenzo,3
1609,Jonathan Kuminga,Donte DiVincenzo,3
1610,Ty Jerome,Klay Thompson,3
1611,Klay Thompson,Draymond Green,2
1612,Ty Jerome,Klay Thompson,3
1613,Ty Jerome,Donte DiVincenzo,3
1614,Draymond Green,Donte DiVincenzo,2
1615,Andrew Wiggins,Jordan Poole,2
1616,Jordan Poole,Klay Thompson,3
1617,Andrew Wiggins,Jordan Poole,3
1618,Andrew Wiggins,Klay Thompson,2
1619,Andrew Wiggins,Jordan Poole,3
1620,Draymond Green,Jordan Poole,3
1621,Draymond Green,Jordan Poole,3
1622,Jordan Poole,Draymond Green,2
1623,Jordan Poole,Donte DiVincenzo,3
1624,Klay Thompson,JaMychal Green,2
1625,Ty Jerome,Klay Thompson,2
1626,Donte DiVincenzo,Ty Jerome,2
1627,Klay Thompson,Jonathan Kuminga,2
1628,Jordan Poole,Andrew Wiggins,3
1629,Donte DiVincenzo,Jordan Poole,2
1630,Klay Thompson,Jordan Poole,3
1631,Draymond Green,Donte DiVincenzo,3
1632,Jordan Poole,Klay Thompson,3
1633,Kevon Looney,Draymond Green,3
1634,Jordan Poole,Andrew Wiggins,2
1635,Draymond Green,Klay Thompson,3
1636,Draymond Green,Jonathan Kuminga,3
1637,Draymond Green,Jonathan Kuminga,2
1638,Moses Moody,Ty Jerome,2
1639,Jordan Poole,Draymond Green,2
1640,Andrew Wiggins,JaMychal Green,3
1641,Draymond Green,Klay Thompson,3
1642,Jordan Poole,Andrew Wiggins,2
1643,Donte DiVincenzo,Jordan Poole,2
1644,Draymond Green,Klay Thompson,2
1645,Ty Jerome,Draymond Green,2
1646,Ty Jerome,Kevon Looney,2
1647,Draymond Green,Ty Jerome,2
1648,Draymond Green,Jordan Poole,2
1649,Kevon Looney,Jordan Poole,2
1650,Jordan Poole,Draymond Green,2
1651,Draymond Green,Andrew Wiggins,3
1652,Jordan Poole,Draymond Green,2
1653,Klay Thompson,JaMychal Green,2
1654,Klay Thompson,Ty Jerome,2
1655,Ty Jerome,Klay Thompson,3
1656,Jonathan Kuminga,JaMychal Green,2
1657,Draymond Green,Jordan Poole,2
1658,Donte DiVincenzo,Jordan Poole,3
1659,Donte DiVincenzo,Jordan Poole,3
1660,Ty Jerome,Jordan Poole,2
1661,Jordan Poole,Ty Jerome,2
1662,Draymond Green,Donte DiVincenzo,3
1663,Klay Thompson,Donte DiVincenzo,2
1664,Andrew Wiggins,Draymond Green,2
1665,Jordan Poole,Klay Thompson,3
1666,Kevon Looney,Klay Thompson,2
1667,Draymond Green,Andrew Wiggins,2
1668,Jordan Poole,Andrew Wiggins,2
1669,Jordan Poole,JaMychal Green,3
1670,JaMychal Green,Andrew Wiggins,3
1671,Jonathan Kuminga,Donte DiVincenzo,3
1672,Ty Jerome,Donte DiVincenzo,3
1673,Ty Jerome,Jonathan Kuminga,2
1674,Draymond Green,Klay Thompson,3
1675,Ty Jerome,Jonathan Kuminga,3
1676,Andrew Wiggins,Donte DiVincenzo,3
1677,Andrew Wiggins,Ty Jerome,2
1678,Ty Jerome,Klay Thompson,3
1679,Kevon Looney,Andrew Wiggins,2
1680,Kevon Looney,Klay Thompson,2
1681,Draymond Green,Andrew Wiggins,2
1682,Klay Thompson,Andrew Wiggins,3
1683,Draymond Green,Jordan Poole,3
1684,JaMychal Green,Jordan Poole,3
1685,JaMychal Green,Kevon Looney,2
1686,Kevon Looney,JaMychal Green,3
1687,Ty Jerome,Klay Thompson,2
1688,Donte DiVincenzo,Andrew Wiggins,2
1689,Donte DiVincenzo,Andrew Wiggins,3
1690,Andrew Wiggins,JaMychal Green,3
1691,Jonathan Kuminga,Ty Jerome,2
1692,Ty Jerome,JaMychal Green,3
1693,Ty Jerome,JaMychal Green,2
1694,Jordan Poole,Kevon Looney,2
1695,Klay Thompson,Kevon Looney,2
1696,Draymond Green,Andrew Wiggins,2
1697,Klay Thompson,Andrew Wiggins,2
1698,Klay Thompson,Jordan Poole,2
1699,JaMychal Green,Kevon Looney,2
1700,JaMychal Green,Donte DiVincenzo,3
1701,Donte DiVincenzo,Klay Thompson,3
1702,Draymond Green,Klay Thompson,2
1703,Klay Thompson,Donte DiVincenzo,3
1704,Donte DiVincenzo,Jordan Poole,2
1705,Draymond Green,Jonathan Kuminga,2
1706,Donte DiVincenzo,Jonathan Kuminga,2
1707,JaMychal Green,Jordan Poole,2
1708,Moses Moody,Anthony Lamb,3
1709,Draymond Green,Klay Thompson,2
1710,Klay Thompson,Draymond Green,2
1711,Draymond Green,Jonathan Kuminga,3
1712,Kevon Looney,Ty Jerome,3
1713,Donte DiVincenzo,Jordan Poole,3
1714,Jordan Poole,Anthony Lamb,2
1715,Jordan Poole,Donte DiVincenzo,2
1716,Jordan Poole,Donte DiVincenzo,3
1717,Anthony Lamb,Draymond Green,3
1718,Jordan Poole,Draymond Green,2
1719,Draymond Green,Jordan Poole,2
1720,Jordan Poole,Kevon Looney,2
1721,Donte DiVincenzo,Jordan Poole,3
1722,Draymond Green,Klay Thompson,3
1723,Klay Thompson,Draymond Green,2
1724,Anthony Lamb,Jonathan Kuminga,3
1725,Jordan Poole,Draymond Green,2
1726,Draymond Green,Klay Thompson,3
1727,Draymond Green,Klay Thompson,2
1728,Ty Jerome,Moses Moody,2
1729,Anthony Lamb,Moses Moody,2
1730,Ty Jerome,Moses Moody,3
1731,Jonathan Kuminga,Anthony Lamb,2
1732,Draymond Green,Klay Thompson,3
1733,Jordan Poole,Donte DiVincenzo,3
1734,Jonathan Kuminga,Klay Thompson,3
1735,Draymond Green,Donte DiVincenzo,2
1736,Kevon Looney,Ty Jerome,2
1737,Anthony Lamb,JaMychal Green,3
1738,Ty Jerome,Klay Thompson,2
1739,Donte DiVincenzo,Ty Jerome,2
1740,Jordan Poole,Klay Thompson,2
1741,Draymond Green,Jonathan Kuminga,2
1742,Draymond Green,Klay Thompson,2
1743,Jordan Poole,Draymond Green,2
1744,Draymond Green,Klay Thompson,3
1745,Jordan Poole,Draymond Green,2
1746,Ty Jerome,Klay Thompson,2
1747,Ty Jerome,Patrick Baldwin Jr.,3
1748,Anthony Lamb,Patrick Baldwin Jr.,2
1749,Jonathan Kuminga,Moses Moody,2
1750,Jonathan Kuminga,Patrick Baldwin Jr.,3
1751,Anthony Lamb,Jonathan Kuminga,3
1752,Anthony Lamb,Ty Jerome,3
1753,Jonathan Kuminga,Moses Moody,2
1754,Jonathan Kuminga,Patrick Baldwin Jr.,3
1755,Moses Moody,Ty Jerome,2
1756,Donte DiVincenzo,Klay Thompson,3
1757,Jordan Poole,Donte DiVincenzo,3
1758,Jordan Poole,Donte DiVincenzo,3
1759,Jonathan Kuminga,Jordan Poole,2
1760,Ty Jerome,Kevon Looney,2
1761,JaMychal Green,Klay Thompson,3
1762,Moses Moody,Anthony Lamb,3
1763,Ty Jerome,Anthony Lamb,2
1764,Ty Jerome,Moses Moody,3
1765,JaMychal Green,Patrick Baldwin Jr.,3
1766,Jordan Poole,Patrick Baldwin Jr.,3
1767,Jordan Poole,Klay Thompson,3
1768,Jordan Poole,Donte DiVincenzo,3
1769,Jonathan Kuminga,Donte DiVincenzo,3
1770,Kevon Looney,Jordan Poole,3
1771,Jonathan Kuminga,JaMychal Green,3
1772,Jonathan Kuminga,Klay Thompson,3
1773,Donte DiVincenzo,Klay Thompson,3
1774,Jordan Poole,Patrick Baldwin Jr.,3
1775,Patrick Baldwin Jr.,Klay Thompson,3
1776,Klay Thompson,Ty Jerome,3
1777,Donte DiVincenzo,Ty Jerome,2
1778,Kevon Looney,Klay Thompson,3
1779,Donte DiVincenzo,Klay Thompson,3
1780,Kevon Looney,Ty Jerome,2
1781,Jordan Poole,Donte DiVincenzo,3
1782,Jordan Poole,Klay Thompson,3
1783,Donte DiVincenzo,Jonathan Kuminga,2
1784,Klay Thompson,Kevon Looney,2
1785,Ty Jerome,Klay Thompson,3
1786,Jordan Poole,JaMychal Green,3
1787,Jordan Poole,Donte DiVincenzo,3
1788,Donte DiVincenzo,Jordan Poole,2
1789,Jordan Poole,Donte DiVincenzo,3
1790,Kevon Looney,Jordan Poole,3
1791,Klay Thompson,Jonathan Kuminga,2
1792,Jonathan Kuminga,Klay Thompson,3
1793,Donte DiVincenzo,Klay Thompson,2
1794,Ty Jerome,Jonathan Kuminga,3
1795,Donte DiVincenzo,Jonathan Kuminga,2
1796,Ty Jerome,Klay Thompson,3
1797,Ty Jerome,Klay Thompson,2
1798,JaMychal Green,Jordan Poole,2
1799,Anthony Lamb,Patrick Baldwin Jr.,3
1800,Jordan Poole,Donte DiVincenzo,3
1801,Donte DiVincenzo,Klay Thompson,3
1802,Anthony Lamb,Donte DiVincenzo,2
1803,Klay Thompson,Anthony Lamb,3
1804,Klay Thompson,Donte DiVincenzo,3
1805,Kevon Looney,Klay Thompson,3
1806,Jordan Poole,Kevon Looney,2
1807,Draymond Green,Jordan Poole,3
1808,Jordan Poole,Draymond Green,3
1809,Donte DiVincenzo,Klay Thompson,3
1810,Klay Thompson,Draymond Green,2
1811,Ty Jerome,Donte DiVincenzo,3
1812,JaMychal Green,Jonathan Kuminga,2
1813,Draymond Green,Donte DiVincenzo,3
1814,Anthony Lamb,Jordan Poole,2
1815,Kevon Looney,Ty Jerome,2
1816,Jordan Poole,Donte DiVincenzo,2
1817,Klay Thompson,Donte DiVincenzo,2
1818,Klay Thompson,Jordan Poole,2
1819,Klay Thompson,Kevon Looney,2
1820,Donte DiVincenzo,Kevon Looney,2
1821,Draymond Green,Jordan Poole,3
1822,Ty Jerome,Jonathan Kuminga,2
1823,Kevon Looney,Klay Thompson,2
1824,Ty Jerome,Klay Thompson,3
1825,Draymond Green,Jonathan Kuminga,2
1826,Draymond Green,Klay Thompson,3
1827,Ty Jerome,Draymond Green,2
1828,Anthony Lamb,Jordan Poole,3
1829,Donte DiVincenzo,Draymond Green,2
1830,Jordan Poole,Donte DiVincenzo,3
1831,Draymond Green,Anthony Lamb,2
1832,Draymond Green,Donte DiVincenzo,3
1833,Jordan Poole,Jonathan Kuminga,2
1834,Ty Jerome,Kevon Looney,2
1835,Ty Jerome,Jonathan Kuminga,2
1836,Draymond Green,Klay Thompson,2
1837,Jordan Poole,Donte DiVincenzo,3
1838,Anthony Lamb,Jonathan Kuminga,2
1839,Anthony Lamb,Jonathan Kuminga,2
1840,Draymond Green,Klay Thompson,3
1841,Kevon Looney,Draymond Green,2
1842,Draymond Green,Klay Thompson,3
1843,Draymond Green,Klay Thompson,2
1844,Ty Jerome,Jonathan Kuminga,3
1845,Draymond Green,Jordan Poole,2
1846,Klay Thompson,Draymond Green,2
1847,Draymond Green,Patrick Baldwin Jr.,2
1848,Jordan Poole,Draymond Green,2
1849,Klay Thompson,Jordan Poole,3
1850,Jonathan Kuminga,Jordan Poole,3
1851,Jordan Poole,Draymond Green,2
1852,Draymond Green,Klay Thompson,3
1853,Klay Thompson,Kevon Looney,2
1854,Klay Thompson,Anthony Lamb,3
1855,Ty Jerome,Jonathan Kuminga,3
1856,Jonathan Kuminga,Jordan Poole,3
1857,Draymond Green,Jordan Poole,3
1858,Draymond Green,Donte DiVincenzo,3
1859,Draymond Green,Kevon Looney,2
1860,Jordan Poole,Kevon Looney,2
1861,Patrick Baldwin Jr.,Jonathan Kuminga,3
1862,Anthony Lamb,Moses Moody,3
1863,Ty Jerome,Patrick Baldwin Jr.,2
1864,Patrick Baldwin Jr.,Jonathan Kuminga,2
1865,Klay Thompson,Kevon Looney,2
1866,Donte DiVincenzo,Jordan Poole,2
1867,Jordan Poole,Klay Thompson,2
1868,Jordan Poole,Klay Thompson,2
1869,Ty Jerome,JaMychal Green,2
1870,Ty Jerome,Anthony Lamb,2
1871,Anthony Lamb,Jonathan Kuminga,3
1872,JaMychal Green,Anthony Lamb,3
1873,Draymond Green,JaMychal Green,2
1874,Jordan Poole,JaMychal Green,3
1875,Kevon Looney,Ty Jerome,2
1876,Kevon Looney,Jonathan Kuminga,2
1877,Klay Thompson,Kevon Looney,2
1878,Donte DiVincenzo,Klay Thompson,3
1879,Klay Thompson,Kevon Looney,2
1880,Jordan Poole,Kevon Looney,2
1881,Jordan Poole,Klay Thompson,3
1882,Kevon Looney,Klay Thompson,2
1883,Jordan Poole,Klay Thompson,3
1884,Ty Jerome,Jonathan Kuminga,2
1885,Ty Jerome,Anthony Lamb,3
1886,Ty Jerome,Draymond Green,2
1887,Donte DiVincenzo,JaMychal Green,2
1888,Klay Thompson,Draymond Green,2
1889,Donte DiVincenzo,Anthony Lamb,3
1890,Jordan Poole,Donte DiVincenzo,3
1891,Donte DiVincenzo,Jonathan Kuminga,2
1892,Donte DiVincenzo,Jordan Poole,2
1893,Stephen Curry,Klay Thompson,3
1894,Stephen Curry,Klay Thompson,2
1895,Jonathan Kuminga,JaMychal Green,3
1896,Donte DiVincenzo,Jonathan Kuminga,3
1897,Jordan Poole,Draymond Green,2
1898,Anthony Lamb,Jordan Poole,3
1899,Anthony Lamb,Donte DiVincenzo,3
1900,Andre Iguodala,Stephen Curry,2
1901,Donte DiVincenzo,Stephen Curry,3
1902,Stephen Curry,Klay Thompson,3
1903,Klay Thompson,Draymond Green,2
1904,Draymond Green,Jordan Poole,3
1905,Jordan Poole,Klay Thompson,3
1906,Draymond Green,Donte DiVincenzo,3
1907,Donte DiVincenzo,Klay Thompson,2
1908,Klay Thompson,Kevon Looney,2
1909,Donte DiVincenzo,Kevon Looney,2
1910,Jordan Poole,Kevon Looney,2
1911,Jordan Poole,Klay Thompson,2
1912,Andre Iguodala,Anthony Lamb,3
1913,Draymond Green,Stephen Curry,3
1914,Stephen Curry,Draymond Green,2
1915,Stephen Curry,Draymond Green,2
1916,Klay Thompson,Anthony Lamb,3
1917,Stephen Curry,Draymond Green,2
1918,Donte DiVincenzo,Stephen Curry,3
1919,Donte DiVincenzo,Klay Thompson,3
1920,Donte DiVincenzo,Draymond Green,2
1921,Klay Thompson,Draymond Green,3
1922,Stephen Curry,Jonathan Kuminga,2
1923,Stephen Curry,Jordan Poole,2
1924,Draymond Green,Klay Thompson,2
1925,Stephen Curry,Jordan Poole,3
1926,Draymond Green,Klay Thompson,3
1927,Andre Iguodala,Stephen Curry,3
1928,Stephen Curry,Klay Thompson,2
1929,Stephen Curry,Andre Iguodala,2
1930,Andre Iguodala,Kevon Looney,2
1931,Donte DiVincenzo,Klay Thompson,2
1932,Donte DiVincenzo,Klay Thompson,2
1933,Draymond Green,JaMychal Green,3
1934,Draymond Green,Jonathan Kuminga,2
1935,Jordan Poole,Jonathan Kuminga,2
1936,Draymond Green,Donte DiVincenzo,2
1937,Jonathan Kuminga,Klay Thompson,3
1938,Stephen Curry,Draymond Green,2
1939,Draymond Green,Jonathan Kuminga,2
1940,Donte DiVincenzo,Draymond Green,2
1941,Draymond Green,Donte DiVincenzo,3
1942,Jonathan Kuminga,Stephen Curry,3
1943,Draymond Green,Stephen Curry,2
1944,Klay Thompson,Kevon Looney,2
1945,Andre Iguodala,Stephen Curry,3
1946,Donte DiVincenzo,Klay Thompson,3
1947,Stephen Curry,Draymond Green,2
