PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Desmond Bane,MEM,24,1,0,1,2.3,2,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,6,0,0,1
Jaren Jackson Jr.,MEM,23,1,0,1,2.4,2,0,1,0.0,0,1,0.0,2,2,100,0,0,0,0,0,0,0,1,2,0,0,1
Robert Williams III,BOS,25,1,1,0,4.5,2,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,6,0,0,7
Terence Davis,SAC,25,1,1,0,3.8,2,0,0,0.0,0,0,0.0,2,2,100,0,0,0,0,1,0,0,2,1,0,0,-2
Trae Young,ATL,24,1,0,1,12.0,2,0,7,0.0,0,2,0.0,2,2,100,0,0,0,4,2,1,0,1,9,1,0,-10
Bogdan Bogdanovic,ATL,30,1,0,1,3.1,1,0,0,0.0,0,0,0.0,1,3,33.3,0,0,0,0,0,0,0,1,1,0,0,-2
Jordan Poole,GSW,23,1,0,1,9.3,1,0,2,0.0,0,0,0.0,1,2,50.0,0,0,0,0,1,1,0,1,3,0,0,-6
Alex Len,SAC,29,1,1,0,0.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Lamb,GSW,25,1,0,1,3.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,1,1,0,0,4,0,0,0
Austin Reaves,LAL,24,1,1,0,2.8,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,2,0,0,-1
Chimezie Metu,SAC,26,1,1,0,0.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
David Roddy,MEM,22,1,0,1,9.7,0,0,5,0.0,0,2,0.0,0,0,0.0,1,5,6,1,0,0,1,0,12,0,0,-8
Dennis Schroder,LAL,29,1,1,0,2.8,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-1
Derrick White,BOS,28,1,1,0,5.2,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,3,0,0,3
Dillon Brooks,MEM,27,1,0,1,2.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Domantas Sabonis,SAC,26,1,1,0,3.0,0,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,1,4,0,0,5
Draymond Green,GSW,33,1,0,1,6.9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,4,0,1,0,1,9,0,0,-5
Gary Payton II,GSW,30,1,0,1,0.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Williams,BOS,24,1,1,0,7.0,0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,1,0,0,4,0,0,6
Ja Morant,MEM,23,1,0,1,2.3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0,0,1
JaMychal Green,GSW,32,1,0,1,3.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0
John Konchar,MEM,27,1,0,1,9.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,1,1,0,0,-8
Jonathan Kuminga,GSW,20,1,0,1,3.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0
Keegan Murray,SAC,22,1,1,0,11.5,0,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,2,0,0,0,0,4,1,0,9
Kessler Edwards,SAC,22,1,1,0,0.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kevon Looney,GSW,27,1,0,1,4.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-7
Klay Thompson,GSW,33,1,0,1,4.5,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,-11
Mo Bamba,LAL,24,1,1,0,9.2,0,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,1,0,0,1,0,8,0,0,8
Onyeka Okongwu,ATL,22,1,0,1,5.2,0,0,0,0.0,0,0,0.0,0,2,0.0,0,2,2,0,0,0,2,0,8,0,0,-1
PJ Dozier,SAC,26,1,1,0,0.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Payton Pritchard,BOS,25,1,1,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2
Rui Hachimura,LAL,25,1,1,0,2.8,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,3,0,0,-1
Saddiq Bey,ATL,24,1,0,1,3.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-2
Troy Brown Jr.,LAL,23,1,1,0,9.2,0,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,2,0,0,0,0,7,0,0,8
Wenyen Gabriel,LAL,26,1,1,0,2.8,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,1,2,3,0,0,-1
Xavier Tillman,MEM,24,1,0,1,2.3,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,2,0,1,0,2,0,0,1
