PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,SEASON
Jeff Ayres,SAS,28,6-9,250,Arizona State,USA,2009,2,31,3.0,0.0,1.0,0.7,16.7,0.0,25.0,4.0,0.0,20.0,2015
Jeff Green,MEM,28,6-9,235,Georgetown,USA,2007,1,5,11.0,8.9,4.7,1.7,-2.1,2.8,13.8,20.1,41.0,10.1,2015
Jeff Teague,ATL,27,6-2,181,Wake Forest,USA,2009,1,19,16.0,16.8,3.2,6.7,3.5,1.8,7.6,26.1,50.7,34.0,2015
Jerome Jordan,BKN,28,7-0,253,Tulsa,Jamaica,2010,2,44,1.0,0.0,2.0,0.0,-44.4,12.5,20.0,27.3,0.0,0.0,2015
Jerryd Bayless,MIL,26,6-3,200,Arizona,USA,2008,1,11,6.0,6.5,2.5,3.0,-5.6,3.1,9.5,17.4,45.9,25.0,2015
Jimmy Butler,CHI,25,6-7,220,Marquette,USA,2011,1,30,12.0,22.9,5.6,3.2,4.9,3.5,9.2,23.8,56.2,13.9,2015
Joakim Noah,CHI,30,6-11,232,Florida,USA,2007,1,9,12.0,5.8,11.0,3.2,2.3,11.1,21.7,12.1,40.7,15.0,2015
Joe Harris,CLE,23,6-6,225,Virginia,USA,2014,2,33,6.0,1.3,0.2,0.2,-26.3,0.0,6.3,25.7,51.5,25.0,2015
Joe Johnson,BKN,34,6-7,240,Arkansas,USA,2001,1,10,6.0,16.5,7.7,4.8,-12.6,1.9,16.5,20.2,47.3,20.1,2015
Joel Freeland,POR,28,6-10,225,None,United Kingdom,2006,1,30,2.0,0.0,0.5,0.0,6.3,0.0,16.7,0.0,0.0,0.0,2015
Joey Dorsey,HOU,31,6-9,275,Memphis,USA,2008,2,33,6.0,0.2,0.7,0.3,-35.1,6.7,21.4,10.8,17.4,40.0,2015
John Henson,MIL,24,6-11,230,North Carolina,USA,2012,1,14,6.0,8.8,8.0,0.7,-11.6,12.2,16.3,17.0,56.2,5.1,2015
John Jenkins,ATL,24,6-4,215,Vanderbilt,USA,2012,1,23,4.0,2.5,0.8,0.0,19.2,6.3,8.0,13.3,83.3,0.0,2015
John Wall,WAS,24,6-4,195,Kentucky,USA,2010,1,1,7.0,17.4,4.7,11.9,4.7,1.8,9.0,24.2,48.0,47.7,2015
Johnny O'Bryant III,MIL,22,6-9,265,Louisiana State,USA,2014,2,36,1.0,6.0,3.0,0.0,-75.0,5.3,18.2,29.6,37.5,0.0,2015
