Player,FG%,FGA,3P%,3PA,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,Hierarchical
Miles Bridges,0.464,0.23949579831932774,0.325,0.1893939393939394,0.753,0.14814814814814814,0.2882882882882883,0.11214953271028037,0.3181818181818181,0.2222222222222222,0.12,0.18980169971671387,1
Isaiah Briscoe,0.399,0.1176470588235294,0.324,0.06818181818181819,0.577,0.018518518518518517,0.16216216216216217,0.20560747663551404,0.13636363636363635,0.037037037037037035,0.16,0.07648725212464588,2
Ryan Broekhoff,0.452,0.09663865546218486,0.409,0.16666666666666669,0.789,0.037037037037037035,0.11711711711711713,0.04672897196261683,0.045454545454545456,0.037037037037037035,0.08,0.09065155807365438,1
Malcolm Brogdon,0.505,0.4621848739495798,0.426,0.2878787878787879,0.928,0.18518518518518517,0.3153153153153153,0.2990654205607477,0.3181818181818181,0.07407407407407407,0.27999999999999997,0.41926345609065147,6
Dillon Brooks,0.402,0.25630252100840334,0.375,0.16666666666666669,0.733,0.09259259259259259,0.10810810810810811,0.08411214953271029,0.2727272727272727,0.07407407407407407,0.22000000000000003,0.18980169971671387,1
MarShon Brooks,0.45,0.21428571428571427,0.278,0.14393939393939395,0.697,0.07407407407407407,0.09909909909909911,0.08411214953271029,0.13636363636363635,0.037037037037037035,0.13999999999999999,0.16430594900849857,1
Bruce Brown,0.398,0.14705882352941177,0.258,0.0984848484848485,0.75,0.1111111111111111,0.17117117117117117,0.11214953271028037,0.22727272727272727,0.18518518518518517,0.12,0.09915014164305948,1
Jaylen Brown,0.465,0.42016806722689076,0.344,0.28030303030303033,0.658,0.16666666666666666,0.3063063063063063,0.1308411214953271,0.40909090909090906,0.14814814814814814,0.26,0.3456090651558073,6
Lorenzo Brown,0.324,0.08403361344537814,0.214,0.08333333333333334,1,0.037037037037037035,0.0900900900900901,0.10280373831775702,0.22727272727272727,0.07407407407407407,0.12,0.036827195467422094,1
Sterling Brown,0.465,0.19747899159663865,0.361,0.1893939393939394,0.69,0.09259259259259259,0.24324324324324326,0.1308411214953271,0.18181818181818182,0.037037037037037035,0.16,0.15864022662889518,1
Troy Brown,0.415,0.15966386554621848,0.319,0.0984848484848485,0.681,0.12962962962962962,0.1891891891891892,0.14018691588785048,0.18181818181818182,0.037037037037037035,0.12,0.11331444759206798,1
Jalen Brunson,0.467,0.29411764705882354,0.348,0.1893939393939394,0.725,0.05555555555555555,0.1801801801801802,0.2990654205607477,0.22727272727272727,0.037037037037037035,0.24,0.24079320113314445,1
Thomas Bryant,0.616,0.2647058823529412,0.333,0.10606060606060606,0.781,0.2962962962962963,0.42342342342342343,0.12149532710280375,0.13636363636363635,0.3333333333333333,0.16,0.27478753541076484,1
