,Assister,Scorer,PTS
305,Trey Lyles,De'Aaron Fox,2
306,De'Aaron Fox,Chimezie Metu,2
307,Malik Monk,Terence Davis,3
308,Kevin Huerter,Malik Monk,3
309,Malik Monk,Domantas Sabonis,2
310,Domantas Sabonis,Harrison Barnes,2
311,Harrison Barnes,Domantas Sabonis,3
312,De'Aaron Fox,Kevin Huerter,3
313,Domantas Sabonis,Keegan Murray,2
314,De'Aaron Fox,Harrison Barnes,3
315,De'Aaron Fox,Kevin Huerter,2
316,Harrison Barnes,Keegan Murray,2
317,De'Aaron Fox,Domantas Sabonis,2
318,Kevin Huerter,Harrison Barnes,2
319,Kevin Huerter,Domantas Sabonis,2
320,Domantas Sabonis,Kevin Huerter,3
321,Davion Mitchell,Domantas Sabonis,3
322,De'Aaron Fox,Keegan Murray,3
323,Terence Davis,Chimezie Metu,2
324,De'Aaron Fox,Keegan Murray,3
325,Malik Monk,Chimezie Metu,2
326,Terence Davis,De'Aaron Fox,2
327,Domantas Sabonis,De'Aaron Fox,3
328,De'Aaron Fox,Kevin Huerter,3
329,Domantas Sabonis,Keegan Murray,2
330,De'Aaron Fox,Keegan Murray,2
331,Domantas Sabonis,Harrison Barnes,3
332,Harrison Barnes,Kevin Huerter,3
333,De'Aaron Fox,Malik Monk,2
334,Malik Monk,Chimezie Metu,2
335,Malik Monk,Terence Davis,3
336,Malik Monk,Davion Mitchell,2
337,Domantas Sabonis,Terence Davis,3
338,Kevin Huerter,Harrison Barnes,2
339,Terence Davis,Harrison Barnes,2
340,Terence Davis,Kevin Huerter,3
341,Davion Mitchell,Kevin Huerter,3
342,De'Aaron Fox,Domantas Sabonis,2
343,De'Aaron Fox,Terence Davis,3
344,Domantas Sabonis,Harrison Barnes,3
345,De'Aaron Fox,Terence Davis,2
346,De'Aaron Fox,Terence Davis,3
347,Harrison Barnes,De'Aaron Fox,2
348,Terence Davis,Domantas Sabonis,2
349,De'Aaron Fox,Domantas Sabonis,2
350,Domantas Sabonis,Kevin Huerter,2
351,Harrison Barnes,Terence Davis,3
352,Kevin Huerter,Trey Lyles,3
353,Domantas Sabonis,Trey Lyles,3
354,Domantas Sabonis,Kevin Huerter,3
355,Kevin Huerter,Trey Lyles,3
356,De'Aaron Fox,Terence Davis,2
357,Davion Mitchell,Terence Davis,2
358,Davion Mitchell,Malik Monk,3
359,Malik Monk,Terence Davis,3
360,Malik Monk,Trey Lyles,2
361,Malik Monk,Richaun Holmes,2
362,Matthew Dellavedova,Malik Monk,2
363,Matthew Dellavedova,Malik Monk,2
364,Matthew Dellavedova,KZ Okpala,2
365,Matthew Dellavedova,Alex Len,2
366,Terence Davis,Richaun Holmes,3
367,Terence Davis,De'Aaron Fox,3
368,Kevin Huerter,Harrison Barnes,3
369,Kevin Huerter,Terence Davis,3
370,Terence Davis,Kevin Huerter,3
371,Kevin Huerter,Domantas Sabonis,2
372,De'Aaron Fox,Trey Lyles,3
373,De'Aaron Fox,Trey Lyles,2
374,Terence Davis,Chimezie Metu,2
375,Davion Mitchell,Chimezie Metu,2
376,Davion Mitchell,Harrison Barnes,2
377,Kevin Huerter,Malik Monk,3
378,De'Aaron Fox,Malik Monk,3
379,Kevin Huerter,De'Aaron Fox,2
380,Harrison Barnes,Malik Monk,2
381,Malik Monk,Davion Mitchell,2
382,De'Aaron Fox,Malik Monk,3
383,Davion Mitchell,Malik Monk,3
384,De'Aaron Fox,Trey Lyles,2
385,De'Aaron Fox,Chimezie Metu,2
386,De'Aaron Fox,Malik Monk,2
387,Chimezie Metu,Trey Lyles,2
388,Kevin Huerter,Chimezie Metu,3
389,Malik Monk,Domantas Sabonis,2
390,Domantas Sabonis,Harrison Barnes,2
391,Davion Mitchell,Domantas Sabonis,3
392,De'Aaron Fox,Domantas Sabonis,2
393,Harrison Barnes,Kevin Huerter,2
394,KZ Okpala,Chima Moneke,2
395,Domantas Sabonis,Keegan Murray,3
396,Domantas Sabonis,Kevin Huerter,2
397,Harrison Barnes,Domantas Sabonis,2
398,Kevin Huerter,Harrison Barnes,2
399,Domantas Sabonis,Trey Lyles,3
400,De'Aaron Fox,Harrison Barnes,2
401,De'Aaron Fox,Malik Monk,2
402,Malik Monk,Chimezie Metu,2
403,Malik Monk,De'Aaron Fox,3
404,Malik Monk,De'Aaron Fox,2
405,Harrison Barnes,Kevin Huerter,3
406,Domantas Sabonis,De'Aaron Fox,2
407,De'Aaron Fox,Chimezie Metu,2
408,Kevin Huerter,De'Aaron Fox,2
409,Harrison Barnes,Keegan Murray,2
410,De'Aaron Fox,Domantas Sabonis,3
411,De'Aaron Fox,Keegan Murray,2
412,Davion Mitchell,Kevin Huerter,2
413,Davion Mitchell,Harrison Barnes,3
414,Davion Mitchell,Malik Monk,2
415,De'Aaron Fox,Terence Davis,3
416,Kevin Huerter,De'Aaron Fox,3
417,Domantas Sabonis,Kevin Huerter,3
418,Kevin Huerter,Keegan Murray,2
419,De'Aaron Fox,Kevin Huerter,2
420,Domantas Sabonis,Kevin Huerter,3
421,Kevin Huerter,Harrison Barnes,2
422,Keegan Murray,Kevin Huerter,2
423,Domantas Sabonis,Kevin Huerter,3
424,Keegan Murray,Harrison Barnes,3
425,Domantas Sabonis,Kevin Huerter,3
426,Domantas Sabonis,Harrison Barnes,2
427,Davion Mitchell,Harrison Barnes,3
428,Davion Mitchell,Malik Monk,3
429,Terence Davis,Domantas Sabonis,2
430,Davion Mitchell,Chimezie Metu,2
431,Malik Monk,Chimezie Metu,2
432,De'Aaron Fox,Chimezie Metu,2
433,De'Aaron Fox,Keegan Murray,2
434,De'Aaron Fox,Chimezie Metu,2
435,Kevin Huerter,Harrison Barnes,2
436,Malik Monk,Kevin Huerter,3
437,Domantas Sabonis,Malik Monk,3
438,Malik Monk,Domantas Sabonis,2
439,Domantas Sabonis,Kevin Huerter,3
440,Keegan Murray,Kevin Huerter,2
441,Domantas Sabonis,De'Aaron Fox,3
442,Domantas Sabonis,De'Aaron Fox,2
443,Domantas Sabonis,De'Aaron Fox,2
444,Domantas Sabonis,Kevin Huerter,3
445,Terence Davis,Malik Monk,2
446,De'Aaron Fox,Davion Mitchell,2
447,De'Aaron Fox,Chimezie Metu,2
448,Davion Mitchell,Malik Monk,2
449,Malik Monk,Harrison Barnes,3
450,De'Aaron Fox,Harrison Barnes,3
451,Kevin Huerter,Harrison Barnes,2
452,Domantas Sabonis,Kevin Huerter,3
453,Davion Mitchell,Trey Lyles,2
454,Davion Mitchell,Trey Lyles,2
455,Domantas Sabonis,Malik Monk,2
456,Malik Monk,Trey Lyles,3
457,De'Aaron Fox,Malik Monk,3
458,Trey Lyles,Malik Monk,2
459,De'Aaron Fox,Chimezie Metu,3
460,Malik Monk,Chimezie Metu,2
461,Domantas Sabonis,Malik Monk,2
462,De'Aaron Fox,Kevin Huerter,3
463,Kevin Huerter,Harrison Barnes,2
464,De'Aaron Fox,Domantas Sabonis,2
465,Harrison Barnes,Domantas Sabonis,2
466,Domantas Sabonis,Harrison Barnes,2
467,De'Aaron Fox,Kevin Huerter,3
468,Kevin Huerter,Domantas Sabonis,2
469,Kevin Huerter,Domantas Sabonis,2
470,Malik Monk,Davion Mitchell,2
471,Domantas Sabonis,Malik Monk,3
472,Trey Lyles,Malik Monk,2
473,Chimezie Metu,Davion Mitchell,2
474,Domantas Sabonis,Harrison Barnes,2
475,Domantas Sabonis,Malik Monk,2
476,Malik Monk,De'Aaron Fox,3
477,Kevin Huerter,Malik Monk,3
478,De'Aaron Fox,Harrison Barnes,2
479,Kevin Huerter,Domantas Sabonis,2
480,Domantas Sabonis,Malik Monk,2
481,Domantas Sabonis,Malik Monk,3
482,Malik Monk,De'Aaron Fox,3
483,Malik Monk,KZ Okpala,2
484,Terence Davis,Chimezie Metu,2
485,De'Aaron Fox,Malik Monk,2
486,Davion Mitchell,KZ Okpala,3
