District_Name,County_Name,District_Type,Enrollment_District,AmericanIndian_AlaskaNative,Asian,Black_AfricanAmerican,Filipino,Hispanic_Latino,NativeHawaiian_PacIslander,Two_orMoreRaces,NoneReported,White,Nonwhite,CAASPP-Math,CAASPP-ELA,FederalRevenue,StateRevenue,LocalRevenue,LCFF
Rosemead Elementary (Los Angeles),Los Angeles,Elementary School District,2438,0,49.6,0.4,1.3,38.6,0,0.3,7.9,1.9,98.1,55.85,60.35,861,1258,838,10131
Roseville City Elementary (Placer),Placer,Elementary School District,10850,0.5,7.3,2,4.6,23.2,0.4,6.2,4.1,51.7,48.3,52.82,63.8,363,939,606,8092
Roseville Joint Union High (Placer),Placer,High School District,10282,0.5,8.8,4,4,18.3,0.6,3.8,1.5,58.5,41.5,48.59,72.31,272,1026,905,9335
Ross Elementary (Marin),Marin,Elementary School District,387,0.3,1,0,0.3,6.2,0.5,3.9,1,86.8,13.2,81.13,81.06,198,1688,7119,12694
Ross Valley Elementary (Marin),Marin,Elementary School District,2094,0.2,2.5,0.9,0.3,9.8,0.1,6.2,0.7,79.2,20.8,69.84,78.24,237,966,3235,7937
Round Valley Joint Elementary (Inyo),Inyo,Elementary School District,143,8.4,0.7,0,0,20.3,1.4,6.3,0,62.9,37.1,72.09,61.63,719,819,378,8520
Round Valley Unified (Mendocino),Mendocino,Unified School District,459,58.2,0,0,0,28.8,0,1.1,0.4,11.5,88.5,11.34,21.43,6566,1066,1149,11985
Rowland Unified (Los Angeles),Los Angeles,Unified School District,14132,0.1,20.6,2.3,7.4,62.9,0.3,1.2,1.2,4,96,39.98,50.74,626,1448,370,9961
Sacramento City Unified (Sacramento),Sacramento,Unified School District,46595,0.5,16.5,15.7,1.4,39.5,2,6.6,0.6,17.2,82.8,31.98,40.03,1283,1825,309,9725
Sacramento County Office of Education (Sacramento),Sacramento,County Office of Education (COE),2216,1.4,3.1,49.6,0.8,27.6,0.9,6.1,1.5,8.9,91.1,2.84,5.41,N/A,N/A,N/A,N/A
Saddleback Valley Unified (Orange),Orange,Unified School District,27378,0.2,7.9,1.4,3.6,35.1,0.2,6.3,0.7,44.5,55.5,51.97,64.64,426,1582,169,8759
Saint Helena Unified (Napa),Napa,Unified School District,1192,0.5,0.9,0.3,0.1,50.6,0,1.1,0.2,46.3,53.7,45.36,63.9,411,1755,1259,25062
Salida Union Elementary (Stanislaus),Stanislaus,Elementary School District,3313,0.1,3.7,3,1.3,59.1,0.6,3.3,2.4,26.7,73.3,33.38,46.96,523,648,981,9775
