District_Name,County_Name,District_Type,Enrollment_District,AmericanIndian_AlaskaNative,Asian,Black_AfricanAmerican,Filipino,Hispanic_Latino,NativeHawaiian_PacIslander,Two_orMoreRaces,NoneReported,White,Nonwhite,CAASPP-Math,CAASPP-ELA,FederalRevenue,StateRevenue,LocalRevenue,LCFF
Victor Valley Union High (San Bernardino),San Bernardino,High School District,12969,0.9,1.9,18.1,1,57.8,0.5,3.4,2.8,13.6,86.4,18.29,37.63,1349,983,513,11033
Vineland Elementary (Kern),Kern,Elementary School District,732,0,0,0,0.4,98.4,0,0.4,0,0.8,99.2,14.48,24.77,893,1418,732,10940
Visalia Unified (Tulare),Tulare,Unified School District,28879,0.7,4.3,1.5,0.7,68.7,0.1,2.5,1.2,20.4,79.6,30.84,47.6,730,1036,575,9493
Vista del Mar Union (Santa Barbara),Santa Barbara,Elementary School District,75,0,0,0,0,38.7,0,1.3,60,0,100,37.78,66.67,257,1764,1537,16696
Vista Unified (San Diego),San Diego,Unified School District,24708,0.4,2.2,2.5,1.5,63.8,0.8,4.7,0.1,24.1,75.9,33.88,48.73,656,1026,1095,9602
Walnut Creek Elementary (Contra Costa),Contra Costa,Elementary School District,3593,0.2,15.3,2.3,2.1,14.2,0.2,8.3,0.5,56.9,43.1,70.96,73.46,293,1154,1085,7958
Walnut Valley Unified (Los Angeles),Los Angeles,Unified School District,14310,0.1,58,1.8,5.8,23.1,0.5,3.3,0.1,7.3,92.7,73.87,76.03,286,794,966,8548
Warner Unified (San Diego),San Diego,Unified School District,1737,7.3,6.6,1.5,0.9,29.6,0.1,8.3,1.9,43.7,56.3,15.38,24.36,3965,1886,5264,15617
Wasco Union Elementary (Kern),Kern,Elementary School District,3649,0.1,0.5,1.7,0.1,94.4,0.1,0.2,0.2,2.9,97.1,18.28,31.97,1160,1040,662,10120
Wasco Union High (Kern),Kern,High School District,1864,0,0.3,1.9,0.1,92.3,0,0.4,0.1,4.9,95.1,26.09,53.18,708,586,1173,11639
Washington Colony Elementary (Fresno),Fresno,Elementary School District,441,0,2.3,0,0,89.6,0,0.7,0,7.5,92.5,36.07,37.37,791,751,457,10063
Washington Unified (Fresno),Fresno,Unified School District,2975,0.6,7.6,7.7,0.1,77.1,0,0.6,0.6,5.6,94.4,22.01,37.47,1260,1173,1237,11425
Washington Unified (Yolo),Yolo,Unified School District,8281,0.6,13.1,5.5,2,44.2,1.3,4.1,0.1,29.1,70.9,30.46,44.32,535,986,520,9447
Washington Union Elementary (Monterey),Monterey,Elementary School District,890,0.1,6.3,0.6,1.7,21.5,0.3,6.4,0.7,62.5,37.5,62.31,73.68,206,834,991,7806
Waterford Unified (Stanislaus),Stanislaus,Unified School District,3967,0.7,4.6,2,0.6,45.9,0.3,5.5,1.5,38.9,61.1,24.44,45.09,818,646,2412,10922
Waugh Elementary (Sonoma),Sonoma,Elementary School District,877,0.1,5.5,1.4,0.9,23.5,0.2,9.5,1.6,57.4,42.6,64.38,72.32,237,889,888,8155
Waukena Joint Union Elementary (Tulare),Tulare,Elementary School District,219,0.5,0,0,0,85.8,0,1.4,0,12.3,87.7,40.14,40.14,771,966,27,10960
Weaver Union (Merced),Merced,Elementary School District,2816,0.4,14.8,3.9,0.5,68.6,0.4,2.1,0.3,8.8,91.2,34.23,38.76,783,1149,139,10248
Weed Union Elementary (Siskiyou),Siskiyou,Elementary School District,286,2.8,4.9,6.3,0.7,22.4,0,13.3,0,49.7,50.3,21.14,29.31,567,730,1366,10322
West Contra Costa Unified (Contra Costa),Contra Costa,Unified School District,31649,0.3,10.1,16,4.8,54.6,0.7,3,0.3,10.3,89.7,23.34,34.36,806,1784,816,9827
West Covina Unified (Los Angeles),Los Angeles,Unified School District,12754,0.5,9.7,6.1,3.8,65.5,0.4,1.7,0.9,11.5,88.5,38.61,52.89,566,1129,1321,9942
West Park Elementary (Fresno),Fresno,Elementary School District,660,0.8,6.1,0.9,0,80.5,0,0.6,1.1,10.2,89.8,12.04,24.15,851,975,976,10421
West Side Union Elementary (Sonoma),Sonoma,Elementary School District,182,0,0,0,0,34.1,0,3.3,0.5,62.1,37.9,52.75,52.17,418,977,1806,7985
West Sonoma County Union High (Sonoma),Sonoma,High School District,1959,0.8,2.7,1.2,0.5,22.9,0.4,2.7,0.8,68,32,42.2,64.79,470,1212,2817,10245
Western Placer Unified (Placer),Placer,Unified School District,9154,1,3.1,2.4,2.3,25.8,0.7,3.9,1.7,59,41,48.73,59.65,342,964,730,8501
Westminster (Orange),Orange,Elementary School District,9264,0.2,37.8,0.8,1,43.9,0.5,2.2,0.5,13,87,52.7,57.14,633,1165,793,9529
Westmorland Union Elementary (Imperial),Imperial,Elementary School District,372,0,0,0.3,0,95.7,0,0,0,4,96,22.59,30.6,1163,1327,700,10616
Westside Elementary (Fresno),Fresno,Elementary School District,1799,0.8,2.3,4.5,0.6,48.5,0.2,1.3,3,38.7,61.3,10,10.22,1398,1190,4496,13492
Westside Union Elementary (Los Angeles),Los Angeles,Elementary School District,9434,0.3,2.4,10.5,1.5,46.6,0.1,5.2,0.3,33.1,66.9,33.55,48.23,293,832,685,8154
Westwood Unified (Lassen),Lassen,Unified School District,175,6.3,0,2.9,0,12.6,0,2.3,0,76,24,32.91,47.5,805,1033,1099,12837
Wheatland (Yuba),Yuba,Elementary School District,1376,1,2.1,4.7,1.2,24.1,1.4,9.9,0,55.5,44.5,39.83,47.61,1862,1150,624,8709
Wheatland Union High (Yuba),Yuba,High School District,784,1,2,3.7,1.1,28.6,0.9,11.7,2.9,48,52,22.84,51.52,490,1034,671,9734
Whitmore Union Elementary (Shasta),Shasta,Elementary School District,926,2.4,2.2,0.6,0.3,13.1,0.2,4.8,3.6,72.9,27.1,redacted,redacted,2206,1065,4136,14095
Whittier City Elementary (Los Angeles),Los Angeles,Elementary School District,6104,0.2,0.4,0.6,0.5,91.7,0.2,0.5,2.4,3.6,96.4,37.86,46.56,676,709,672,9717
Whittier Union High (Los Angeles),Los Angeles,High School District,11851,0.2,1.1,0.9,1.2,88.4,0.2,0.3,0.1,7.7,92.3,29.38,57.32,741,1712,776,10866
William S. Hart Union High (Los Angeles),Los Angeles,High School District,25080,0.3,6.7,4.5,4.8,37.7,0.1,4.9,1.4,39.5,60.5,52.71,72.02,358,871,854,8767
Williams Unified (Colusa),Colusa,Unified School District,1357,0.3,0.9,0.4,0,93.8,0.1,0.2,0.4,3.9,96.1,16.41,19.88,761,1231,116,10760
Willits Unified (Mendocino),Mendocino,Unified School District,1895,7.1,1,1.1,0.2,28.3,0,3.1,4.2,55,45,17.92,23.62,791,1119,1279,10382
Willow Creek Elementary (Siskiyou),Siskiyou,Elementary School District,40,5,0,2.5,0,12.5,2.5,12.5,0,65,35,23.08,14.29,518,1121,2035,12508
Willow Grove Union Elementary (San Benito),San Benito,Elementary School District,14,0,7.1,0,0,85.7,0,0,0,7.1,92.9,redacted,redacted,941,4389,701,24132
Willows Unified (Glenn),Glenn,Unified School District,1444,2.4,4.6,0.7,0.4,49.3,0.3,1.6,0.3,40.5,59.5,18.97,24.97,406,668,298,9565
Wilmar Union Elementary (Sonoma),Sonoma,Elementary School District,257,1.2,0.8,0.4,0.4,17.9,0.4,3.1,0.4,75.5,24.5,60.68,64.1,430,923,1043,7863
Wilsona Elementary (Los Angeles),Los Angeles,Elementary School District,1308,1.3,0.2,10.6,0.2,68,0,4.1,0.2,15.3,84.7,16.14,24.49,948,1150,804,10786
Windsor Unified (Sonoma),Sonoma,Unified School District,5176,0.9,1.3,0.7,0.3,51.1,0.4,2.7,0.2,42.4,57.6,31.23,44.95,466,1267,1598,8965
Winship-Robbins (Sutter),Sutter,Elementary School District,1787,0.6,1.4,1.7,0.7,18.3,0.1,7,3.5,66.8,33.2,42.7,53.93,1184,1360,7259,10488
Winters Joint Unified (Yolo),Yolo,Unified School District,1531,0.4,0.8,1.4,0.3,66.4,0.1,0.8,0,29.6,70.4,24.11,38.16,475,1164,899,9691
Winton (Merced),Merced,Elementary School District,1941,0.6,4.5,1,0.1,85.8,0,0.2,0.5,7.3,92.7,35.4,47.24,754,1363,187,10313
Wiseburn Unified (Los Angeles),Los Angeles,Unified School District,4495,0.2,3.6,14,1.2,53.4,0.6,6.9,2,18.2,81.8,54.92,72.08,391,1226,1332,8203
Woodlake Unified (Tulare),Tulare,Unified School District,2135,0.3,0.8,0.4,0,91.5,0,0.1,0.1,6.8,93.2,24.64,32.03,1000,1214,852,11044
Woodland Joint Unified (Yolo),Yolo,Unified School District,10041,0.5,5.2,1.4,0.6,68.1,0.4,1.4,0.7,21.7,78.3,28.53,40.15,537,1233,575,9497
Woodside Elementary (San Mateo),San Mateo,Elementary School District,411,0,4.4,2.7,0.2,10.9,1.7,10,0.5,69.6,30.4,84.41,87.07,168,1536,6057,18697
Woodville Union Elementary (Tulare),Tulare,Elementary School District,434,0,0,0,0,98.2,0,0,0.2,1.6,98.4,16.73,17.09,1361,1400,468,10605
Wright Elementary (Sonoma),Sonoma,Elementary School District,1567,1.1,6.8,3.1,1.7,64.3,0.3,3.3,0,19.5,80.5,34.77,52.43,573,1116,869,9884
Yolo County Office of Education (Yolo),Yolo,County Office of Education (COE),634,0.2,2.2,1.6,0.5,28.4,0.3,1.1,0,65.8,34.2,0,8.33,N/A,N/A,N/A,N/A
Yosemite Unified (Madera),Madera,Unified School District,2176,3.3,1.6,1,0.4,18.7,0.1,6.6,0.3,68.2,31.8,33.93,49.74,533,951,457,9693
Yreka Union Elementary (Siskiyou),Siskiyou,Elementary School District,999,15.3,3.2,0.4,0.2,16.8,0.1,7.5,0.1,56.4,43.6,35.51,40.71,927,873,657,9117
Yreka Union High (Siskiyou),Siskiyou,High School District,612,5.6,2.1,0.7,0,13.7,0,11.4,0.5,66,34,42.47,67.55,759,1229,1892,12354
Yuba City Unified (Sutter),Sutter,Unified School District,13236,0.6,19,1.7,0.5,44.4,0.3,5,0.8,27.5,72.5,28.45,46.17,654,1114,362,9599
Yuba County Office of Education (Yuba),Yuba,County Office of Education (COE),622,4.2,2.1,2.1,0,31.7,0,10.1,0.3,49.5,50.5,3.45,14.16,N/A,N/A,N/A,N/A
Yucaipa-Calimesa Joint Unified (San Bernardino),San Bernardino,Unified School District,10063,0.5,1.5,1.5,0.6,41.8,0.1,0.9,0.1,53,47,35.21,49.56,601,950,704,8862
,,,,,,,,,,,,,,,,,,,
