Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
50,Phil Chenier,SG,29,WSB,20,,23.5,4.2,10.7,0.393,0.2,0.3,0.5,4.1,10.4,0.389,0.4,1.6,2.1,0.756,0.5,1.7,2.2,2.1,0.9,0.3,1.5,1.3,10.1
50,Phil Chenier,SG,29,IND,23,,16.5,2.3,5.9,0.385,0.1,0.3,0.333,2.2,5.6,0.388,0.393,0.8,1.1,0.692,0.4,1.1,1.5,2,0.7,0.4,1.1,1.3,5.4
51,Jim Chones,C,30,LAL,82,,29.2,4.5,9.3,0.489,0,0,0,4.5,9.2,0.491,0.489,1.5,2.1,0.74,1.7,5.1,6.9,1.8,0.7,0.8,2.1,3.3,10.6
52,Jim Cleamons,PG,30,TOT,79,,22.6,2.7,5.7,0.476,0.1,0.4,0.226,2.6,5.3,0.494,0.483,1.1,1.4,0.743,0.7,1.3,1.9,3.6,0.7,0.1,1.4,1.7,6.6
52,Jim Cleamons,PG,30,NYK,22,,11.5,1.4,3.1,0.435,0.1,0.4,0.375,1.2,2.8,0.443,0.457,0.5,0.7,0.8,0.5,0.4,0.9,1.8,0.6,0.1,0.8,0.6,3.4
52,Jim Cleamons,PG,30,WSB,57,,26.9,3.2,6.7,0.483,0.1,0.4,0.174,3.2,6.3,0.503,0.488,1.3,1.7,0.735,0.8,1.6,2.3,4.4,0.8,0.2,1.6,2.1,7.8
53,Doug Collins,SG,28,PHI,36,,26.8,5.3,11.4,0.466,0,0,0,5.3,11.4,0.467,0.466,3.1,3.4,0.911,0.8,1.8,2.6,2.8,0.8,0.2,2.3,2.1,13.8
54,Jeff Cook,PF,23,PHO,66,,13.7,2,4.2,0.469,0,0,0,2,4.1,0.474,0.469,1.6,2,0.806,1.4,2.3,3.7,1.3,0.4,0.3,1.1,1.5,5.5
55,Michael Cooper,SG,23,LAL,82,,24.1,3.7,7,0.524,0.1,0.2,0.25,3.6,6.8,0.534,0.529,1.4,1.7,0.776,1.2,1.6,2.8,2.7,1,0.5,1.7,2.6,8.8
56,Wayne Cooper,PF,23,GSW,79,,22.5,4.6,9.5,0.489,0,0.1,0.25,4.6,9.4,0.491,0.49,1.7,2.3,0.751,2.6,3.9,6.4,0.5,0.3,1,1.8,3.1,11
57,Hollis Copeland,SF,24,NYK,75,,15.2,2.4,4.9,0.495,0,0,0,2.4,4.9,0.497,0.495,0.8,1.1,0.733,0.9,1.1,2.1,1.1,0.8,0.3,1.1,2.1,5.7
58,Dave Corzine,C,23,WSB,78,,10.6,1.2,2.8,0.417,0,0,,1.2,2.8,0.417,0.417,0.6,0.9,0.662,1.3,2.1,3.5,0.8,0.1,0.4,0.8,1.5,2.9
59,John Coughran,SF,28,GSW,24,,6.7,1.2,3.4,0.358,0.1,0.4,0.222,1.1,3,0.375,0.37,0.3,0.6,0.571,0.1,0.7,0.8,0.5,0.3,0,0.5,1,2.8
60,Dave Cowens*,C,31,BOS,66,55,32.7,6.4,14.1,0.453,0,0.2,0.083,6.4,13.9,0.458,0.453,1.4,1.8,0.779,1.9,6.2,8.1,3.1,1,0.9,1.6,3.3,14.2
61,Charlie Criss,PG,31,ATL,81,,22.1,3.1,7.1,0.431,0,0.2,0.059,3.1,6.9,0.442,0.432,2.1,2.6,0.811,0.3,1.1,1.4,3,0.9,0,1.6,1.6,8.3
62,Terry Crosby,PG,23,KCK,4,,7,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0.5,0.5,1,0,0.3,0.3,1.8,0,0,1.3,1,1.5
63,Pat Cummings,C,23,MIL,71,,12.7,2.6,5.2,0.505,0,0,,2.6,5.2,0.505,0.505,1.3,1.7,0.764,1.1,2.2,3.4,0.7,0.3,0.2,1,2,6.6
64,Bob Dandridge,SF,32,WSB,45,,32.4,7.3,16.2,0.451,0,0.2,0.182,7.3,16,0.455,0.453,2.7,3.4,0.809,1.4,4.1,5.5,4,0.6,0.8,2.7,2.5,17.4
65,Adrian Dantley*,SF,23,UTA,68,,39.3,10.7,18.6,0.576,0,0,0,10.7,18.6,0.577,0.576,6.5,7.7,0.842,2.7,4.9,7.6,2.8,1.4,0.2,3.4,3.1,28
66,Brad Davis,PG,24,TOT,18,,14.9,1.9,3.5,0.556,0,0.1,0,1.9,3.4,0.565,0.556,0.7,0.9,0.813,0.2,0.7,0.9,2.8,0.7,0.1,0.8,1.6,4.6
66,Brad Davis,PG,24,IND,5,,8.6,0.4,1.4,0.286,0,0,,0.4,1.4,0.286,0.286,0.6,0.8,0.75,0,0.4,0.4,1,0.6,0,0.6,1.4,1.4
66,Brad Davis,PG,24,UTA,13,,17.3,2.5,4.3,0.589,0,0.1,0,2.5,4.2,0.6,0.589,0.8,0.9,0.833,0.3,0.8,1.2,3.5,0.8,0.1,0.8,1.6,5.8
67,Harry Davis,SF,24,SAS,4,,7.5,1.5,3,0.5,0,0,,1.5,3,0.5,0.5,0.3,0.5,0.5,0.5,1,1.5,0,0.3,0,0.8,2,3.3
68,Johnny Davis,PG,24,IND,82,,35.5,6,14.1,0.428,0,0.5,0.095,6,13.6,0.44,0.43,3.7,4.3,0.864,1.2,1.5,2.8,5.4,1.3,0.3,2.5,2.2,15.9
69,Walter Davis,SF,25,PHO,75,,30.8,8.8,15.5,0.563,0,0.1,0,8.8,15.5,0.565,0.563,4,4.9,0.819,1,2.6,3.6,4.5,1.5,0.3,3.2,2.7,21.5
70,Darryl Dawkins,C,23,PHI,80,,31.8,6.2,11.8,0.522,0,0.1,0,6.2,11.8,0.526,0.522,2.4,3.6,0.653,2.5,6.2,8.7,1.9,0.6,1.8,2.9,4.1,14.7
71,Paul Dawkins,SF,22,UTA,57,,13.6,2.5,5.3,0.47,0,0.1,0.2,2.5,5.2,0.475,0.472,0.6,0.8,0.688,0.7,1.5,2.2,1.4,0.6,0.2,1.3,2,5.5
72,Greg Deane,SG,22,UTA,7,,6.9,0.3,1.6,0.182,0.1,0.1,1,0.1,1.4,0.1,0.227,0.7,1,0.714,0.3,0.6,0.9,0.9,0,0,0.4,0.4,1.4
73,Larry Demic,PF,22,NYK,82,,22.8,2.8,6.4,0.436,0,0,,2.8,6.4,0.436,0.436,1.3,2.2,0.601,2.4,3.5,5.9,0.8,0.7,0.4,2,3.7,7
74,Coby Dietrick,C,31,CHI,79,,23.2,2.9,6.3,0.454,0,0.1,0.111,2.9,6.2,0.46,0.455,1.1,1.5,0.763,1.3,3.3,4.6,2.7,1.1,0.6,1.4,2.9,6.9
75,Leon Douglas,C,25,DET,70,,25.5,3.2,6.5,0.486,0,0,0,3.2,6.5,0.487,0.486,1.8,2.6,0.676,2.4,4.7,7.2,1.7,0.4,0.9,1.8,3.6,8.1
76,John Drew,SF,25,ATL,80,,28.8,6.7,14.8,0.453,0,0.1,0,6.7,14.7,0.455,0.453,6.1,8.1,0.757,2.5,3.4,5.9,1.3,1.1,0.3,3,3.9,19.5
77,Terry Duerod,SG,23,DET,67,,19.9,4.2,8.9,0.472,0.2,0.8,0.283,4,8.1,0.49,0.484,0.7,1,0.682,0.4,1,1.5,1.7,0.6,0.2,1.2,1.5,9.3
78,Mike Dunleavy,PG,25,HOU,51,,20.3,2.9,6.3,0.464,0.1,0.4,0.15,2.8,5.9,0.485,0.469,2.2,2.6,0.828,0.5,1.5,2,4.1,0.8,0.1,2.2,2.4,8
79,T.R. Dunn,SG,24,POR,82,,22.5,2.9,6.7,0.436,0,0,0,2.9,6.7,0.438,0.436,1,1.4,0.757,1.6,2.3,4,1.8,1.2,0.4,1.1,1.8,6.9
80,James Edwards,C,24,IND,82,,28.2,6.4,12.6,0.512,0,0,0,6.4,12.6,0.512,0.512,2.8,4.1,0.681,2.2,4.9,7,1.5,0.7,1.3,1.6,4,15.7
81,Bob Elliott,PF,24,NJN,54,,13.4,1.9,4.2,0.443,0,0.1,0.25,1.9,4.1,0.446,0.445,1.9,2.8,0.684,1.2,2.2,3.4,1,0.5,0.3,1.6,1.8,5.7
82,Bo Ellis,PF,25,DEN,48,,10.5,1.3,2.8,0.449,0,0.1,0,1.3,2.8,0.459,0.449,0.8,1.1,0.755,1.1,1.4,2.4,0.6,0.2,0.5,0.5,1.4,3.4
83,Len Elmore,C,27,KCK,58,,15.8,1.8,4.2,0.43,0,0,,1.8,4.2,0.43,0.43,0.9,1.3,0.689,1.3,3.2,4.4,1.1,0.7,0.7,1.2,2.7,4.5
84,Alex English*,SF,26,TOT,78,,30.8,7.1,14.3,0.497,0,0.1,0.333,7.1,14.2,0.498,0.498,2.7,3.4,0.789,3.4,4.3,7.8,2.9,0.9,0.8,2.7,2.6,16.9
84,Alex English*,SF,26,IND,54,,28.3,6.4,12.7,0.504,0,0.1,0,6.4,12.6,0.507,0.504,2.1,2.6,0.814,3.1,3.9,7,2.6,0.8,0.6,2.3,2.4,14.9
84,Alex English*,SF,26,DEN,24,,36.5,8.6,17.8,0.485,0.1,0.1,0.667,8.5,17.7,0.483,0.487,4,5.3,0.762,4.3,5.1,9.4,3.4,1.2,1.2,3.8,3.3,21.3
85,Julius Erving*,SF,29,PHI,78,,36.1,10.7,20.7,0.519,0.1,0.3,0.2,10.7,20.4,0.523,0.52,5.4,6.8,0.787,2.8,4.6,7.4,4.6,2.2,1.8,3.6,2.7,26.9
86,Earl Evans,PF,24,DET,36,,10.6,1.8,3.9,0.45,0.2,0.5,0.389,1.6,3.4,0.459,0.475,0.7,1.2,0.571,0.7,1.4,2.1,1,0.4,0,1,1.8,4.4
87,Mike Evans,SG,24,SAS,79,,15.8,2.6,5.9,0.448,0.2,0.5,0.286,2.5,5.3,0.464,0.461,0.7,1.1,0.682,0.4,1,1.4,2.9,0.8,0.1,1.6,2.5,6.2
88,Eric Fernsten,PF,26,BOS,56,0,7.7,1.3,2.7,0.464,0,0,,1.3,2.7,0.464,0.464,0.6,0.9,0.635,0.7,1,1.7,0.5,0.3,0.2,0.4,0.8,3.1
89,Chris Ford,SG,31,BOS,73,73,29,4.5,9.7,0.465,1,2.2,0.427,3.6,7.5,0.477,0.515,1.2,1.6,0.754,1.1,1.4,2.5,2.9,1.5,0.4,1.4,2.4,11.2
90,Don Ford,SF,27,TOT,73,,13.7,1.8,3.8,0.478,0,0,0.333,1.8,3.7,0.48,0.48,0.6,0.7,0.849,0.6,1.9,2.5,0.9,0.3,0.3,0.7,1.8,4.2
90,Don Ford,SF,27,LAL,52,,11.2,1.3,2.5,0.508,0,0,0,1.3,2.5,0.512,0.508,0.4,0.5,0.821,0.4,1.4,1.9,0.7,0.2,0.3,0.6,1.7,3
90,Don Ford,SF,27,CLE,21,,20,3.1,6.9,0.451,0,0.1,0.5,3,6.8,0.451,0.455,1,1.2,0.88,1,3.1,4.1,1.4,0.5,0.3,1,2.1,7.3
91,Phil Ford,PG,23,KCK,82,,32,6,12.9,0.462,0,0.3,0.174,5.9,12.6,0.469,0.464,4.2,5.2,0.818,0.4,1.7,2.1,7.4,1.7,0,3.4,2.5,16.2
92,Walt Frazier*,PG,34,CLE,3,,9,1.3,3.7,0.364,0,0.3,0,1.3,3.3,0.4,0.364,0.7,0.7,1,0.3,0.7,1,2.7,0.7,0.3,1.3,0.7,3.3
93,World B. Free,SG,26,SDC,68,,38,10.8,22.9,0.474,0.1,0.4,0.36,10.7,22.5,0.476,0.477,8.4,11.2,0.753,1.9,1.6,3.5,4.2,1.2,0.5,3.4,2.9,30.2
94,Terry Furlow,SG,25,TOT,76,,27.9,5.7,12.2,0.464,0.3,1.1,0.293,5.3,11.1,0.481,0.477,2.3,2.6,0.872,0.9,1.6,2.6,3.9,1,0.3,2.1,1.3,13.9
