Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
219,Rick Robey,C,24,BOS,82,27,23.4,4.6,8.9,0.521,0,0,0,4.6,8.9,0.522,0.521,2.2,3.3,0.684,2.5,3.9,6.5,1.1,0.6,0.2,1.8,3,11.5
220,Cliff Robinson,PF,19,NJN,70,,23.7,5.6,11.9,0.469,0,0.1,0.25,5.6,11.8,0.47,0.47,2.4,3.5,0.694,2.5,4.7,7.2,1.4,0.9,0.5,2,2.5,13.6
221,Jackie Robinson,SF,24,DET,7,,7.3,1.3,2.4,0.529,0,0.1,0,1.3,2.3,0.563,0.529,1.3,1.6,0.818,0.4,0.3,0.7,0,0.4,0.4,0.3,1.1,3.9
222,Truck Robinson,PF,28,PHO,82,,33,6.6,13,0.512,0,0,,6.6,13,0.512,0.512,4,5.9,0.667,2.6,6.8,9.4,1.7,0.7,0.7,3.1,3.2,17.3
223,Bill Robinzine,PF,27,KCK,81,,23.7,4.5,8.9,0.501,0,0,0.5,4.5,8.9,0.501,0.501,2.5,3.4,0.73,2.3,4.2,6.5,0.8,1.3,0.3,1.8,3.8,11.4
224,Dave Robisch,C,30,CLE,82,,32.6,6,11.5,0.52,0,0,0,6,11.4,0.522,0.52,3.4,4,0.842,2.7,5.3,8,2.3,0.6,0.6,1.7,2.6,15.3
225,John Roche,PG,30,DEN,82,,27.9,4.3,9,0.478,0.6,1.6,0.38,3.7,7.5,0.498,0.511,2.1,2.5,0.866,0.3,1.1,1.4,4.9,1,0.1,1.9,1.7,11.4
226,Tree Rollins,C,24,ATL,82,,25.9,3.5,6.3,0.558,0,0,,3.5,6.3,0.558,0.558,1.9,2.7,0.714,3.5,6,9.4,0.9,0.7,3,1.2,3.9,8.9
227,Dan Roundfield,PF,26,ATL,81,,32,6.2,12.4,0.499,0,0,0,6.2,12.4,0.5,0.499,4.1,5.7,0.71,3.6,6.7,10.3,2.3,1.2,1.7,2.9,3.9,16.5
228,Campy Russell,SF,28,CLE,41,,32.5,6.9,15.4,0.451,0,0.2,0.111,6.9,15.1,0.456,0.452,4.3,5.8,0.745,1.9,3.6,5.5,4.2,1.8,0.5,3.6,2.8,18.2
229,Alvin Scott,SF,24,PHO,79,,16.5,1.6,3.8,0.422,0,0,0.333,1.6,3.8,0.423,0.424,1.2,1.5,0.779,1.1,1.8,2.9,1.2,0.6,0.7,1.2,1.3,4.4
230,Charlie Scott*,SG,31,DEN,69,,27,4,10,0.401,0,0.2,0.182,4,9.8,0.405,0.403,1.2,1.7,0.72,0.7,1.7,2.4,3.6,0.7,0.3,2.4,2.9,9.3
231,Lonnie Shelton,PF,24,SEA,76,,29.5,5.6,10.6,0.53,0,0.1,0.2,5.6,10.5,0.532,0.531,2.4,3.2,0.763,2.6,5,7.7,1.9,1.2,1,2.2,3.8,13.6
232,Purvis Short,SF,22,GSW,62,,26.4,7.4,14.8,0.503,0,0.1,0,7.4,14.7,0.507,0.503,2.2,2.7,0.812,1.9,3.2,5.1,2,1,0.1,2,3,17
233,John Shumate,PF,27,TOT,65,,20.6,3.2,6,0.528,0,0,0,3.2,6,0.529,0.528,2.5,3.3,0.764,1.7,3.9,5.6,1.3,0.6,0.7,1.4,1.9,8.9
233,John Shumate,PF,27,DET,9,,25.3,3.9,7.2,0.538,0,0,,3.9,7.2,0.538,0.538,1.9,2.8,0.68,2,5.8,7.8,1,1,0.6,1.6,1.8,9.7
233,John Shumate,PF,27,HOU,29,,11.4,1.2,2.2,0.531,0,0,,1.2,2.2,0.531,0.531,1.1,1.5,0.75,0.9,1.9,2.7,0.8,0.3,0.3,0.9,1.3,3.5
233,John Shumate,PF,27,SAS,27,,28.8,5.1,9.7,0.525,0,0,0,5.1,9.7,0.527,0.525,4.3,5.4,0.782,2.4,5.5,7.9,1.9,0.9,1.1,1.9,2.6,14.5
234,Jack Sikma*,C,24,SEA,82,,34.1,5.7,12.1,0.475,0,0,0,5.7,12,0.476,0.475,2.9,3.6,0.805,2.4,8.7,11.1,3.4,0.8,0.9,2.5,2.8,14.3
235,James Silas,PG,30,SAS,77,,29.8,6.7,13,0.514,0,0.1,0,6.7,12.9,0.516,0.514,4.4,5,0.887,0.6,1.6,2.2,4.5,0.8,0.2,2.5,2.7,17.7
236,Paul Silas,PF,36,SEA,82,,19.5,1.4,3.6,0.378,0,0,,1.4,3.6,0.378,0.378,1.1,1.7,0.654,2.5,2.8,5.3,0.8,0.3,0.1,1,1.5,3.8
237,Ralph Simpson,SG,30,NJN,8,,10.1,2.3,5.9,0.383,0,0.3,0,2.3,5.6,0.4,0.383,0.6,1.3,0.5,0.8,0.6,1.4,1.8,1.1,0,1.5,0.4,5.1
238,Al Skinner,SG,27,PHI,2,,5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0,0,1,0,0,1,0.5,1
239,Bingo Smith,SF-SG,33,TOT,78,,27.2,4.9,11.4,0.432,0.3,1,0.284,4.6,10.4,0.447,0.445,1.3,1.5,0.87,1.2,2.1,3.3,1.3,0.8,0.2,1,2.7,11.4
239,Bingo Smith,SG,33,CLE,8,,16.9,4.1,9,0.458,0.1,0.6,0.2,4,8.4,0.478,0.465,0.9,1,0.875,0.3,1.5,1.8,0.9,0.4,0.3,1.1,2.6,9.3
239,Bingo Smith,SF,33,SDC,70,,28.4,5,11.7,0.43,0.3,1.1,0.289,4.7,10.6,0.444,0.443,1.3,1.5,0.869,1.3,2.2,3.5,1.3,0.8,0.2,1,2.7,11.7
240,Phil Smith,SG,27,GSW,51,,30.4,6.4,13.4,0.474,0.1,0.4,0.318,6.2,13,0.48,0.48,2.6,3.4,0.789,0.5,2.3,2.9,3.7,1.2,0.3,2.4,3,15.5
241,Randy Smith,SG,31,CLE,82,,32.6,7.3,16.2,0.452,0.1,0.6,0.189,7.2,15.5,0.463,0.456,2.8,3.5,0.823,1.1,2,3.1,4.4,1.5,0.1,2.4,2.3,17.6
242,Robert Smith,PG,24,TOT,65,,12.4,1.8,4.1,0.439,0.1,0.4,0.308,1.7,3.7,0.453,0.454,1.2,1.4,0.87,0.3,0.9,1.2,1.4,0.4,0.1,0.8,1.6,5
242,Robert Smith,PG,24,UTA,6,,12.2,0.8,2.5,0.333,0,0,,0.8,2.5,0.333,0.333,0.8,0.8,1,0.5,0,0.5,1.2,0.7,0,0.2,0.5,2.5
242,Robert Smith,PG,24,NJN,59,,12.5,1.9,4.3,0.445,0.1,0.4,0.308,1.8,3.9,0.461,0.461,1.3,1.5,0.862,0.3,1,1.3,1.4,0.4,0.1,0.9,1.7,5.2
243,Sam Smith,SF,25,CHI,30,,16.5,3.2,7.7,0.422,0.3,1.2,0.229,3,6.5,0.456,0.439,1.9,2.1,0.905,0.7,1.1,1.8,1.4,0.8,0.2,1.1,1.8,8.6
244,Willie Smith,PG,26,CLE,62,,17,2,5.1,0.384,0.3,1.1,0.239,1.7,3.9,0.426,0.411,0.6,0.8,0.769,0.9,1,2,4.2,1.2,0,1.5,1.8,4.8
245,Ricky Sobers,PG,27,CHI,82,,32.6,5.7,12.2,0.469,0.3,0.8,0.309,5.5,11.4,0.481,0.48,2.4,2.9,0.837,0.9,2,3,5.2,1.7,0.2,3.4,3.6,14.2
246,Jim Spanarkel,SG,22,PHI,40,,11.1,1.8,3.8,0.471,0,0.1,0,1.8,3.8,0.477,0.471,1.4,1.6,0.831,0.7,0.7,1.4,1.3,0.3,0.2,1.4,1.5,5
247,Larry Steele,SF,30,POR,16,,27.9,3.9,9.1,0.425,0,0.3,0,3.9,8.9,0.437,0.425,1.4,1.7,0.815,0.8,2,2.8,4.2,1.6,0.1,2.1,3.3,9.1
248,Earl Tatum,SG,26,CLE,33,,6.8,1.1,2.8,0.383,0.1,0.2,0.333,1,2.7,0.386,0.394,0.3,0.6,0.579,0.3,0.5,0.8,0.6,0.5,0.2,0.5,0.9,2.6
249,Brian Taylor,PG,28,SDC,78,,35.3,5.4,11.5,0.467,1.2,3.1,0.377,4.2,8.4,0.5,0.517,1.7,2.1,0.802,1,1.4,2.4,4.3,1.9,0.3,1.8,3.2,13.5
250,Reggie Theus,SG,22,CHI,82,,36.9,6.9,14.3,0.483,0.3,1.3,0.267,6.6,13,0.504,0.495,6.1,7.3,0.838,1.7,2.3,4,6.3,1.4,0.2,4.2,3.2,20.2
251,David Thompson*,SG,25,DEN,39,,31.8,7.4,15.8,0.468,0.2,0.5,0.368,7.2,15.3,0.472,0.474,6.5,8.6,0.758,1.4,3,4.5,3.2,1,1,3,2.7,21.5
252,Rudy Tomjanovich,PF,31,HOU,62,,29.6,6,12.5,0.476,0.4,1.3,0.278,5.6,11.3,0.498,0.49,1.9,2.4,0.803,2.1,3.6,5.8,1.8,0.5,0.2,1.6,2.6,14.2
253,Bernard Toone,PF,23,PHI,23,,5.4,1,2.8,0.359,0,0.3,0.143,1,2.5,0.386,0.367,0.3,0.4,0.8,0.5,1,1.5,0.5,0.2,0.2,0.7,0.9,2.4
254,Raymond Townsend,SG,24,GSW,75,,15.5,2.3,5.6,0.406,0.1,0.3,0.154,2.2,5.3,0.423,0.411,0.8,1.1,0.714,0.4,0.7,1.2,1.5,0.8,0.1,0.9,1.5,5.4
255,Dave Twardzik,PG,29,POR,67,,23.8,2.7,5.9,0.464,0.1,0.1,0.571,2.7,5.8,0.463,0.47,2.9,3.8,0.782,0.8,1.6,2.3,4.1,1.1,0,2,2.2,8.5
256,Terry Tyler,SF,23,DET,82,,32.6,5.2,11.3,0.465,0,0.1,0.167,5.2,11.1,0.469,0.466,1.7,2.3,0.765,2.8,4.9,7.6,1.6,1.3,2.7,2.1,2.9,12.3
257,Wes Unseld*,C,33,WSB,82,,36.3,4,7.8,0.513,0,0,0.5,4,7.7,0.513,0.514,1.7,2.5,0.665,4.1,9.3,13.3,4.5,0.8,0.7,1.9,3,9.7
258,Jan van Breda Kolff,SF,28,NJN,82,,29.3,2.6,5.6,0.463,0.1,0.2,0.35,2.5,5.3,0.468,0.471,1.6,1.9,0.839,1.3,4,5.2,3,1.2,0.9,1.9,3.7,6.8
259,Andre Wakefield,SG,25,UTA,8,,5.9,0.8,1.9,0.4,0,0,,0.8,1.9,0.4,0.4,0.4,0.4,1,0,0.5,0.5,0.4,0.1,0,1,1.6,1.9
260,Foots Walker,PG,28,CLE,76,,31.9,3.4,7.5,0.454,0,0.1,0.111,3.4,7.4,0.46,0.455,2.6,3.2,0.802,1,2.8,3.8,8,2,0.2,2.1,2.7,9.4
261,Wally Walker,SF,25,SEA,70,,12.1,2,3.9,0.507,0,0,,2,3.9,0.507,0.507,0.7,0.9,0.75,0.9,1.5,2.4,0.8,0.3,0.1,0.7,1.5,4.7
262,Bill Walton*,C,27,SDC,14,,24.1,5.8,11.5,0.503,0,0,,5.8,11.5,0.503,0.503,2.3,3.9,0.593,2,7,9,2.4,0.6,2.7,2.6,2.6,13.9
263,Lloyd Walton,PG,26,MIL,76,,16.4,1.4,3.2,0.455,0,0,0.333,1.4,3.1,0.456,0.457,0.6,0.9,0.69,0.4,0.8,1.2,3.8,0.6,0,1.5,0.9,3.6
264,Kermit Washington,PF,28,POR,80,,33.2,5.3,9.5,0.553,0,0,0,5.3,9.5,0.555,0.553,2.9,4.5,0.642,4.1,6.5,10.5,2.1,0.9,1.6,2.1,3.8,13.4
265,Richard Washington,PF,24,MIL,75,,14.6,2.6,5.6,0.468,0,0,,2.6,5.6,0.468,0.468,0.6,1,0.605,1.3,2.4,3.7,0.7,0.3,0.6,0.8,2.2,5.9
266,Nick Weatherspoon,SF,29,SDC,57,,19.7,2.9,6.6,0.434,0,0,,2.9,6.6,0.434,0.434,1.1,1.6,0.692,1.5,2.2,3.6,0.9,0.6,0.3,1.5,2.4,6.9
267,Marvin Webster,C,27,NYK,20,,14.9,1.9,4,0.481,0,0,,1.9,4,0.481,0.481,0.6,0.8,0.75,1.4,2.6,4,0.5,0.2,0.6,1,2,4.4
268,Scott Wedman,SF,27,KCK,68,,34.5,8.4,16.4,0.512,0.1,0.3,0.318,8.3,16,0.516,0.515,2.1,2.7,0.801,1.7,4,5.7,2.1,1.2,0.7,1.6,3.4,19
269,Paul Westphal*,SG,29,PHO,82,,32.5,8.4,16.1,0.525,0.3,1.1,0.28,8.1,14.9,0.544,0.535,4.7,5.4,0.862,0.6,1.7,2.3,5.1,1.5,0.4,2.5,2,21.9
270,Jo Jo White*,PG,33,GSW,78,,26.3,4.3,9.1,0.476,0,0.1,0.167,4.3,9,0.479,0.477,1.2,1.5,0.851,0.5,1.8,2.3,3.1,1.1,0.2,2,2.4,9.9
271,Rudy White,SG,26,HOU,9,,11.8,1.4,2.7,0.542,0,0,,1.4,2.7,0.542,0.542,1.1,1.4,0.769,0,1,1,0.6,0.6,0,0.9,0.9,4
272,Jerome Whitehead,C,23,TOT,50,,11.1,1.2,2.3,0.509,0,0,,1.2,2.3,0.509,0.509,0.2,0.7,0.286,1.1,2.2,3.3,0.5,0.2,0.3,0.7,1.9,2.5
272,Jerome Whitehead,C,23,SDC,18,,12.5,1.5,2.5,0.6,0,0,,1.5,2.5,0.6,0.6,0.3,1,0.278,1.6,2.3,3.9,0.3,0.1,0.3,0.4,1.8,3.3
272,Jerome Whitehead,C,23,UTA,32,,10.3,1,2.2,0.449,0,0,,1,2.2,0.449,0.449,0.2,0.5,0.294,0.8,2.2,3,0.6,0.2,0.3,0.9,2,2.1
273,Sidney Wicks,PF,30,SDC,71,,30.2,3,7,0.423,0,0,0,3,7,0.424,0.423,1.2,2.1,0.546,1.9,3.8,5.8,3,1.1,0.7,2.4,3.4,7.1
274,Bob Wilkerson,SF,25,DEN,75,,31.7,5.7,13.7,0.417,0.1,0.5,0.206,5.6,13.3,0.425,0.421,2.2,3,0.748,1.1,3.1,4.2,3.2,1.2,0.4,2.6,2.6,13.8
275,Jamaal Wilkes*,SF,26,LAL,82,,37.9,8.9,16.6,0.535,0,0.2,0.176,8.8,16.4,0.539,0.536,2.3,2.9,0.808,2.1,4.3,6.4,3,1.6,0.3,1.9,2.7,20
276,Duck Williams,PG,23,UTA,77,,23.3,3,6.7,0.447,0,0.2,0,3,6.6,0.458,0.447,0.5,0.8,0.7,0.3,1.1,1.4,2.4,1.3,0.1,1.4,2.2,6.6
277,Freeman Williams,SG,23,SDC,82,,25.8,7.9,16.4,0.48,0.5,1.6,0.328,7.4,14.8,0.496,0.496,2.4,2.9,0.815,1.3,1.1,2.3,2,0.9,0.1,2.1,1.8,18.6
278,Gus Williams,PG,26,SEA,82,,36.2,9,18.7,0.482,0.1,0.4,0.194,8.9,18.3,0.489,0.484,4,5.1,0.788,1.5,1.8,3.4,4.8,2.4,0.5,2.2,2,22.1
279,Ray Williams,PG,25,NYK,82,,31.5,8.4,16.9,0.496,0.1,0.5,0.189,8.3,16.4,0.505,0.499,4.1,5.2,0.787,1.8,3.2,5,6.2,2,0.3,3.1,3.6,20.9
280,Sly Williams,SF,22,NYK,57,,9.8,1.8,4.7,0.39,0,0.1,0,1.8,4.6,0.395,0.39,1,1.6,0.644,1.1,1,2.1,0.6,0.3,0.1,0.9,1.3,4.7
281,John Williamson,SG,28,TOT,58,,23.7,6.2,14.1,0.439,0.2,0.6,0.314,6,13.5,0.445,0.446,2,2.4,0.841,0.7,1.1,1.7,2.2,0.6,0.3,1.6,2.4,14.6
281,John Williamson,SG,28,NJN,28,,27.5,7.4,16.5,0.447,0.3,0.7,0.421,7.1,15.8,0.448,0.456,2.7,3.1,0.864,0.9,1.1,1.9,3.1,0.9,0.3,1.5,2.5,17.7
281,John Williamson,SG,28,WSB,30,,20.1,5.1,11.9,0.43,0.1,0.5,0.188,5,11.3,0.441,0.434,1.3,1.7,0.8,0.5,1,1.5,1.3,0.3,0.3,1.6,2.2,11.6
282,Bill Willoughby,SF,22,CLE,78,,18.6,2.8,5.9,0.479,0,0.1,0.111,2.8,5.7,0.487,0.48,1.2,1.6,0.756,1.6,2.7,4.2,0.9,0.4,0.8,0.9,2.4,6.9
283,Bubba Wilson,SG,24,GSW,16,,8.9,0.4,1.6,0.28,0,0,,0.4,1.6,0.28,0.28,0.2,0.4,0.5,0.4,0.6,1,0.8,0.1,0,0.5,0.7,1.1
284,Rick Wilson,SG,23,ATL,5,,11.8,0.4,2.8,0.143,0,0,,0.4,2.8,0.143,0.143,0.8,1.2,0.667,0.4,0.2,0.6,2.2,0.8,0.2,1.6,0.6,1.6
285,Brian Winters,SG,27,MIL,80,,32.8,6.7,14,0.479,0.5,1.3,0.373,6.2,12.7,0.49,0.496,2.3,2.7,0.86,0.6,2.2,2.8,4.5,1.3,0.4,2.3,2.6,16.2
286,Larry Wright,PG,25,WSB,76,,16.9,3,6.6,0.458,0.1,0.2,0.25,3,6.4,0.465,0.462,1.3,1.4,0.889,0.5,1.1,1.6,2.9,0.6,0.2,1.4,1.9,7.3
287,Tony Zeno,SF,22,IND,8,,7.4,0.8,2.6,0.286,0,0,,0.8,2.6,0.286,0.286,0.3,0.3,1,0.4,1.4,1.8,0.1,0.5,0.4,1.1,1.6,1.8
