,GAME,FGM,FGA,FG%,FTM,FTA,FT%,3FGM,3FGA,3FG%,PTS,TEAM
33,1/24,32,74,43.2,21,27,77.8,10,32,31.3,95,Boston Celtics
34,1/23,36,83,43.4,8,11,72.7,18,46,39.1,98,Boston Celtics
35,1/21,38,85,44.7,14,15,93.3,16,35,45.7,106,Boston Celtics
36,1/19,43,108,39.8,22,30,73.3,13,41,31.7,121,Boston Celtics
37,1/16,43,87,49.4,24,25,96.0,20,43,46.5,130,Boston Celtics
38,1/14,47,99,47.5,9,10,90.0,19,53,35.8,122,Boston Celtics
39,1/12,41,86,47.7,15,17,88.2,12,36,33.3,109,Boston Celtics
40,1/11,44,91,48.4,22,25,88.0,15,44,34.1,125,Boston Celtics
41,1/9,38,87,43.7,20,21,95.2,11,41,26.8,107,Boston Celtics
42,1/7,47,95,49.5,12,18,66.7,15,34,44.1,121,Boston Celtics
43,1/5,41,84,48.8,26,31,83.9,16,43,37.2,124,Boston Celtics
44,1/3,40,88,45.5,25,31,80.6,12,40,30.0,117,Boston Celtics
45,1/1,40,87,46.0,22,27,81.5,9,33,27.3,111,Boston Celtics
46,12/29,44,91,48.4,17,22,77.3,11,39,28.2,116,Boston Celtics
47,12/27,43,91,47.3,20,23,87.0,20,56,35.7,126,Boston Celtics
48,12/25,50,85,58.8,20,25,80.0,19,39,48.7,139,Boston Celtics
49,12/23,44,100,44.0,20,26,76.9,13,46,28.3,121,Boston Celtics
50,12/21,39,101,38.6,21,25,84.0,13,41,31.7,112,Boston Celtics
51,12/18,31,89,34.8,18,21,85.7,12,47,25.5,92,Boston Celtics
52,12/16,35,84,41.7,28,34,82.4,11,46,23.9,109,Boston Celtics
53,12/13,46,104,44.2,11,16,68.8,19,48,39.6,122,Boston Celtics
54,12/12,33,76,43.4,18,26,69.2,9,39,23.1,93,Boston Celtics
55,12/10,38,87,43.7,19,26,73.1,12,40,30.0,107,Boston Celtics
56,12/7,49,101,48.5,11,13,84.6,16,45,35.6,125,Boston Celtics
57,12/5,44,90,48.9,15,21,71.4,13,36,36.1,116,Boston Celtics
58,12/4,35,81,43.2,18,20,90.0,15,38,39.5,103,Boston Celtics
59,12/2,40,87,46.0,21,28,75.0,15,45,33.3,116,Boston Celtics
60,11/30,46,83,55.4,20,23,87.0,22,45,48.9,134,Boston Celtics
61,11/28,55,93,59.1,6,7,85.7,24,52,46.2,140,Boston Celtics
62,11/27,44,80,55.0,26,26,100.0,16,34,47.1,130,Boston Celtics
63,11/25,41,83,49.4,24,27,88.9,16,37,43.2,122,Boston Celtics
64,11/23,45,84,53.6,18,21,85.7,17,34,50.0,125,Boston Celtics
65,11/21,38,87,43.7,12,17,70.6,19,50,38.0,107,Boston Celtics
66,11/18,41,85,48.2,15,17,88.2,20,46,43.5,117,Boston Celtics
67,11/16,48,88,54.5,9,10,90.0,21,46,45.7,126,Boston Celtics
68,11/14,46,96,47.9,24,29,82.8,10,37,27.0,126,Boston Celtics
69,11/12,39,91,42.9,21,24,87.5,18,48,37.5,117,Boston Celtics
70,11/11,50,90,55.6,15,20,75.0,16,37,43.2,131,Boston Celtics
71,11/9,47,88,53.4,16,21,76.2,18,46,39.1,128,Boston Celtics
72,11/7,38,82,46.3,21,28,75.0,12,37,32.4,109,Boston Celtics
73,11/5,47,88,53.4,12,12,100.0,27,51,52.9,133,Boston Celtics
74,11/4,41,83,49.4,32,39,82.1,9,31,29.0,123,Boston Celtics
75,11/2,38,93,40.9,26,27,96.3,11,41,26.8,113,Boston Celtics
76,10/30,36,79,45.6,19,20,95.0,21,47,44.7,112,Boston Celtics
77,10/28,42,82,51.2,26,32,81.3,13,33,39.4,123,Boston Celtics
78,10/24,37,100,37.0,10,12,83.3,18,48,37.5,102,Boston Celtics
79,10/22,42,87,48.3,23,28,82.1,19,47,40.4,126,Boston Celtics
80,10/21,41,79,51.9,15,15,100.0,14,33,42.4,111,Boston Celtics
81,10/18,46,82,56.1,22,28,78.6,12,35,34.3,126,Boston Celtics
0,4/9,53,101,52.5,14,19,73.7,14,32,43.8,134,Philadelphia 76ers
