PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,3PA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PM,OFFRTG,DEFRTG,NETRTG,ASTP,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOR,EFGP,TSP,USGP,PACE,PIE,ALLSTAR
SHAO TING,MIN,29,5,4,1,5.5,1.2,0.4,2,20,0,0,0,0.4,0.6,66.7,0.4,0.8,1.2,0.4,0.4,0,0.2,1.2,3.4,0,0,-2.8,76.8,100,-23.2,12.5,1,13.3,5.9,12.9,9.2,13.3,20,26.5,19.7,98.97,-4.5,NON-ALLSTAR
SANCHO LYTTLE,PHO,35,13,7,6,15.1,3.7,1.6,3.9,41.2,0.1,0.3,25,0.4,0.6,62.5,0.9,2.4,3.3,0.4,0.5,0.6,0.2,1.7,10.1,0,0,-0.3,96.1,96.3,-0.3,4.7,0.83,7.6,6,15.3,10.7,9.1,42.2,44,14.2,93.45,7,NON-ALLSTAR
SAMI WHITCOMB,SEA,30,17,9,8,19.8,7,2.5,7,35.3,1.8,5.7,30.9,0.3,0.3,100,0.5,1.6,2.1,2.5,1.1,1,0.1,1.8,15.4,0,0,1,96.3,94.3,2,21,2.21,23.2,2.2,8.5,5.2,10.5,47.9,49.1,17.9,95.05,8,NON-ALLSTAR
RIQUNA WILLIAMS,LAS,29,15,9,6,25.4,11.5,3.8,10.1,37.7,2.3,5.7,40,1.6,1.8,88.9,0.5,2.1,2.7,1.7,1.3,1.3,0.1,2.3,19.9,0,0,2.5,96.2,90.8,5.3,11.3,1.32,12.1,1.9,7.7,4.7,9.2,49,52.8,19.8,98.88,8.8,NON-ALLSTAR
RESHANDA GRAY,NYL,26,17,7,10,18,5.9,2.5,4.9,50,0.1,0.1,100,0.9,1.6,55.6,2.5,4.2,6.7,0.9,0.9,0.8,0.2,3.4,17.2,1,0,-1.9,97.6,100.3,-2.7,8,1,12,12.8,22.2,17.4,12,50.6,52.1,14.7,99.71,10.1,NON-ALLSTAR
RENEE MONTGOMERY,ATL,32,16,5,11,25.9,8,2.8,8.3,34.1,1.7,5.8,29.3,0.7,0.9,73.3,0.1,1.9,2.1,2.9,1.8,0.8,0.2,1.4,16.1,0,0,-4.7,85.3,95.4,-10.1,22.7,1.68,22.3,0.4,6.6,3.5,13.3,44.3,46.2,17,93.9,7.2,NON-ALLSTAR
REBECCA ALLEN,NYL,26,7,1,6,17.3,5.7,2.1,5.7,37.5,0.9,2.4,35.3,0.6,0.6,100,0.9,1.9,2.7,0.9,0.6,0.6,1.1,2,14.8,0,0,0,97.2,95.7,1.5,8.3,1.5,11.5,4.5,11.2,7.7,7.7,45,47.9,15.5,100.56,7.3,NON-ALLSTAR
RACHEL BANHAM,CON,25,17,11,6,12.4,4.3,1.6,4.6,34.2,0.8,2.8,29.8,0.3,0.4,71.4,0,1.2,1.2,0.9,1,0.3,0.1,1.2,7.4,0,0,-0.9,96.4,100.5,-4,13.4,0.94,13.9,0,10.3,4.9,14.8,43,44.5,19.6,96.02,3.9,NON-ALLSTAR
PARIS KEA,IND,23,6,3,3,5.5,3.5,1.3,3.3,40,0.7,1,66.7,0.2,0.3,50,0.2,0.5,0.7,0.8,1,0.2,0.3,0.2,6.1,0,0,-0.3,92.8,97.1,-4.3,31.3,0.83,15.6,2.8,8.1,5.5,18.8,50,50.3,32.1,98.91,11.4,NON-ALLSTAR
ODYSSEY SIMS,MIN,27,17,10,7,32.9,15.5,5.8,14.7,39.6,0.8,3,25.5,3.1,3.6,83.9,0.9,2.8,3.8,5.4,3.2,1.2,0.2,1.9,29.3,0,0,3.7,98.5,92.7,5.7,29.3,1.67,21.7,2.9,8.4,5.7,13,42.2,47.4,25.5,94.57,11.3,ALLSTAR
NNEKA OGWUMIKE,LAS,29,15,8,7,29.1,15.5,6.1,13.4,45.8,1,2.5,39.5,2.3,2.8,81,2.7,6.8,9.5,1.7,2.4,1.9,0.5,3.4,34.2,7,0,2.3,99.7,95.4,4.3,10.3,0.69,8.9,8.3,22,15,12.8,49.5,53.1,24.7,96.93,15,ALLSTAR
NIA COFFEY,ATL,24,11,2,9,16.5,6.5,2.3,6.5,35.2,0.9,2.6,34.5,1,1.7,57.9,1.4,2.6,4,0.5,1.1,0.5,0.5,1.6,14,0,0,-5.1,89.6,105.6,-16,6.7,0.5,6.1,7.5,15.3,11.3,12.2,42.3,44.7,21.5,94.17,7.5,NON-ALLSTAR
NAYO RAINCOCK-EKUNWE,NYL,27,11,4,7,11.5,2.8,1.3,2.7,46.7,0,0.1,0,0.3,0.5,60,1.5,1.5,3,0.4,0.9,0.2,0.2,1.3,7.1,0,0,1,91.9,88.7,3.2,5.5,0.4,8.9,11.7,13.4,12.5,22.2,46.7,48.1,13.4,97.38,6.1,NON-ALLSTAR
