name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Andrew Wiggins","Minnesota Timberwolves",2016-11-25,2016,3059319,1610612750,400899686,4,1,40,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Phoenix Suns",-7,51,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-10-30,2017,3059319,1610612750,400974844,1,0,09,0,"Driving Floating Jump Shot","2PT Field Goal",5,"Miami Heat",-5,57,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-04-09,2015,3059319,1610612750,400829079,4,5,26,1,"Driving Floating Jump Shot","2PT Field Goal",12,"Portland Trail Blazers",48,115,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-01-19,2016,3059319,1610612750,400900061,2,0,20,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Los Angeles Clippers",-35,41,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-12-09,2015,3059319,1610612750,400828212,1,5,41,1,"Driving Floating Jump Shot","2PT Field Goal",10,"Los Angeles Lakers",45,95,8,8.10,"Hibbert, Roy",7.40,9.50
"Andrew Wiggins","Minnesota Timberwolves",2016-03-18,2015,3059319,1610612750,400828911,3,8,29,1,"Driving Floating Jump Shot","2PT Field Goal",4,"Houston Rockets",-20,36,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-23,2017,3059319,1610612750,400975623,1,7,07,0,"Driving Floating Jump Shot","2PT Field Goal",7,"Houston Rockets",-24,73,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-30,2017,3059319,1610612750,400975492,1,9,36,0,"Driving Floating Jump Shot","2PT Field Goal",13,"Toronto Raptors",63,117,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-03-21,2015,3059319,1610612750,400828937,1,5,50,0,"Driving Hook Shot","2PT Field Goal",6,"Golden State Warriors",1,65,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-30,2017,3059319,1610612750,400975492,1,3,41,0,"Driving Hook Shot","2PT Field Goal",8,"Toronto Raptors",-6,82,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-01,2016,3059319,1610612750,400899369,4,7,03,0,"Driving Hook Shot","2PT Field Goal",5,"Cleveland Cavaliers",9,51,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2014-12-23,2014,3059319,1610612750,400578708,1,2,00,0,"Driving Jump shot","2PT Field Goal",6,"Cleveland Cavaliers",42,50,1,1.70,"Thompson, Tristan",2.20,24.00
"Andrew Wiggins","Minnesota Timberwolves",2015-04-01,2014,3059319,1610612750,,1,3,14,0,"Driving Jump shot","2PT Field Goal",5,"Toronto Raptors",31,41,1,2.00,"DeRozan, DeMar",1.90,10.80
"Andrew Wiggins","Minnesota Timberwolves",2015-02-02,2014,3059319,1610612750,400579016,2,10,02,0,"Driving Jump shot","2PT Field Goal",7,"Dallas Mavericks",58,42,3,3.00,"Aminu, Al-Farouq",2.90,16.10
"Andrew Wiggins","Minnesota Timberwolves",2015-03-15,2014,3059319,1610612750,400579278,4,9,21,0,"Driving Jump shot","2PT Field Goal",7,"San Antonio Spurs",75,23,1,1.60,"Belinelli, Marco",1.50,16.60
"Andrew Wiggins","Minnesota Timberwolves",2015-03-30,2014,3059319,1610612750,400579398,1,2,16,0,"Driving Jump shot","2PT Field Goal",6,"Utah Jazz",61,26,3,3.10,"Ingles, Joe",0.20,8.10
"Andrew Wiggins","Minnesota Timberwolves",2015-01-01,2014,3059319,1610612750,400578775,1,4,14,1,"Driving Jump shot","2PT Field Goal",4,"Sacramento Kings",34,26,1,2.80,"McLemore, Ben",1.10,1.70
"Andrew Wiggins","Minnesota Timberwolves",2014-12-27,2014,3059319,1610612750,400578744,4,7,15,1,"Driving Jump shot","2PT Field Goal",4,"Golden State Warriors",7,44,0,2.50,"Barnes, Harrison",2.20,10.30
"Andrew Wiggins","Minnesota Timberwolves",2015-02-02,2014,3059319,1610612750,400579016,3,1,46,0,"Driving Jump shot","2PT Field Goal",6,"Dallas Mavericks",61,19,1,3.40,"Harris, Devin",2.40,8.90
"Andrew Wiggins","Minnesota Timberwolves",2015-01-05,2014,3059319,1610612750,400578806,4,0,32,1,"Driving Jump shot","2PT Field Goal",4,"Denver Nuggets",-8,42,4,5.20,"Afflalo, Arron",3.60,19.70
